MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.01,-999.00,-999.00, 1.97,-999.00,-999.00,-999.00, 2.18, 2.67, 2.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.70, 1.21, 1.62,-999.00, 1.75, 1.18, 1.84,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.76, 1.79, 1.15,-999.00,-999.00, 1.83, 1.13,-999.00, 2.39, 2.57,-999.00,-999.00
CESM2, 1.82, 1.84,-999.00, 1.71,-999.00, 1.90,-999.00, 1.90, 2.55, 2.60,-999.00,-999.00
CNRM-CM5, 1.51, 1.59, 1.11,-999.00,-999.00, 1.63, 1.08,-999.00, 2.04, 1.94,-999.00,-999.00
CNRM-CM6-1, 1.72,-999.00,-999.00, 1.80,-999.00,-999.00,-999.00,-999.00, 2.52, 2.64,-999.00,-999.00
COSMOS-ASO, 1.69,-999.00, 1.18,-999.00,-999.00,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.82, 1.82,-999.00,-999.00,-999.00, 1.87,-999.00,-999.00, 2.58, 2.66,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.85, 1.89,-999.00,-999.00,-999.00, 1.92,-999.00,-999.00, 2.12,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.15, 1.31,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.48, 1.62,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.91, 1.92,-999.00, 1.84,-999.00, 1.93,-999.00, 1.90, 2.74, 2.77,-999.00,-999.00
FGOALS-g2, 1.48, 1.44, 1.04,-999.00,-999.00, 1.49, 1.03,-999.00, 1.97, 2.37,-999.00,-999.00
FGOALS-g3, 1.51, 1.51,-999.00, 1.58,-999.00, 1.54,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.86, 1.85,-999.00,-999.00,-999.00, 1.88,-999.00,-999.00, 2.50, 2.71,-999.00,-999.00
GISS-E2-1-G, 1.74, 1.80,-999.00, 1.80,-999.00, 1.83,-999.00, 1.94, 1.83, 2.49,-999.00,-999.00
GISS-E2-R, 1.75, 1.77, 0.95,-999.00,-999.00, 1.81, 0.93,-999.00, 2.13, 2.10,-999.00,-999.00
HadCM3, 1.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.73, 1.82,-999.00,-999.00,-999.00, 1.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.83, 1.93,-999.00,-999.00,-999.00, 2.00,-999.00,-999.00, 2.61, 2.76,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.86,-999.00, 2.02,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.62, 1.59, 1.16, 1.60,-999.00, 1.64, 1.14, 1.81, 2.06, 2.12,-999.00,-999.00
IPSL-CM5A-LR, 1.72, 1.80, 1.02,-999.00,-999.00, 1.80, 0.99,-999.00, 2.31, 2.42,-999.00,-999.00
IPSL-CM6A-LR, 2.08, 2.14,-999.00, 2.21,-999.00, 2.18,-999.00, 2.38, 2.98, 3.74,-999.00,-999.00
KCM1-2-2, 0.98, 0.88,-999.00,-999.00,-999.00, 0.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.71, 1.74, 1.13,-999.00,-999.00, 1.79, 1.12, 1.87, 2.38, 2.63,-999.00,-999.00
MIROC-ESM, 2.08, 2.09, 1.33,-999.00,-999.00, 2.13, 1.31,-999.00, 3.01, 3.36,-999.00,-999.00
MPI-ESM1-2-LR, 1.73, 1.74, 1.08,-999.00,-999.00, 1.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.66, 1.72, 1.11,-999.00,-999.00, 1.77, 1.09,-999.00, 2.57, 2.70,-999.00,-999.00
MRI-CGCM3, 1.72, 1.84, 1.18,-999.00,-999.00, 1.87, 1.15,-999.00, 2.10, 2.33,-999.00,-999.00
MRI-ESM2-0, 1.94, 2.04,-999.00,-999.00,-999.00, 2.10,-999.00,-999.00, 2.45, 2.60,-999.00,-999.00
NESM3, 1.90, 1.94,-999.00, 1.96,-999.00, 2.01,-999.00, 2.22, 3.21, 3.52,-999.00,-999.00
NorESM1-F, 1.66, 1.69,-999.00, 1.65,-999.00, 1.73,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.61, 2.58,-999.00,-999.00,-999.00, 2.61,-999.00,-999.00, 2.26, 2.55,-999.00,-999.00
UofT-CCSM-4, 1.72, 1.76, 0.80,-999.00,-999.00, 1.80, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00
