MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.25,-999.00,-999.00,14.51,-999.00,-999.00,-999.00,14.64,11.05,10.62,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,15.45,11.56,16.26,-999.00,15.44,11.56,16.30,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,13.03,13.50, 9.84,-999.00,-999.00,13.53, 9.83,-999.00,11.21,10.65,-999.00,-999.00
CESM2,12.06,12.73,-999.00,13.52,13.14,12.72,-999.00,13.55,10.79,10.23,-999.00,-999.00
CNRM-CM5,15.30,15.60,15.19,-999.00,-999.00,15.61,15.18,-999.00,12.60,12.06,-999.00,-999.00
CNRM-CM6-1,15.41,-999.00,-999.00,16.92,-999.00,-999.00,-999.00,16.97,12.50,11.75,-999.00,-999.00
COSMOS-ASO,13.76,-999.00, 9.87,-999.00,-999.00,-999.00, 9.87,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,13.58,14.04,-999.00,-999.00,-999.00,14.03,-999.00,-999.00,11.10,10.30,-999.00,-999.00
CSIRO-Mk3L-1-2,13.01,13.27,-999.00,-999.00,-999.00,13.25,-999.00,-999.00,10.44,-999.00,-999.00,-999.00
EC-EARTH-2-2,13.56,13.89,-999.00,-999.00,-999.00,13.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,14.01,14.49,-999.00,-999.00,-999.00,14.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,14.10,14.67,-999.00,15.83,-999.00,14.80,-999.00,15.89,10.50,10.57,-999.00,-999.00
FGOALS-g2,14.11,15.21,10.56,-999.00,-999.00,15.23,10.56,-999.00,12.73,10.63,-999.00,-999.00
FGOALS-g3,14.29,15.43,-999.00,15.99,-999.00,15.44,-999.00,16.05,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,14.80,15.52,-999.00,-999.00,-999.00,15.54,-999.00,-999.00,12.06,10.87,-999.00,-999.00
GISS-E2-1-G,12.47,13.23,-999.00,13.91,11.19,13.24,-999.00,13.95,12.24,10.64,-999.00,-999.00
GISS-E2-R,13.88,14.23, 9.80,-999.00,-999.00,14.25, 9.79,-999.00,12.45,12.36,-999.00,-999.00
HadCM3,13.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,16.90,17.24,-999.00,-999.00,-999.00,17.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,16.36,16.69,-999.00,-999.00,-999.00,16.68,-999.00,-999.00,13.51,12.81,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,16.86,-999.00,17.64,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,14.32,15.04,11.93,15.86,-999.00,15.04,11.93,15.89,13.79,13.39,-999.00,-999.00
IPSL-CM5A-LR,12.65,13.33, 8.78,-999.00,-999.00,13.37, 8.78,-999.00,11.69,10.96,-999.00,-999.00
IPSL-CM6A-LR,15.38,16.27,-999.00,17.28,14.65,16.28,-999.00,17.31,11.92,10.98,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.04,14.67,11.72,15.43,-999.00,14.69,11.71,15.50,12.15,11.73,-999.00,-999.00
MIROC-ESM,13.36,14.48,10.72,-999.00,-999.00,14.49,10.71,-999.00,11.56,10.46,-999.00,-999.00
MPI-ESM1-2-LR,13.58,14.20, 9.76, 1.95,-999.00,14.20,-999.00, 1.94,10.33,10.15,-999.00,-999.00
MPI-ESM-P,13.80,14.23, 9.90,-999.00,-999.00,14.22, 9.90,-999.00,10.75, 9.55,-999.00,-999.00
MRI-CGCM3,13.33,14.03,11.34,-999.00,-999.00,14.05,11.33,-999.00,11.59,11.15,-999.00,-999.00
MRI-ESM2-0,12.70,13.39,-999.00,-999.00,-999.00,13.39,-999.00,-999.00,10.26, 9.39,-999.00,-999.00
NESM3,14.14,14.42,-999.00,15.04,-999.00,14.43,-999.00,15.08,10.79,10.38,-999.00,-999.00
NorESM1-F,12.16,12.90,-999.00,13.70,12.64,12.91,-999.00,13.75,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,11.31,12.05,-999.00,13.04,-999.00,12.04,-999.00,13.04,10.42,10.01,-999.00,-999.00
UofT-CCSM-4,12.13,12.92,11.73,-999.00,-999.00,12.97,11.73,-999.00,-999.00,-999.00,-999.00,-999.00
