MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 6.51,-999.00,-999.00, 5.66,-999.00,-999.00,-999.00, 5.38, 5.14, 4.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.95, 3.52, 4.00,-999.00, 3.57, 3.23, 3.64,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.18, 5.08, 5.00,-999.00,-999.00, 4.82, 4.82,-999.00, 4.96, 4.97,-999.00,-999.00
CESM2, 5.35, 5.13,-999.00, 4.82,-999.00, 4.71,-999.00, 4.44, 4.85, 4.72,-999.00,-999.00
CNRM-CM5, 4.23, 4.04, 3.85,-999.00,-999.00, 3.86, 3.72,-999.00, 4.06, 4.04,-999.00,-999.00
CNRM-CM6-1, 4.60,-999.00,-999.00, 3.65,-999.00,-999.00,-999.00,-999.00, 4.11, 3.96,-999.00,-999.00
COSMOS-ASO, 4.07,-999.00, 4.26,-999.00,-999.00,-999.00, 4.19,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.44, 3.29,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00, 3.52, 3.42,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.90, 5.81,-999.00,-999.00,-999.00, 5.27,-999.00,-999.00, 5.72,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.20, 4.00,-999.00,-999.00,-999.00, 3.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 5.01, 4.92,-999.00,-999.00,-999.00, 4.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.11, 1.83,-999.00, 1.68,-999.00, 1.63,-999.00, 1.50, 2.05, 2.09,-999.00,-999.00
FGOALS-g2, 4.03, 3.93, 3.83,-999.00,-999.00, 3.71, 3.75,-999.00, 4.76, 4.23,-999.00,-999.00
FGOALS-g3, 5.22, 4.35,-999.00, 4.19,-999.00, 4.19,-999.00, 4.03,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.35, 3.12,-999.00,-999.00,-999.00, 2.90,-999.00,-999.00, 3.51, 3.40,-999.00,-999.00
GISS-E2-1-G, 4.71, 4.48,-999.00, 4.09,-999.00, 4.24,-999.00, 3.83, 4.63, 4.14,-999.00,-999.00
GISS-E2-R, 5.69, 5.17, 5.83,-999.00,-999.00, 4.96, 5.66,-999.00, 5.25, 4.54,-999.00,-999.00
HadCM3, 4.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 6.23, 5.83,-999.00,-999.00,-999.00, 5.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 6.35, 5.95,-999.00,-999.00,-999.00, 5.77,-999.00,-999.00, 5.56, 5.33,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.63,-999.00, 5.44,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 6.40, 6.18, 4.25, 5.91,-999.00, 6.07, 4.17, 5.83, 6.67, 6.73,-999.00,-999.00
IPSL-CM5A-LR, 3.99, 3.80, 2.15,-999.00,-999.00, 3.40, 1.95,-999.00, 4.07, 4.00,-999.00,-999.00
IPSL-CM6A-LR, 5.53, 5.48,-999.00, 5.39,-999.00, 5.35,-999.00, 5.28, 5.16, 4.71,-999.00,-999.00
KCM1-2-2, 4.63, 4.12,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.04, 5.76, 5.76,-999.00,-999.00, 5.48, 5.59, 5.40, 5.95, 5.96,-999.00,-999.00
MIROC-ESM, 4.42, 4.25, 4.05,-999.00,-999.00, 3.93, 3.79,-999.00, 4.35, 4.31,-999.00,-999.00
MPI-ESM1-2-LR, 4.58, 4.35, 3.65,-999.00,-999.00, 3.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 4.59, 4.46, 4.33,-999.00,-999.00, 4.08, 4.13,-999.00, 4.29, 4.10,-999.00,-999.00
MRI-CGCM3, 5.76, 5.60, 4.84,-999.00,-999.00, 5.33, 4.66,-999.00, 5.85, 5.90,-999.00,-999.00
MRI-ESM2-0, 6.93, 6.61,-999.00,-999.00,-999.00, 6.15,-999.00,-999.00, 6.77, 6.65,-999.00,-999.00
NESM3, 5.40, 4.95,-999.00, 5.25,-999.00, 4.50,-999.00, 4.78, 5.69, 5.68,-999.00,-999.00
NorESM1-F, 4.90, 4.48,-999.00, 4.42,-999.00, 4.12,-999.00, 4.05,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.01, 4.89,-999.00,-999.00,-999.00, 4.40,-999.00,-999.00, 4.23, 4.18,-999.00,-999.00
UofT-CCSM-4, 5.63, 5.40, 5.17,-999.00,-999.00, 5.06, 4.89,-999.00,-999.00,-999.00,-999.00,-999.00
