MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.31,-999.00,-999.00, 3.55,-999.00,-999.00,-999.00, 3.05, 3.58, 3.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.45, 4.31, 3.80,-999.00, 3.90, 3.98, 3.19,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.32, 5.33, 5.78,-999.00,-999.00, 4.90, 5.55,-999.00, 4.60, 4.34,-999.00,-999.00
CESM2, 4.22, 3.77,-999.00, 3.41,-999.00, 3.19,-999.00, 2.67, 3.76, 4.07,-999.00,-999.00
CNRM-CM5, 4.41, 4.07, 4.01,-999.00,-999.00, 3.71, 3.86,-999.00, 4.23, 4.17,-999.00,-999.00
CNRM-CM6-1, 3.82,-999.00,-999.00, 2.26,-999.00,-999.00,-999.00,-999.00, 2.61, 2.51,-999.00,-999.00
COSMOS-ASO, 4.56,-999.00, 4.99,-999.00,-999.00,-999.00, 4.92,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.92, 2.86,-999.00,-999.00,-999.00, 2.47,-999.00,-999.00, 2.25, 1.93,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.50, 6.88,-999.00,-999.00,-999.00, 6.07,-999.00,-999.00, 6.50,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.72, 4.70,-999.00,-999.00,-999.00, 4.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.63, 4.44,-999.00,-999.00,-999.00, 4.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.64, 1.40,-999.00, 1.04,-999.00, 1.16,-999.00, 0.77, 1.18, 1.16,-999.00,-999.00
FGOALS-g2, 4.23, 4.57, 4.43,-999.00,-999.00, 4.20, 4.34,-999.00, 5.06, 4.13,-999.00,-999.00
FGOALS-g3, 5.28, 4.27,-999.00, 3.91,-999.00, 3.99,-999.00, 3.39,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.92, 2.54,-999.00,-999.00,-999.00, 2.28,-999.00,-999.00, 3.11, 3.46,-999.00,-999.00
GISS-E2-1-G, 4.47, 4.72,-999.00, 4.05,-999.00, 4.26,-999.00, 3.35, 4.42, 4.58,-999.00,-999.00
GISS-E2-R, 4.93, 4.59, 5.96,-999.00,-999.00, 4.24, 5.75,-999.00, 3.82, 3.29,-999.00,-999.00
HadCM3, 5.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.69, 5.16,-999.00,-999.00,-999.00, 4.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.73, 5.24,-999.00,-999.00,-999.00, 4.94,-999.00,-999.00, 4.39, 4.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.88,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 6.19, 6.19, 5.69, 5.62,-999.00, 5.90, 5.60, 5.23, 6.15, 6.19,-999.00,-999.00
IPSL-CM5A-LR, 2.30, 2.14, 1.23,-999.00,-999.00, 1.77, 1.08,-999.00, 1.99, 1.89,-999.00,-999.00
IPSL-CM6A-LR, 5.26, 5.32,-999.00, 4.96,-999.00, 5.11,-999.00, 4.60, 4.26, 2.33,-999.00,-999.00
KCM1-2-2, 4.63, 4.12,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 6.64, 6.92, 6.46,-999.00,-999.00, 6.47, 6.25, 5.80, 6.65, 6.88,-999.00,-999.00
MIROC-ESM, 4.74, 4.79, 4.76,-999.00,-999.00, 4.30, 4.43,-999.00, 4.48, 4.60,-999.00,-999.00
MPI-ESM1-2-LR, 5.15, 5.13, 4.57,-999.00,-999.00, 4.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 4.49, 4.58, 4.79,-999.00,-999.00, 4.04, 4.55,-999.00, 3.22, 2.71,-999.00,-999.00
MRI-CGCM3, 5.82, 5.70, 4.98,-999.00,-999.00, 5.27, 4.75,-999.00, 5.28, 5.24,-999.00,-999.00
MRI-ESM2-0, 6.68, 6.12,-999.00,-999.00,-999.00, 5.41,-999.00,-999.00, 6.50, 6.55,-999.00,-999.00
NESM3, 6.62, 6.92,-999.00, 7.08,-999.00, 6.12,-999.00, 6.01, 5.84, 5.32,-999.00,-999.00
NorESM1-F, 5.52, 5.38,-999.00, 4.89,-999.00, 4.78,-999.00, 4.13,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.65, 4.50,-999.00,-999.00,-999.00, 3.84,-999.00,-999.00, 2.67, 2.30,-999.00,-999.00
UofT-CCSM-4, 5.84, 5.83, 5.65,-999.00,-999.00, 5.27, 5.31,-999.00,-999.00,-999.00,-999.00,-999.00
