MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 8.12,-999.00,-999.00, 8.05,-999.00,-999.00,-999.00, 7.80, 6.84, 6.72,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.82, 4.00, 5.46,-999.00, 4.36, 3.66, 5.09,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 5.82, 5.67, 5.09,-999.00,-999.00, 5.40, 4.90,-999.00, 5.90, 6.22,-999.00,-999.00
CESM2, 6.91, 6.73,-999.00, 6.74,-999.00, 6.28,-999.00, 6.32, 6.14, 5.72,-999.00,-999.00
CNRM-CM5, 4.51, 4.48, 4.07,-999.00,-999.00, 4.31, 3.93,-999.00, 4.43, 4.59,-999.00,-999.00
CNRM-CM6-1, 5.33,-999.00,-999.00, 5.45,-999.00,-999.00,-999.00,-999.00, 4.95, 4.64,-999.00,-999.00
COSMOS-ASO, 4.64,-999.00, 4.33,-999.00,-999.00,-999.00, 4.26,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.03, 4.89,-999.00,-999.00,-999.00, 4.50,-999.00,-999.00, 5.58, 5.54,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.51, 5.90,-999.00,-999.00,-999.00, 5.41,-999.00,-999.00, 6.49,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.76, 4.45,-999.00,-999.00,-999.00, 4.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 5.38, 5.59,-999.00,-999.00,-999.00, 5.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.84, 2.57,-999.00, 2.85,-999.00, 2.31,-999.00, 2.60, 3.30, 3.28,-999.00,-999.00
FGOALS-g2, 4.81, 4.45, 4.28,-999.00,-999.00, 4.20, 4.19,-999.00, 5.50, 5.31,-999.00,-999.00
FGOALS-g3, 6.64, 5.84,-999.00, 6.15,-999.00, 5.67,-999.00, 6.03,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 3.92, 3.69,-999.00,-999.00,-999.00, 3.45,-999.00,-999.00, 4.21, 3.86,-999.00,-999.00
GISS-E2-1-G, 5.43, 5.01,-999.00, 5.19,-999.00, 4.79,-999.00, 5.01, 5.26, 4.03,-999.00,-999.00
GISS-E2-R, 6.84, 6.03, 6.67,-999.00,-999.00, 5.83, 6.49,-999.00, 6.87, 5.97,-999.00,-999.00
HadCM3, 5.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 6.89, 6.62,-999.00,-999.00,-999.00, 6.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 7.05, 6.59,-999.00,-999.00,-999.00, 6.44,-999.00,-999.00, 6.56, 6.27,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 6.26,-999.00, 6.94,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.40, 7.14, 3.41, 7.57,-999.00, 7.04, 3.35, 7.54, 7.94, 7.99,-999.00,-999.00
IPSL-CM5A-LR, 5.46, 5.09, 3.36,-999.00,-999.00, 4.59, 3.03,-999.00, 5.12, 4.85,-999.00,-999.00
IPSL-CM6A-LR, 6.08, 5.98,-999.00, 6.31,-999.00, 5.86,-999.00, 6.20, 5.61, 6.12,-999.00,-999.00
KCM1-2-2, 4.63, 4.12,-999.00,-999.00,-999.00, 4.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 7.03, 6.48, 6.56,-999.00,-999.00, 6.18, 6.39, 6.98, 7.00, 6.79,-999.00,-999.00
MIROC-ESM, 4.60, 4.28, 4.05,-999.00,-999.00, 3.94, 3.78,-999.00, 4.63, 4.38,-999.00,-999.00
MPI-ESM1-2-LR, 5.03, 4.93, 3.91,-999.00,-999.00, 4.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 5.88, 5.57, 5.11,-999.00,-999.00, 5.11, 4.87,-999.00, 5.85, 5.92,-999.00,-999.00
MRI-CGCM3, 6.28, 6.08, 5.35,-999.00,-999.00, 5.80, 5.18,-999.00, 6.64, 6.85,-999.00,-999.00
MRI-ESM2-0, 7.95, 7.71,-999.00,-999.00,-999.00, 7.23,-999.00,-999.00, 7.55, 7.25,-999.00,-999.00
NESM3, 5.67, 5.03,-999.00, 5.83,-999.00, 4.52,-999.00, 5.32, 6.87, 6.95,-999.00,-999.00
NorESM1-F, 5.11, 4.57,-999.00, 5.05,-999.00, 4.22,-999.00, 4.70,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 6.27, 6.04,-999.00,-999.00,-999.00, 5.47,-999.00,-999.00, 5.66, 5.76,-999.00,-999.00
UofT-CCSM-4, 6.05, 5.73, 5.37,-999.00,-999.00, 5.36, 5.05,-999.00,-999.00,-999.00,-999.00,-999.00
