MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.70,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00, 0.70, 0.93, 1.04,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.58, 0.32, 0.59,-999.00, 0.56, 0.30, 0.57,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.59, 0.57, 0.33,-999.00,-999.00, 0.56, 0.32,-999.00, 0.93, 1.06,-999.00,-999.00
CESM2, 0.69, 0.68,-999.00, 0.68,-999.00, 0.67,-999.00, 0.67, 1.07, 1.36,-999.00,-999.00
CNRM-CM5, 0.68, 0.69, 0.45,-999.00,-999.00, 0.65, 0.43,-999.00, 0.91, 1.03,-999.00,-999.00
CNRM-CM6-1, 0.65,-999.00,-999.00, 0.66,-999.00,-999.00,-999.00,-999.00, 0.97, 1.14,-999.00,-999.00
COSMOS-ASO, 0.55,-999.00, 0.32,-999.00,-999.00,-999.00, 0.31,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.48, 0.48,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00, 0.63, 0.75,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.47, 0.48,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00, 0.60,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.67, 0.65,-999.00,-999.00,-999.00, 0.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.85, 0.82,-999.00,-999.00,-999.00, 0.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.74, 0.72,-999.00, 0.70,-999.00, 0.70,-999.00, 0.68, 1.01, 1.07,-999.00,-999.00
FGOALS-g2, 0.83, 0.77, 0.62,-999.00,-999.00, 0.75, 0.61,-999.00, 1.18, 1.34,-999.00,-999.00
FGOALS-g3, 0.69, 0.67,-999.00, 0.71,-999.00, 0.66,-999.00, 0.70,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.76, 0.75,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00, 0.96, 1.14,-999.00,-999.00
GISS-E2-1-G, 0.75, 0.71,-999.00, 0.71,-999.00, 0.70,-999.00, 0.70, 0.76, 1.05,-999.00,-999.00
GISS-E2-R, 0.73, 0.71, 0.54,-999.00,-999.00, 0.69, 0.53,-999.00, 0.83, 0.88,-999.00,-999.00
HadCM3, 0.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.65, 0.65,-999.00,-999.00,-999.00, 0.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.68, 0.68,-999.00,-999.00,-999.00, 0.66,-999.00,-999.00, 0.91, 1.05,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.53,-999.00, 0.53,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.70, 0.69, 0.55, 0.68,-999.00, 0.67, 0.54, 0.66, 0.84, 0.91,-999.00,-999.00
IPSL-CM5A-LR, 0.62, 0.63, 0.49,-999.00,-999.00, 0.61, 0.48,-999.00, 0.68, 0.78,-999.00,-999.00
IPSL-CM6A-LR, 0.69, 0.68,-999.00, 0.67,-999.00, 0.65,-999.00, 0.65, 0.99, 1.49,-999.00,-999.00
KCM1-2-2, 0.51, 0.50,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.96, 0.92, 0.68,-999.00,-999.00, 0.91, 0.68, 0.95, 1.05, 1.12,-999.00,-999.00
MIROC-ESM, 0.67, 0.71, 0.42,-999.00,-999.00, 0.69, 0.41,-999.00, 0.89, 1.01,-999.00,-999.00
MPI-ESM1-2-LR, 0.67, 0.66, 0.39,-999.00,-999.00, 0.63,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.68, 0.68, 0.41,-999.00,-999.00, 0.65, 0.40,-999.00, 0.80, 0.92,-999.00,-999.00
MRI-CGCM3, 0.88, 0.86, 0.45,-999.00,-999.00, 0.83, 0.44,-999.00, 1.08, 1.20,-999.00,-999.00
MRI-ESM2-0, 0.66, 0.65,-999.00,-999.00,-999.00, 0.64,-999.00,-999.00, 0.90, 1.04,-999.00,-999.00
NESM3, 0.70, 0.67,-999.00, 0.69,-999.00, 0.65,-999.00, 0.67, 1.11, 1.21,-999.00,-999.00
NorESM1-F, 0.66, 0.64,-999.00, 0.64,-999.00, 0.62,-999.00, 0.62,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.76, 1.38,-999.00,-999.00,-999.00, 1.34,-999.00,-999.00, 0.87, 1.28,-999.00,-999.00
UofT-CCSM-4, 0.59, 0.57, 0.29,-999.00,-999.00, 0.55, 0.28,-999.00,-999.00,-999.00,-999.00,-999.00
