MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-32.53,-999.00,-999.00,-29.21,-999.00,-999.00,-999.00,-31.34,-28.43,-26.33,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-35.31,-44.97,-33.87,-999.00,-36.22,-44.87,-35.95,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-36.05,-34.92,-45.56,-999.00,-999.00,-35.91,-45.46,-999.00,-30.78,-29.67,-999.00,-999.00
CESM2,-36.06,-34.77,-999.00,-33.37,-26.66,-35.86,-999.00,-35.82,-29.59,-26.19,-999.00,-999.00
CNRM-CM5,-38.26,-36.53,-42.89,-999.00,-999.00,-37.79,-42.73,-999.00,-32.79,-30.31,-999.00,-999.00
CNRM-CM6-1,-37.91,-999.00,-999.00,-34.84,-999.00,-999.00,-999.00,-37.39,-31.00,-28.11,-999.00,-999.00
COSMOS-ASO,-39.81,-999.00,-51.69,-999.00,-999.00,-999.00,-51.60,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-37.41,-35.10,-999.00,-999.00,-999.00,-36.44,-999.00,-999.00,-33.13,-30.42,-999.00,-999.00
CSIRO-Mk3L-1-2,-38.04,-35.94,-999.00,-999.00,-999.00,-37.28,-999.00,-999.00,-33.93,-999.00,-999.00,-999.00
EC-EARTH-2-2,-34.64,-32.83,-999.00,-999.00,-999.00,-33.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-30.59,-29.73,-999.00,-999.00,-999.00,-30.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-38.18,-37.11,-999.00,-35.83,-999.00,-38.38,-999.00,-38.68,-32.56,-31.85,-999.00,-999.00
FGOALS-g2,-33.39,-32.25,-40.18,-999.00,-999.00,-33.47,-40.07,-999.00,-27.26,-26.02,-999.00,-999.00
FGOALS-g3,-35.56,-34.42,-999.00,-32.60,-999.00,-35.39,-999.00,-34.79,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-37.26,-35.75,-999.00,-999.00,-999.00,-36.77,-999.00,-999.00,-32.35,-28.86,-999.00,-999.00
GISS-E2-1-G,-37.67,-36.89,-999.00,-35.28,-28.87,-38.09,-999.00,-38.07,-37.01,-30.64,-999.00,-999.00
GISS-E2-R,-35.92,-34.28,-41.97,-999.00,-999.00,-35.19,-41.88,-999.00,-33.28,-32.79,-999.00,-999.00
HadCM3,-36.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-32.81,-30.74,-999.00,-999.00,-999.00,-31.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-32.63,-30.26,-999.00,-999.00,-999.00,-31.49,-999.00,-999.00,-27.80,-25.94,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-33.48,-999.00,-33.54,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-34.87,-33.24,-40.24,-32.07,-999.00,-34.51,-40.12,-34.95,-30.90,-29.93,-999.00,-999.00
IPSL-CM5A-LR,-34.45,-33.16,-42.95,-999.00,-999.00,-34.08,-42.86,-999.00,-30.92,-28.93,-999.00,-999.00
IPSL-CM6A-LR,-37.07,-35.52,-999.00,-34.29,-29.07,-36.74,-999.00,-37.09,-32.16,-26.25,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-24.19,-22.85,-30.85,-21.15,-999.00,-24.24,-30.70,-24.44,-21.34,-20.16,-999.00,-999.00
MIROC-ESM,-33.53,-31.37,-42.25,-999.00,-999.00,-32.74,-42.11,-999.00,-28.84,-26.26,-999.00,-999.00
MPI-ESM1-2-LR,-35.46,-34.53,-43.04,-10.86,-999.00,-35.43,-999.00,-8.01,-30.80,-29.81,-999.00,-999.00
MPI-ESM-P,-35.38,-34.62,-45.21,-999.00,-999.00,-35.37,-45.13,-999.00,-31.99,-30.10,-999.00,-999.00
MRI-CGCM3,-34.03,-32.30,-45.69,-999.00,-999.00,-33.42,-45.57,-999.00,-30.85,-29.04,-999.00,-999.00
MRI-ESM2-0,-35.96,-34.64,-999.00,-999.00,-999.00,-35.71,-999.00,-999.00,-30.84,-28.97,-999.00,-999.00
NESM3,-35.79,-34.29,-999.00,-32.17,-999.00,-35.25,-999.00,-34.34,-28.97,-26.68,-999.00,-999.00
NorESM1-F,-33.29,-32.23,-999.00,-31.19,-30.70,-33.19,-999.00,-33.22,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-35.56,-34.21,-999.00,-32.98,-999.00,-35.28,-999.00,-35.34,-33.01,-26.29,-999.00,-999.00
UofT-CCSM-4,-35.81,-34.74,-46.91,-999.00,-999.00,-35.73,-46.80,-999.00,-999.00,-999.00,-999.00,-999.00
