MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-2.83,-999.00,-999.00,-0.76,-999.00,-999.00,-999.00,-1.81,-0.34, 1.77,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-3.74,-9.27,-2.82,-999.00,-4.06,-9.22,-3.54,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-5.97,-5.52,-12.94,-999.00,-999.00,-5.94,-12.88,-999.00,-1.53,-0.23,-999.00,-999.00
CESM2,-3.23,-2.88,-999.00,-2.21, 3.45,-3.22,-999.00,-3.00, 1.72, 4.27,-999.00,-999.00
CNRM-CM5,-3.97,-3.16,-6.82,-999.00,-999.00,-3.50,-6.77,-999.00, 1.19, 2.93,-999.00,-999.00
CNRM-CM6-1,-5.54,-999.00,-999.00,-4.00,-999.00,-999.00,-999.00,-4.68, 0.78, 3.35,-999.00,-999.00
COSMOS-ASO,-5.04,-999.00,-10.92,-999.00,-999.00,-999.00,-10.87,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-4.76,-3.78,-999.00,-999.00,-999.00,-4.21,-999.00,-999.00,-1.25, 1.15,-999.00,-999.00
CSIRO-Mk3L-1-2,-3.45,-2.77,-999.00,-999.00,-999.00,-3.11,-999.00,-999.00,-0.13,-999.00,-999.00,-999.00
EC-EARTH-2-2,-2.34,-2.03,-999.00,-999.00,-999.00,-2.36,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-0.57,-0.21,-999.00,-999.00,-999.00,-0.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-2.47,-2.32,-999.00,-1.81,-999.00,-2.64,-999.00,-2.66, 1.22, 2.09,-999.00,-999.00
FGOALS-g2,-5.43,-5.52,-7.73,-999.00,-999.00,-5.95,-7.68,-999.00,-0.07, 1.47,-999.00,-999.00
FGOALS-g3,-4.28,-3.98,-999.00,-2.41,-999.00,-4.34,-999.00,-3.19,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-5.95,-5.08,-999.00,-999.00,-999.00,-5.47,-999.00,-999.00,-1.76, 1.42,-999.00,-999.00
GISS-E2-1-G,-2.78,-2.89,-999.00,-2.18, 1.81,-3.20,-999.00,-2.88,-2.58, 1.10,-999.00,-999.00
GISS-E2-R,-1.82,-0.69,-3.60,-999.00,-999.00,-0.90,-3.57,-999.00,-0.20, 0.44,-999.00,-999.00
HadCM3,-5.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-2.68,-1.89,-999.00,-999.00,-999.00,-2.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-2.59,-1.74,-999.00,-999.00,-999.00,-2.03,-999.00,-999.00, 0.52, 2.27,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-2.12,-999.00,-2.11,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-0.83,-0.66,-1.30,-0.29,-999.00,-0.93,-1.28,-0.93, 1.91, 2.78,-999.00,-999.00
IPSL-CM5A-LR,-3.09,-2.60,-5.76,-999.00,-999.00,-2.92,-5.72,-999.00,-0.97, 0.72,-999.00,-999.00
IPSL-CM6A-LR,-4.39,-3.98,-999.00,-3.43, 1.06,-4.38,-999.00,-4.32,-0.40, 5.23,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.73, 2.49,-0.68, 3.16,-999.00, 2.33,-0.66, 2.82, 3.92, 4.60,-999.00,-999.00
MIROC-ESM,-5.12,-3.84,-9.13,-999.00,-999.00,-4.18,-9.08,-999.00,-1.24, 0.59,-999.00,-999.00
MPI-ESM1-2-LR,-2.21,-1.91,-7.76,-2.62,-999.00,-2.14,-999.00, 0.10, 0.92, 1.68,-999.00,-999.00
MPI-ESM-P,-2.23,-1.84,-7.12,-999.00,-999.00,-2.08,-7.08,-999.00, 0.04, 1.52,-999.00,-999.00
MRI-CGCM3,-3.58,-2.86,-12.31,-999.00,-999.00,-3.25,-12.25,-999.00,-1.01, 0.61,-999.00,-999.00
MRI-ESM2-0,-5.57,-4.73,-999.00,-999.00,-999.00,-5.13,-999.00,-999.00,-1.20, 0.65,-999.00,-999.00
NESM3,-2.33,-2.01,-999.00,-0.65,-999.00,-2.35,-999.00,-1.37, 1.70, 2.89,-999.00,-999.00
NorESM1-F,-2.11,-1.88,-999.00,-1.27, 0.47,-2.20,-999.00,-2.01,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-0.85,-0.64,-999.00,-0.23,-999.00,-0.91,-999.00,-0.87, 0.29, 5.72,-999.00,-999.00
UofT-CCSM-4,-6.02,-5.34,-15.87,-999.00,-999.00,-5.76,-15.80,-999.00,-999.00,-999.00,-999.00,-999.00
