MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-13.68,-999.00,-999.00,-13.20,-999.00,-999.00,-999.00,-10.46,-3.94,-1.67,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-13.32,-25.55,-14.28,-999.00,-12.10,-25.66,-10.81,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-17.74,-17.41,-31.70,-999.00,-999.00,-16.04,-31.80,-999.00,-6.85,-6.19,-999.00,-999.00
CESM2,-13.69,-13.22,-999.00,-13.92,-2.99,-11.98,-999.00,-10.59,-4.73,-1.11,-999.00,-999.00
CNRM-CM5,-16.99,-14.97,-27.66,-999.00,-999.00,-13.43,-27.82,-999.00,-6.71,-5.28,-999.00,-999.00
CNRM-CM6-1,-14.21,-999.00,-999.00,-13.90,-999.00,-999.00,-999.00,-9.83,-1.91,-0.86,-999.00,-999.00
COSMOS-ASO,-16.00,-999.00,-29.46,-999.00,-999.00,-999.00,-29.56,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-18.34,-17.56,-999.00,-999.00,-999.00,-16.03,-999.00,-999.00,-9.73,-6.04,-999.00,-999.00
CSIRO-Mk3L-1-2,-12.64,-11.96,-999.00,-999.00,-999.00,-10.77,-999.00,-999.00,-6.58,-999.00,-999.00,-999.00
EC-EARTH-2-2,-20.09,-18.72,-999.00,-999.00,-999.00,-17.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-18.87,-17.12,-999.00,-999.00,-999.00,-15.71,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-17.60,-17.55,-999.00,-19.53,-999.00,-16.02,-999.00,-15.53,-5.36,-5.27,-999.00,-999.00
FGOALS-g2,-17.71,-18.16,-33.65,-999.00,-999.00,-16.72,-33.75,-999.00,-7.78,-5.39,-999.00,-999.00
FGOALS-g3,-18.66,-18.04,-999.00,-18.38,-999.00,-16.55,-999.00,-14.26,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-16.79,-15.85,-999.00,-999.00,-999.00,-14.29,-999.00,-999.00,-5.39,-2.91,-999.00,-999.00
GISS-E2-1-G,-17.78,-16.94,-999.00,-17.26,-12.14,-15.71,-999.00,-13.83,-15.43,-8.57,-999.00,-999.00
GISS-E2-R,-16.49,-15.72,-36.06,-999.00,-999.00,-14.41,-36.15,-999.00,-9.61,-8.53,-999.00,-999.00
HadCM3,-19.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-18.23,-15.97,-999.00,-999.00,-999.00,-14.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-15.70,-14.03,-999.00,-999.00,-999.00,-12.74,-999.00,-999.00,-4.14,-0.79,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-13.70,-999.00,-10.45,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-17.35,-17.28,-30.44,-18.48,-999.00,-15.89,-30.54,-14.53,-10.14,-9.05,-999.00,-999.00
IPSL-CM5A-LR,-17.47,-16.75,-30.65,-999.00,-999.00,-15.42,-30.74,-999.00,-7.97,-5.54,-999.00,-999.00
IPSL-CM6A-LR,-15.12,-14.75,-999.00,-14.60,-5.49,-13.30,-999.00,-10.62,-0.93, 5.50,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-13.10,-12.93,-28.45,-14.22,-999.00,-11.59,-28.56,-10.47,-3.07,-2.19,-999.00,-999.00
MIROC-ESM,-10.64,-10.36,-28.41,-999.00,-999.00,-9.19,-28.51,-999.00,-0.22, 2.67,-999.00,-999.00
MPI-ESM1-2-LR,-14.10,-13.78,-26.51,-20.19,-999.00,-12.57,-999.00,-21.66,-3.46,-3.16,-999.00,-999.00
MPI-ESM-P,-14.38,-13.53,-28.77,-999.00,-999.00,-12.33,-28.87,-999.00,-5.00,-2.37,-999.00,-999.00
MRI-CGCM3,-16.76,-15.11,-29.73,-999.00,-999.00,-13.69,-29.84,-999.00,-7.11,-5.46,-999.00,-999.00
MRI-ESM2-0,-11.22,-10.65,-999.00,-999.00,-999.00,-9.42,-999.00,-999.00,-4.06,-2.08,-999.00,-999.00
NESM3,-13.04,-12.27,-999.00,-13.09,-999.00,-11.07,-999.00,-9.70,-0.58, 0.88,-999.00,-999.00
NorESM1-F,-15.19,-15.25,-999.00,-16.57,-8.40,-13.95,-999.00,-12.86,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-14.02,-13.53,-999.00,-14.23,-999.00,-12.28,-999.00,-10.83,-5.20,-0.73,-999.00,-999.00
UofT-CCSM-4,-21.56,-20.43,-35.93,-999.00,-999.00,-19.03,-36.02,-999.00,-999.00,-999.00,-999.00,-999.00
