MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.33,-999.00,-999.00, 1.54,-999.00,-999.00,-999.00, 1.60, 2.14, 2.33,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.26, 0.79, 1.29,-999.00, 1.27, 0.77, 1.38,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.16, 1.20, 0.53,-999.00,-999.00, 1.23, 0.51,-999.00, 1.76, 1.79,-999.00,-999.00
CESM2, 1.21, 1.28,-999.00, 1.31,-999.00, 1.30,-999.00, 1.39, 1.75, 1.98,-999.00,-999.00
CNRM-CM5, 1.00, 1.18, 0.54,-999.00,-999.00, 1.17, 0.50,-999.00, 1.64, 1.69,-999.00,-999.00
CNRM-CM6-1, 1.06,-999.00,-999.00, 1.21,-999.00,-999.00,-999.00,-999.00, 1.68, 1.77,-999.00,-999.00
COSMOS-ASO, 1.03,-999.00, 0.47,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.86, 0.94,-999.00,-999.00,-999.00, 0.95,-999.00,-999.00, 1.29, 1.52,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.09, 1.16,-999.00,-999.00,-999.00, 1.15,-999.00,-999.00, 1.44,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.90, 0.97,-999.00,-999.00,-999.00, 0.98,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.90, 1.06,-999.00,-999.00,-999.00, 1.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.02, 1.06,-999.00, 1.06,-999.00, 1.08,-999.00, 1.13, 1.78, 1.83,-999.00,-999.00
FGOALS-g2, 1.20, 1.19, 0.41,-999.00,-999.00, 1.20, 0.39,-999.00, 1.74, 1.99,-999.00,-999.00
FGOALS-g3, 0.84, 0.86,-999.00, 0.94,-999.00, 0.88,-999.00, 1.02,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.96, 1.02,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00, 1.43, 1.55,-999.00,-999.00
GISS-E2-1-G, 0.98, 1.04,-999.00, 1.13,-999.00, 1.06,-999.00, 1.22, 1.10, 1.45,-999.00,-999.00
GISS-E2-R, 0.96, 1.09, 0.28,-999.00,-999.00, 1.11, 0.27,-999.00, 1.41, 1.44,-999.00,-999.00
HadCM3, 1.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.07, 1.25,-999.00,-999.00,-999.00, 1.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.26, 1.44,-999.00,-999.00,-999.00, 1.46,-999.00,-999.00, 2.10, 2.36,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.35,-999.00, 1.67,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.03, 1.08, 0.49, 1.11,-999.00, 1.08, 0.47, 1.16, 1.40, 1.51,-999.00,-999.00
IPSL-CM5A-LR, 0.94, 1.04, 0.39,-999.00,-999.00, 1.06, 0.37,-999.00, 1.60, 1.78,-999.00,-999.00
IPSL-CM6A-LR, 1.14, 1.19,-999.00, 1.31,-999.00, 1.20,-999.00, 1.39, 1.93, 2.58,-999.00,-999.00
KCM1-2-2, 0.97, 0.92,-999.00,-999.00,-999.00, 0.92,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.10, 1.13, 0.43,-999.00,-999.00, 1.14, 0.41, 1.19, 1.79, 1.83,-999.00,-999.00
MIROC-ESM, 1.19, 1.22, 0.45,-999.00,-999.00, 1.23, 0.44,-999.00, 1.83, 2.01,-999.00,-999.00
MPI-ESM1-2-LR, 1.19, 1.26, 0.70,-999.00,-999.00, 1.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.23, 1.31, 0.62,-999.00,-999.00, 1.33, 0.60,-999.00, 1.81, 2.06,-999.00,-999.00
MRI-CGCM3, 0.94, 1.06, 0.44,-999.00,-999.00, 1.07, 0.41,-999.00, 1.50, 1.64,-999.00,-999.00
MRI-ESM2-0, 1.22, 1.32,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.67, 1.83,-999.00,-999.00
NESM3, 1.21, 1.34,-999.00, 1.36,-999.00, 1.37,-999.00, 1.48, 2.31, 2.46,-999.00,-999.00
NorESM1-F, 1.22, 1.26,-999.00, 1.26,-999.00, 1.28,-999.00, 1.36,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.15, 2.01,-999.00,-999.00,-999.00, 2.02,-999.00,-999.00, 1.69, 1.93,-999.00,-999.00
UofT-CCSM-4, 1.01, 1.09, 0.36,-999.00,-999.00, 1.11, 0.34,-999.00,-999.00,-999.00,-999.00,-999.00
