MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-13.08,-999.00,-999.00,-10.82,-999.00,-999.00,-999.00,-10.56,-1.25, 3.16,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-12.83,-21.14,-12.45,-999.00,-12.44,-21.19,-11.75,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-15.02,-14.80,-29.09,-999.00,-999.00,-14.40,-29.14,-999.00,-4.19,-3.32,-999.00,-999.00
CESM2,-12.46,-12.13,-999.00,-11.29,-0.78,-11.74,-999.00,-10.66,-2.72, 3.09,-999.00,-999.00
CNRM-CM5,-14.71,-12.66,-22.20,-999.00,-999.00,-12.23,-22.27,-999.00,-2.20,-0.58,-999.00,-999.00
CNRM-CM6-1,-14.93,-999.00,-999.00,-13.33,-999.00,-999.00,-999.00,-12.64,-0.64, 0.83,-999.00,-999.00
COSMOS-ASO,-14.47,-999.00,-28.37,-999.00,-999.00,-999.00,-28.42,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-19.32,-18.68,-999.00,-999.00,-999.00,-18.17,-999.00,-999.00,-11.84,-7.99,-999.00,-999.00
CSIRO-Mk3L-1-2,-12.92,-12.13,-999.00,-999.00,-999.00,-11.71,-999.00,-999.00,-3.70,-999.00,-999.00,-999.00
EC-EARTH-2-2,-17.40,-16.26,-999.00,-999.00,-999.00,-15.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-16.82,-14.98,-999.00,-999.00,-999.00,-14.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-15.86,-15.63,-999.00,-15.51,-999.00,-15.18,-999.00,-14.67,-1.71,-1.22,-999.00,-999.00
FGOALS-g2,-16.12,-16.66,-33.15,-999.00,-999.00,-16.23,-33.20,-999.00,-6.40,-1.50,-999.00,-999.00
FGOALS-g3,-20.20,-19.96,-999.00,-17.12,-999.00,-19.47,-999.00,-16.23,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-18.29,-17.46,-999.00,-999.00,-999.00,-16.98,-999.00,-999.00,-5.47,-2.78,-999.00,-999.00
GISS-E2-1-G,-16.13,-15.44,-999.00,-14.58,-11.62,-15.02,-999.00,-13.80,-14.23,-8.52,-999.00,-999.00
GISS-E2-R,-13.78,-12.65,-33.73,-999.00,-999.00,-12.23,-33.78,-999.00,-7.16,-6.13,-999.00,-999.00
HadCM3,-15.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-16.09,-13.74,-999.00,-999.00,-999.00,-13.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-13.35,-11.54,-999.00,-999.00,-999.00,-11.14,-999.00,-999.00, 0.46, 5.11,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-11.64,-999.00,-7.69,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-15.51,-15.31,-26.56,-14.80,-999.00,-14.91,-26.60,-13.97,-8.23,-6.86,-999.00,-999.00
IPSL-CM5A-LR,-14.70,-14.18,-25.09,-999.00,-999.00,-13.77,-25.14,-999.00,-5.25,-3.07,-999.00,-999.00
IPSL-CM6A-LR,-12.43,-12.46,-999.00,-10.28,-3.89,-12.05,-999.00,-9.63, 4.07,11.49,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-12.52,-12.53,-25.81,-12.42,-999.00,-12.13,-25.86,-11.65,-1.98,-1.03,-999.00,-999.00
MIROC-ESM,-9.65,-10.01,-27.49,-999.00,-999.00,-9.67,-27.54,-999.00, 1.16, 4.59,-999.00,-999.00
MPI-ESM1-2-LR,-12.25,-12.21,-22.09,-28.58,-999.00,-11.84,-999.00,-29.02,-0.58, 0.40,-999.00,-999.00
MPI-ESM-P,-12.20,-11.77,-25.60,-999.00,-999.00,-11.41,-25.65,-999.00,-2.75, 1.38,-999.00,-999.00
MRI-CGCM3,-14.74,-13.54,-26.51,-999.00,-999.00,-13.09,-26.57,-999.00,-4.73,-2.57,-999.00,-999.00
MRI-ESM2-0,-10.96,-10.59,-999.00,-999.00,-999.00,-10.22,-999.00,-999.00,-3.13, 0.71,-999.00,-999.00
NESM3,-14.56,-14.04,-999.00,-14.19,-999.00,-13.58,-999.00,-13.47, 1.76, 4.23,-999.00,-999.00
NorESM1-F,-11.36,-11.52,-999.00,-11.13,-6.09,-11.16,-999.00,-10.45,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-12.23,-12.12,-999.00,-11.54,-999.00,-11.74,-999.00,-10.88,-3.67, 2.50,-999.00,-999.00
UofT-CCSM-4,-20.05,-19.08,-33.55,-999.00,-999.00,-18.64,-33.60,-999.00,-999.00,-999.00,-999.00,-999.00
