MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-10.57,-999.00,-999.00,-6.92,-999.00,-999.00,-999.00,-5.50, 3.09, 5.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-9.37,-21.18,-9.35,-999.00,-8.39,-21.28,-6.76,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-14.38,-13.25,-32.34,-999.00,-999.00,-12.14,-32.43,-999.00, 0.17, 0.81,-999.00,-999.00
CESM2,-9.51,-8.31,-999.00,-7.16, 2.20,-7.35,-999.00,-4.84, 1.47, 5.05,-999.00,-999.00
CNRM-CM5,-11.27,-7.83,-22.93,-999.00,-999.00,-6.77,-23.08,-999.00, 2.47, 3.53,-999.00,-999.00
CNRM-CM6-1,-10.82,-999.00,-999.00,-8.88,-999.00,-999.00,-999.00,-6.01, 3.96, 4.81,-999.00,-999.00
COSMOS-ASO,-13.00,-999.00,-29.60,-999.00,-999.00,-999.00,-29.69,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-18.70,-17.06,-999.00,-999.00,-999.00,-15.72,-999.00,-999.00,-7.97,-3.01,-999.00,-999.00
CSIRO-Mk3L-1-2,-9.31,-7.80,-999.00,-999.00,-999.00,-6.95,-999.00,-999.00,-0.18,-999.00,-999.00,-999.00
EC-EARTH-2-2,-17.55,-15.57,-999.00,-999.00,-999.00,-14.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-16.73,-13.55,-999.00,-999.00,-999.00,-12.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-12.65,-11.69,-999.00,-12.38,-999.00,-10.45,-999.00,-9.29, 1.72, 2.05,-999.00,-999.00
FGOALS-g2,-15.03,-14.92,-37.12,-999.00,-999.00,-13.78,-37.21,-999.00,-2.12, 0.10,-999.00,-999.00
FGOALS-g3,-19.45,-18.39,-999.00,-15.32,-999.00,-17.12,-999.00,-11.98,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-16.91,-14.70,-999.00,-999.00,-999.00,-13.39,-999.00,-999.00, 0.17, 2.89,-999.00,-999.00
GISS-E2-1-G,-15.14,-13.54,-999.00,-12.77,-9.57,-12.46,-999.00,-9.90,-12.05,-3.82,-999.00,-999.00
GISS-E2-R,-11.46,-9.04,-38.48,-999.00,-999.00,-7.98,-38.57,-999.00,-1.88,-0.78,-999.00,-999.00
HadCM3,-11.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-13.73,-9.34,-999.00,-999.00,-999.00,-8.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-9.82,-6.49,-999.00,-999.00,-999.00,-5.58,-999.00,-999.00, 4.56, 7.84,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-6.90,-999.00,-0.78,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-15.95,-14.98,-30.53,-14.98,-999.00,-13.88,-30.62,-11.90,-5.39,-3.61,-999.00,-999.00
IPSL-CM5A-LR,-14.73,-13.26,-28.71,-999.00,-999.00,-12.11,-28.79,-999.00,-1.37, 1.04,-999.00,-999.00
IPSL-CM6A-LR,-9.74,-8.69,-999.00,-6.04, 1.45,-7.64,-999.00,-3.47, 7.99,14.18,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-11.30,-10.59,-30.26,-11.17,-999.00,-9.51,-30.36,-8.23, 2.03, 2.78,-999.00,-999.00
MIROC-ESM,-8.22,-7.70,-30.68,-999.00,-999.00,-6.89,-30.76,-999.00, 3.90, 6.55,-999.00,-999.00
MPI-ESM1-2-LR,-9.67,-8.85,-22.88,-28.84,-999.00,-7.91,-999.00,-30.69, 2.55, 3.15,-999.00,-999.00
MPI-ESM-P,-10.52,-8.97,-26.88,-999.00,-999.00,-8.03,-26.96,-999.00, 1.19, 3.83,-999.00,-999.00
MRI-CGCM3,-13.36,-10.21,-29.54,-999.00,-999.00,-8.96,-29.66,-999.00, 0.47, 2.34,-999.00,-999.00
MRI-ESM2-0,-7.72,-6.48,-999.00,-999.00,-999.00,-5.56,-999.00,-999.00, 1.61, 3.83,-999.00,-999.00
NESM3,-9.39,-7.77,-999.00,-7.58,-999.00,-6.83,-999.00,-5.27, 4.69, 6.56,-999.00,-999.00
NorESM1-F,-9.94,-9.51,-999.00,-9.53,-2.15,-8.53,-999.00,-6.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-9.36,-8.67,-999.00,-8.19,-999.00,-7.68,-999.00,-5.75, 0.70, 4.52,-999.00,-999.00
UofT-CCSM-4,-20.62,-18.65,-36.89,-999.00,-999.00,-17.42,-36.99,-999.00,-999.00,-999.00,-999.00,-999.00
