MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.01,-999.00,-999.00, 0.97,-999.00,-999.00,-999.00, 0.89, 0.60, 0.67,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.08, 1.14, 0.91,-999.00, 1.07, 1.14, 0.93,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.98, 0.93, 1.06,-999.00,-999.00, 0.92, 1.06,-999.00, 0.65, 0.70,-999.00,-999.00
CESM2, 0.97, 0.97,-999.00, 0.96, 0.83, 0.96,-999.00, 0.97, 0.91, 0.29,-999.00,-999.00
CNRM-CM5, 1.05, 1.10, 0.94,-999.00,-999.00, 1.09, 0.94,-999.00, 0.70, 0.59,-999.00,-999.00
CNRM-CM6-1, 1.39,-999.00,-999.00, 1.18,-999.00,-999.00,-999.00, 1.19, 0.73, 0.64,-999.00,-999.00
COSMOS-ASO, 1.05,-999.00, 1.64,-999.00,-999.00,-999.00, 1.64,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.73, 0.71,-999.00,-999.00,-999.00, 0.70,-999.00,-999.00, 0.59, 0.71,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.73, 0.74,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.47,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.04, 1.16,-999.00,-999.00,-999.00, 1.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.09, 1.32,-999.00,-999.00,-999.00, 1.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.98, 0.94,-999.00, 0.85,-999.00, 0.92,-999.00, 0.86, 0.78, 0.77,-999.00,-999.00
FGOALS-g2, 0.55, 0.57, 0.75,-999.00,-999.00, 0.56, 0.75,-999.00, 0.46, 0.29,-999.00,-999.00
FGOALS-g3, 0.89, 0.91,-999.00, 0.73,-999.00, 0.89,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.28, 1.14,-999.00,-999.00,-999.00, 1.12,-999.00,-999.00, 1.02, 0.90,-999.00,-999.00
GISS-E2-1-G, 1.00, 0.85,-999.00, 0.91, 0.88, 0.83,-999.00, 0.92, 0.77, 0.66,-999.00,-999.00
GISS-E2-R, 0.58, 0.56, 1.13,-999.00,-999.00, 0.55, 1.14,-999.00, 0.34, 0.50,-999.00,-999.00
HadCM3, 0.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.07, 0.77,-999.00,-999.00,-999.00, 0.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.02, 1.08,-999.00,-999.00,-999.00, 1.06,-999.00,-999.00, 0.90, 0.33,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.71,-999.00, 0.73,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.95, 0.91, 1.05, 0.91,-999.00, 0.89, 1.05, 0.92, 0.65, 0.68,-999.00,-999.00
IPSL-CM5A-LR, 0.91, 0.91, 0.89,-999.00,-999.00, 0.89, 0.90,-999.00, 0.49, 0.55,-999.00,-999.00
IPSL-CM6A-LR, 1.11, 1.14,-999.00, 0.94, 0.81, 1.13,-999.00, 0.95, 0.43, 0.30,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.85, 0.72, 0.94, 0.71,-999.00, 0.71, 0.94, 0.72, 0.50, 0.50,-999.00,-999.00
MIROC-ESM, 0.84, 0.89, 0.98,-999.00,-999.00, 0.88, 0.98,-999.00, 0.48, 0.33,-999.00,-999.00
MPI-ESM1-2-LR, 0.94, 0.90, 0.97, 0.63,-999.00, 0.89,-999.00, 0.64, 0.58, 0.67,-999.00,-999.00
MPI-ESM-P, 0.89, 0.85, 1.39,-999.00,-999.00, 0.84, 1.40,-999.00, 0.47, 0.81,-999.00,-999.00
MRI-CGCM3, 1.31, 1.15, 1.27,-999.00,-999.00, 1.13, 1.28,-999.00, 0.72, 0.86,-999.00,-999.00
MRI-ESM2-0, 1.05, 0.99,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 0.83, 0.94,-999.00,-999.00
NESM3, 1.03, 0.97,-999.00, 1.03,-999.00, 0.96,-999.00, 1.05, 0.59, 0.25,-999.00,-999.00
NorESM1-F, 0.85, 0.87,-999.00, 0.85, 0.78, 0.86,-999.00, 0.86,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.15, 1.06,-999.00, 1.02,-999.00, 1.04,-999.00, 1.03, 0.66, 0.33,-999.00,-999.00
UofT-CCSM-4, 1.17, 1.09, 1.15,-999.00,-999.00, 1.08, 1.15,-999.00,-999.00,-999.00,-999.00,-999.00
