MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.77,-999.00,-999.00, 4.81,-999.00,-999.00,-999.00, 4.72, 3.46, 3.29,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.51, 3.14, 3.71,-999.00, 3.40, 2.94, 3.65,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.69, 3.90, 3.08,-999.00,-999.00, 3.83, 2.96,-999.00, 3.03, 3.13,-999.00,-999.00
CESM2, 4.64, 4.68,-999.00, 4.51,-999.00, 4.47,-999.00, 4.31, 3.36, 2.43,-999.00,-999.00
CNRM-CM5, 3.72, 3.76, 3.37,-999.00,-999.00, 3.65, 3.20,-999.00, 3.48, 3.44,-999.00,-999.00
CNRM-CM6-1, 4.30,-999.00,-999.00, 4.74,-999.00,-999.00,-999.00,-999.00, 4.34, 4.30,-999.00,-999.00
COSMOS-ASO, 3.64,-999.00, 3.02,-999.00,-999.00,-999.00, 2.93,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.81, 4.73,-999.00,-999.00,-999.00, 4.47,-999.00,-999.00, 4.51, 4.24,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.89, 4.26,-999.00,-999.00,-999.00, 3.99,-999.00,-999.00, 3.52,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.93, 3.16,-999.00,-999.00,-999.00, 3.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.67, 3.80,-999.00,-999.00,-999.00, 3.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.59, 3.60,-999.00, 3.77,-999.00, 3.46,-999.00, 3.60, 3.89, 3.97,-999.00,-999.00
FGOALS-g2, 3.25, 3.52, 4.20,-999.00,-999.00, 3.46, 4.09,-999.00, 3.44, 3.01,-999.00,-999.00
FGOALS-g3, 5.13, 5.44,-999.00, 5.43,-999.00, 5.41,-999.00, 5.43,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.84, 2.93,-999.00,-999.00,-999.00, 2.82,-999.00,-999.00, 2.69, 2.19,-999.00,-999.00
GISS-E2-1-G, 3.52, 3.62,-999.00, 3.77,-999.00, 3.53,-999.00, 3.64, 3.46, 2.83,-999.00,-999.00
GISS-E2-R, 4.98, 4.89, 4.41,-999.00,-999.00, 4.86, 4.30,-999.00, 4.47, 4.25,-999.00,-999.00
HadCM3, 2.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.07, 4.04,-999.00,-999.00,-999.00, 3.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.20, 4.17,-999.00,-999.00,-999.00, 4.03,-999.00,-999.00, 3.68, 3.35,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.84,-999.00, 4.19,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.87, 4.20, 2.10, 4.47,-999.00, 4.16, 2.04, 4.40, 3.69, 3.81,-999.00,-999.00
IPSL-CM5A-LR, 2.72, 2.97, 2.21,-999.00,-999.00, 2.85, 2.07,-999.00, 2.13, 1.91,-999.00,-999.00
IPSL-CM6A-LR, 5.87, 6.08,-999.00, 6.15,-999.00, 5.96,-999.00, 6.06, 5.01, 5.05,-999.00,-999.00
KCM1-2-2, 1.72, 1.68,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.57, 4.56, 4.22,-999.00,-999.00, 4.51, 4.10, 4.80, 4.17, 3.93,-999.00,-999.00
MIROC-ESM, 2.86, 2.88, 1.98,-999.00,-999.00, 2.75, 1.86,-999.00, 2.66, 2.38,-999.00,-999.00
MPI-ESM1-2-LR, 3.39, 3.61, 3.14,-999.00,-999.00, 3.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.75, 3.94, 3.70,-999.00,-999.00, 3.79, 3.53,-999.00, 3.55, 3.49,-999.00,-999.00
MRI-CGCM3, 4.59, 5.07, 3.97,-999.00,-999.00, 4.87, 3.74,-999.00, 4.38, 4.66,-999.00,-999.00
MRI-ESM2-0, 5.21, 5.45,-999.00,-999.00,-999.00, 5.28,-999.00,-999.00, 4.12, 3.65,-999.00,-999.00
NESM3, 4.16, 4.39,-999.00, 4.61,-999.00, 4.20,-999.00, 4.43, 4.17, 4.29,-999.00,-999.00
NorESM1-F, 3.11, 3.08,-999.00, 3.36,-999.00, 2.96,-999.00, 3.25,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.33, 4.44,-999.00,-999.00,-999.00, 4.25,-999.00,-999.00, 3.92, 3.43,-999.00,-999.00
UofT-CCSM-4, 3.51, 3.79, 4.27,-999.00,-999.00, 3.72, 4.10,-999.00,-999.00,-999.00,-999.00,-999.00
