MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.38,-999.00,-999.00, 3.68,-999.00,-999.00,-999.00, 3.37, 2.94, 2.82,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.83, 2.34, 3.10,-999.00, 2.70, 2.20, 2.91,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.62, 2.91, 1.86,-999.00,-999.00, 2.80, 1.78,-999.00, 2.12, 2.26,-999.00,-999.00
CESM2, 2.74, 2.94,-999.00, 2.81,-999.00, 2.75,-999.00, 2.53, 1.80, 1.52,-999.00,-999.00
CNRM-CM5, 2.71, 2.77, 2.49,-999.00,-999.00, 2.67, 2.38,-999.00, 2.54, 2.48,-999.00,-999.00
CNRM-CM6-1, 2.70,-999.00,-999.00, 3.06,-999.00,-999.00,-999.00,-999.00, 2.56, 2.40,-999.00,-999.00
COSMOS-ASO, 3.38,-999.00, 2.92,-999.00,-999.00,-999.00, 2.84,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 3.62, 3.74,-999.00,-999.00,-999.00, 3.55,-999.00,-999.00, 3.37, 3.25,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.14, 2.38,-999.00,-999.00,-999.00, 2.25,-999.00,-999.00, 1.80,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.43, 2.69,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.94, 2.15,-999.00,-999.00,-999.00, 2.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.57, 2.72,-999.00, 2.80,-999.00, 2.61,-999.00, 2.63, 3.02, 3.05,-999.00,-999.00
FGOALS-g2, 2.35, 2.49, 3.05,-999.00,-999.00, 2.41, 2.98,-999.00, 2.09, 2.24,-999.00,-999.00
FGOALS-g3, 3.76, 4.11,-999.00, 4.38,-999.00, 4.05,-999.00, 4.20,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.03, 2.17,-999.00,-999.00,-999.00, 2.08,-999.00,-999.00, 1.72, 1.34,-999.00,-999.00
GISS-E2-1-G, 2.09, 2.21,-999.00, 2.44,-999.00, 2.12,-999.00, 2.29, 2.05, 1.67,-999.00,-999.00
GISS-E2-R, 3.39, 3.43, 2.79,-999.00,-999.00, 3.37, 2.70,-999.00, 3.02, 2.90,-999.00,-999.00
HadCM3, 2.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.27, 3.16,-999.00,-999.00,-999.00, 3.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.35, 3.35,-999.00,-999.00,-999.00, 3.23,-999.00,-999.00, 3.17, 2.81,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.65,-999.00, 2.91,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.92, 3.33, 1.46, 3.57,-999.00, 3.28, 1.41, 3.45, 2.68, 2.80,-999.00,-999.00
IPSL-CM5A-LR, 1.51, 1.98, 1.03,-999.00,-999.00, 1.90, 0.99,-999.00, 1.03, 0.88,-999.00,-999.00
IPSL-CM6A-LR, 4.00, 4.12,-999.00, 4.44,-999.00, 3.95,-999.00, 4.10, 3.23, 3.42,-999.00,-999.00
KCM1-2-2, 1.72, 1.68,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.22, 4.44, 3.53,-999.00,-999.00, 4.38, 3.45, 4.93, 4.01, 3.80,-999.00,-999.00
MIROC-ESM, 1.68, 1.69, 1.24,-999.00,-999.00, 1.59, 1.16,-999.00, 1.72, 1.58,-999.00,-999.00
MPI-ESM1-2-LR, 2.66, 2.93, 2.53,-999.00,-999.00, 2.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.13, 3.33, 3.04,-999.00,-999.00, 3.16, 2.91,-999.00, 2.52, 2.30,-999.00,-999.00
MRI-CGCM3, 2.85, 3.50, 2.42,-999.00,-999.00, 3.29, 2.28,-999.00, 2.56, 2.73,-999.00,-999.00
MRI-ESM2-0, 3.55, 3.88,-999.00,-999.00,-999.00, 3.70,-999.00,-999.00, 2.31, 1.78,-999.00,-999.00
NESM3, 2.26, 2.44,-999.00, 2.74,-999.00, 2.28,-999.00, 2.45, 1.68, 1.60,-999.00,-999.00
NorESM1-F, 2.62, 2.92,-999.00, 3.09,-999.00, 2.79,-999.00, 2.91,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.56, 2.83,-999.00,-999.00,-999.00, 2.64,-999.00,-999.00, 2.23, 1.72,-999.00,-999.00
UofT-CCSM-4, 2.39, 2.71, 2.79,-999.00,-999.00, 2.62, 2.67,-999.00,-999.00,-999.00,-999.00,-999.00
