MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.91,-999.00,-999.00, 3.95,-999.00,-999.00,-999.00, 3.81, 1.76, 1.79,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.35, 3.94, 6.17,-999.00, 5.26, 3.81, 6.20,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.34, 3.23, 2.08,-999.00,-999.00, 3.20, 2.05,-999.00, 2.15, 2.31,-999.00,-999.00
CESM2, 3.93, 3.70,-999.00, 4.03,-999.00, 3.68,-999.00, 3.88, 2.78, 1.54,-999.00,-999.00
CNRM-CM5, 4.24, 4.35, 3.38,-999.00,-999.00, 4.37, 3.33,-999.00, 4.33, 4.32,-999.00,-999.00
CNRM-CM6-1, 4.33,-999.00,-999.00, 5.07,-999.00,-999.00,-999.00,-999.00, 4.40, 4.27,-999.00,-999.00
COSMOS-ASO, 6.47,-999.00, 5.78,-999.00,-999.00,-999.00, 5.66,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.13, 3.79,-999.00,-999.00,-999.00, 3.72,-999.00,-999.00, 3.74, 3.62,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.61, 5.40,-999.00,-999.00,-999.00, 5.41,-999.00,-999.00, 4.51,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.50, 3.42,-999.00,-999.00,-999.00, 3.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.97, 3.12,-999.00,-999.00,-999.00, 3.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.37, 3.09,-999.00, 3.48,-999.00, 2.89,-999.00, 3.11, 2.26, 2.59,-999.00,-999.00
FGOALS-g2, 3.54, 3.67, 2.69,-999.00,-999.00, 3.59, 2.62,-999.00, 4.39, 3.44,-999.00,-999.00
FGOALS-g3, 3.37, 3.23,-999.00, 3.47,-999.00, 3.10,-999.00, 3.29,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.68, 2.87,-999.00,-999.00,-999.00, 2.66,-999.00,-999.00, 2.47, 1.46,-999.00,-999.00
GISS-E2-1-G, 3.66, 3.26,-999.00, 3.64,-999.00, 3.17,-999.00, 3.52, 3.52, 1.89,-999.00,-999.00
GISS-E2-R, 5.09, 4.85, 3.52,-999.00,-999.00, 4.87, 3.48,-999.00, 4.61, 4.07,-999.00,-999.00
HadCM3, 2.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.96, 3.41,-999.00,-999.00,-999.00, 3.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.16, 3.51,-999.00,-999.00,-999.00, 3.34,-999.00,-999.00, 2.02, 1.98,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.98,-999.00, 4.80,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.20, 3.04, 1.40, 3.32,-999.00, 3.01, 1.39, 3.21, 2.92, 3.07,-999.00,-999.00
IPSL-CM5A-LR, 2.23, 2.63, 1.29,-999.00,-999.00, 2.67, 1.26,-999.00, 1.65, 1.55,-999.00,-999.00
IPSL-CM6A-LR, 3.91, 4.23,-999.00, 5.01,-999.00, 4.18,-999.00, 4.98, 3.44, 4.09,-999.00,-999.00
KCM1-2-2, 0.98, 1.24,-999.00,-999.00,-999.00, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.91, 2.56, 2.30,-999.00,-999.00, 2.56, 2.27, 2.82, 2.60, 2.29,-999.00,-999.00
MIROC-ESM, 2.07, 2.04, 1.50,-999.00,-999.00, 1.96, 1.45,-999.00, 1.76, 1.43,-999.00,-999.00
MPI-ESM1-2-LR, 4.71, 5.14, 3.19,-999.00,-999.00, 5.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 5.65, 5.79, 3.80,-999.00,-999.00, 5.63, 3.69,-999.00, 5.74, 5.71,-999.00,-999.00
MRI-CGCM3, 2.84, 3.27, 3.12,-999.00,-999.00, 3.26, 3.02,-999.00, 2.55, 2.41,-999.00,-999.00
MRI-ESM2-0, 3.87, 3.85,-999.00,-999.00,-999.00, 3.85,-999.00,-999.00, 2.51, 2.04,-999.00,-999.00
NESM3, 5.24, 5.31,-999.00, 4.86,-999.00, 5.27,-999.00, 5.45, 6.58, 6.75,-999.00,-999.00
NorESM1-F, 2.06, 1.96,-999.00, 2.66,-999.00, 1.91,-999.00, 2.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.01, 5.07,-999.00,-999.00,-999.00, 5.05,-999.00,-999.00, 4.83, 4.41,-999.00,-999.00
UofT-CCSM-4, 2.82, 2.93, 2.36,-999.00,-999.00, 2.91, 2.32,-999.00,-999.00,-999.00,-999.00,-999.00
