MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,25.54,-999.00,-999.00,25.25,-999.00,-999.00,-999.00,25.19,28.94,29.77,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,22.62,22.05,22.68,-999.00,22.64,22.05,22.63,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,24.23,23.64,21.97,-999.00,-999.00,23.65,21.97,-999.00,26.87,27.31,-999.00,-999.00
CESM2,24.85,24.24,-999.00,24.19,27.90,24.26,-999.00,24.14,28.63,29.92,-999.00,-999.00
CNRM-CM5,23.54,23.15,22.27,-999.00,-999.00,23.17,22.27,-999.00,26.19,26.91,-999.00,-999.00
CNRM-CM6-1,23.14,-999.00,-999.00,22.69,-999.00,-999.00,-999.00,22.64,26.99,27.78,-999.00,-999.00
COSMOS-ASO,24.07,-999.00,21.18,-999.00,-999.00,-999.00,21.17,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.05,24.58,-999.00,-999.00,-999.00,24.60,-999.00,-999.00,28.33,29.76,-999.00,-999.00
CSIRO-Mk3L-1-2,25.39,25.18,-999.00,-999.00,-999.00,25.20,-999.00,-999.00,28.13,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.05,21.49,-999.00,-999.00,-999.00,21.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.29,22.74,-999.00,-999.00,-999.00,22.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.78,23.08,-999.00,22.97,-999.00,23.08,-999.00,22.93,27.77,27.86,-999.00,-999.00
FGOALS-g2,23.44,22.39,21.51,-999.00,-999.00,22.41,21.51,-999.00,26.13,27.70,-999.00,-999.00
FGOALS-g3,24.77,23.99,-999.00,24.08,-999.00,24.00,-999.00,24.04,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,23.82,23.31,-999.00,-999.00,-999.00,23.32,-999.00,-999.00,27.15,27.65,-999.00,-999.00
GISS-E2-1-G,24.71,23.94,-999.00,24.03,25.86,23.96,-999.00,23.99,25.43,28.08,-999.00,-999.00
GISS-E2-R,24.50,23.86,22.37,-999.00,-999.00,23.87,22.37,-999.00,27.32,27.59,-999.00,-999.00
HadCM3,25.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,24.27,24.12,-999.00,-999.00,-999.00,24.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,24.65,24.48,-999.00,-999.00,-999.00,24.50,-999.00,-999.00,27.88,29.09,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,24.20,-999.00,24.48,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.46,22.68,19.58,22.71,-999.00,22.70,19.58,22.67,25.70,26.11,-999.00,-999.00
IPSL-CM5A-LR,22.08,21.56,18.58,-999.00,-999.00,21.58,18.58,-999.00,25.35,27.09,-999.00,-999.00
IPSL-CM6A-LR,23.75,22.93,-999.00,22.89,25.86,22.95,-999.00,22.85,27.56,30.86,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.96,24.23,23.13,24.29,-999.00,24.24,23.12,24.25,28.03,28.38,-999.00,-999.00
MIROC-ESM,23.14,22.34,20.57,-999.00,-999.00,22.35,20.57,-999.00,26.62,27.99,-999.00,-999.00
MPI-ESM1-2-LR,24.31,23.45,22.45,16.19,-999.00,23.47,-999.00,16.21,27.75,28.03,-999.00,-999.00
MPI-ESM-P,24.35,23.63,22.14,-999.00,-999.00,23.65,22.13,-999.00,27.81,29.11,-999.00,-999.00
MRI-CGCM3,24.38,24.02,22.30,-999.00,-999.00,24.03,22.30,-999.00,26.91,27.66,-999.00,-999.00
MRI-ESM2-0,25.23,24.57,-999.00,-999.00,-999.00,24.59,-999.00,-999.00,27.71,28.06,-999.00,-999.00
NESM3,24.12,23.31,-999.00,23.35,-999.00,23.35,-999.00,23.27,27.98,28.79,-999.00,-999.00
NorESM1-F,24.72,24.05,-999.00,24.12,25.73,24.06,-999.00,24.08,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.30,24.73,-999.00,24.72,-999.00,24.75,-999.00,24.67,28.35,30.62,-999.00,-999.00
UofT-CCSM-4,23.46,22.93,21.84,-999.00,-999.00,22.95,21.84,-999.00,-999.00,-999.00,-999.00,-999.00
