MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.07,-999.00,-999.00, 2.33,-999.00,-999.00,-999.00, 2.23, 2.32, 2.49,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.20, 0.82, 1.51,-999.00, 1.05, 0.74, 1.37,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.20, 1.21, 0.85,-999.00,-999.00, 1.10, 0.78,-999.00, 0.97, 1.02,-999.00,-999.00
CESM2, 1.40, 1.31,-999.00, 1.29,-999.00, 1.16,-999.00, 1.18, 1.46, 1.65,-999.00,-999.00
CNRM-CM5, 1.35, 1.33, 1.08,-999.00,-999.00, 1.22, 1.00,-999.00, 1.55, 1.57,-999.00,-999.00
CNRM-CM6-1, 1.61,-999.00,-999.00, 1.57,-999.00,-999.00,-999.00,-999.00, 1.83, 1.89,-999.00,-999.00
COSMOS-ASO, 0.11,-999.00, 0.06,-999.00,-999.00,-999.00, 0.06,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.79, 0.84,-999.00,-999.00,-999.00, 0.75,-999.00,-999.00, 0.75, 1.07,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.72, 0.59,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00, 0.87,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.17, 1.17,-999.00,-999.00,-999.00, 1.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.93, 1.00,-999.00,-999.00,-999.00, 0.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.32, 1.32,-999.00, 1.28,-999.00, 1.18,-999.00, 1.16, 1.13, 1.27,-999.00,-999.00
FGOALS-g2, 1.76, 1.74, 1.19,-999.00,-999.00, 1.67, 1.15,-999.00, 1.59, 1.58,-999.00,-999.00
FGOALS-g3, 1.34, 1.25,-999.00, 1.24,-999.00, 1.17,-999.00, 1.18,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.68, 0.67,-999.00,-999.00,-999.00, 0.58,-999.00,-999.00, 0.69, 0.65,-999.00,-999.00
GISS-E2-1-G, 1.35, 1.41,-999.00, 1.34,-999.00, 1.31,-999.00, 1.27, 1.29, 1.03,-999.00,-999.00
GISS-E2-R, 1.66, 1.62, 1.57,-999.00,-999.00, 1.54, 1.51,-999.00, 1.75, 1.75,-999.00,-999.00
HadCM3, 1.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.30, 2.29,-999.00,-999.00,-999.00, 2.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.17, 2.23,-999.00,-999.00,-999.00, 2.08,-999.00,-999.00, 2.03, 2.12,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.27,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.00, 1.02, 0.65, 1.18,-999.00, 0.95, 0.60, 1.10, 1.20, 1.21,-999.00,-999.00
IPSL-CM5A-LR, 0.86, 0.95, 0.90,-999.00,-999.00, 0.84, 0.82,-999.00, 0.65, 0.57,-999.00,-999.00
IPSL-CM6A-LR, 1.49, 1.44,-999.00, 1.44,-999.00, 1.33,-999.00, 1.35, 1.59, 1.59,-999.00,-999.00
KCM1-2-2, 0.54, 0.48,-999.00,-999.00,-999.00, 0.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.64, 1.39, 1.10,-999.00,-999.00, 1.30, 1.02, 1.33, 1.71, 1.82,-999.00,-999.00
MIROC-ESM, 1.99, 2.03, 1.51,-999.00,-999.00, 1.92, 1.42,-999.00, 1.82, 1.62,-999.00,-999.00
MPI-ESM1-2-LR, 1.36, 1.50, 0.99,-999.00,-999.00, 1.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.97, 0.90, 0.79,-999.00,-999.00, 0.79, 0.71,-999.00, 0.75, 0.73,-999.00,-999.00
MRI-CGCM3, 1.27, 1.24, 0.85,-999.00,-999.00, 1.13, 0.79,-999.00, 1.65, 1.68,-999.00,-999.00
MRI-ESM2-0, 2.40, 2.37,-999.00,-999.00,-999.00, 2.19,-999.00,-999.00, 2.19, 2.32,-999.00,-999.00
NESM3, 1.03, 1.20,-999.00, 1.38,-999.00, 1.04,-999.00, 1.24, 1.01, 0.93,-999.00,-999.00
NorESM1-F, 1.06, 1.06,-999.00, 1.03,-999.00, 0.95,-999.00, 0.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.84, 1.14,-999.00,-999.00,-999.00, 0.97,-999.00,-999.00, 0.83, 1.06,-999.00,-999.00
UofT-CCSM-4, 1.01, 1.02, 0.59,-999.00,-999.00, 0.93, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00
