MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.76,-999.00,-999.00, 2.93,-999.00,-999.00,-999.00, 2.77, 2.66, 2.70,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.04, 2.21, 2.25,-999.00, 2.00, 2.14, 2.16,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.16, 2.14, 2.07,-999.00,-999.00, 2.14, 2.06,-999.00, 2.11, 2.11,-999.00,-999.00
CESM2, 1.76, 1.67,-999.00, 1.60,-999.00, 1.64,-999.00, 1.55, 1.79, 1.94,-999.00,-999.00
CNRM-CM5, 2.05, 2.08, 1.74,-999.00,-999.00, 2.07, 1.70,-999.00, 2.38, 2.48,-999.00,-999.00
CNRM-CM6-1, 2.09,-999.00,-999.00, 2.15,-999.00,-999.00,-999.00,-999.00, 2.25, 2.39,-999.00,-999.00
COSMOS-ASO, 1.20,-999.00, 0.95,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.66, 2.66,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00, 2.88, 2.90,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.19, 2.20,-999.00,-999.00,-999.00, 2.17,-999.00,-999.00, 2.23,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.04, 1.95,-999.00,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.85, 1.95,-999.00,-999.00,-999.00, 1.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.79, 1.77,-999.00, 1.72,-999.00, 1.63,-999.00, 1.59, 1.99, 1.91,-999.00,-999.00
FGOALS-g2, 2.23, 2.11, 1.64,-999.00,-999.00, 2.10, 1.62,-999.00, 2.62, 2.92,-999.00,-999.00
FGOALS-g3, 2.05, 1.79,-999.00, 1.79,-999.00, 1.76,-999.00, 1.78,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.61, 1.55,-999.00,-999.00,-999.00, 1.43,-999.00,-999.00, 1.92, 2.00,-999.00,-999.00
GISS-E2-1-G, 1.98, 2.02,-999.00, 2.00,-999.00, 2.00,-999.00, 1.96, 1.94, 1.65,-999.00,-999.00
GISS-E2-R, 2.13, 2.18, 1.54,-999.00,-999.00, 2.18, 1.52,-999.00, 2.09, 1.95,-999.00,-999.00
HadCM3, 2.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.14, 2.11,-999.00,-999.00,-999.00, 2.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.10, 2.21,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00, 2.10, 2.09,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.17,-999.00, 2.30,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.03, 2.02, 1.40, 2.11,-999.00, 1.96, 1.32, 2.05, 2.21, 2.30,-999.00,-999.00
IPSL-CM5A-LR, 1.95, 1.94, 1.66,-999.00,-999.00, 1.92, 1.61,-999.00, 1.66, 1.90,-999.00,-999.00
IPSL-CM6A-LR, 2.37, 2.32,-999.00, 2.32,-999.00, 2.28,-999.00, 2.25, 2.29, 2.68,-999.00,-999.00
KCM1-2-2, 1.57, 1.56,-999.00,-999.00,-999.00, 1.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.46, 2.43, 1.56,-999.00,-999.00, 2.43, 1.54, 2.50, 2.72, 2.72,-999.00,-999.00
MIROC-ESM, 2.47, 2.40, 1.92,-999.00,-999.00, 2.38, 1.91,-999.00, 2.54, 2.69,-999.00,-999.00
MPI-ESM1-2-LR, 2.50, 2.45, 2.22,-999.00,-999.00, 2.41,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.10, 2.18, 1.85,-999.00,-999.00, 2.16, 1.80,-999.00, 2.24, 2.36,-999.00,-999.00
MRI-CGCM3, 2.09, 2.10, 1.66,-999.00,-999.00, 2.08, 1.62,-999.00, 2.54, 2.50,-999.00,-999.00
MRI-ESM2-0, 2.39, 2.40,-999.00,-999.00,-999.00, 2.38,-999.00,-999.00, 2.50, 2.39,-999.00,-999.00
NESM3, 2.42, 2.50,-999.00, 2.49,-999.00, 2.46,-999.00, 2.39, 2.62, 2.45,-999.00,-999.00
NorESM1-F, 2.10, 2.12,-999.00, 2.14,-999.00, 2.11,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.05, 2.23,-999.00,-999.00,-999.00, 2.20,-999.00,-999.00, 1.82, 2.30,-999.00,-999.00
UofT-CCSM-4, 2.05, 2.06, 1.65,-999.00,-999.00, 2.06, 1.63,-999.00,-999.00,-999.00,-999.00,-999.00
