MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.70,-999.00,-999.00, 1.74,-999.00,-999.00,-999.00, 1.73, 2.02, 2.19,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.48, 0.52, 1.49,-999.00, 1.46, 0.50, 1.48,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.47, 1.45, 0.54,-999.00,-999.00, 1.44, 0.52,-999.00, 1.78, 1.85,-999.00,-999.00
CESM2, 1.43, 1.41,-999.00, 1.41,-999.00, 1.40,-999.00, 1.40, 1.70, 1.93,-999.00,-999.00
CNRM-CM5, 1.32, 1.35, 0.76,-999.00,-999.00, 1.33, 0.71,-999.00, 1.66, 1.76,-999.00,-999.00
CNRM-CM6-1, 1.50,-999.00,-999.00, 1.58,-999.00,-999.00,-999.00,-999.00, 2.02, 2.11,-999.00,-999.00
COSMOS-ASO, 1.47,-999.00, 0.40,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.36, 1.35,-999.00,-999.00,-999.00, 1.35,-999.00,-999.00, 1.63, 1.80,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.25, 1.26,-999.00,-999.00,-999.00, 1.26,-999.00,-999.00, 1.44,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.11, 1.13,-999.00,-999.00,-999.00, 1.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.27, 1.31,-999.00,-999.00,-999.00, 1.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.27, 1.24,-999.00, 1.24,-999.00, 1.22,-999.00, 1.21, 1.75, 1.80,-999.00,-999.00
FGOALS-g2, 1.51, 1.48, 0.51,-999.00,-999.00, 1.47, 0.49,-999.00, 1.97, 2.04,-999.00,-999.00
FGOALS-g3, 1.32, 1.28,-999.00, 1.35,-999.00, 1.28,-999.00, 1.35,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.37, 1.38,-999.00,-999.00,-999.00, 1.36,-999.00,-999.00, 1.76, 1.86,-999.00,-999.00
GISS-E2-1-G, 1.52, 1.49,-999.00, 1.52,-999.00, 1.48,-999.00, 1.51, 1.59, 1.82,-999.00,-999.00
GISS-E2-R, 1.54, 1.59, 0.70,-999.00,-999.00, 1.58, 0.68,-999.00, 1.77, 1.75,-999.00,-999.00
HadCM3, 1.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.35, 1.43,-999.00,-999.00,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.46, 1.49,-999.00,-999.00,-999.00, 1.48,-999.00,-999.00, 1.87, 2.05,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.55,-999.00, 1.61,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.59, 1.60, 0.44, 1.64,-999.00, 1.60, 0.43, 1.66, 1.88, 1.96,-999.00,-999.00
IPSL-CM5A-LR, 1.42, 1.44, 0.38,-999.00,-999.00, 1.43, 0.36,-999.00, 1.72, 1.88,-999.00,-999.00
IPSL-CM6A-LR, 1.57, 1.54,-999.00, 1.57,-999.00, 1.51,-999.00, 1.54, 2.18, 2.77,-999.00,-999.00
KCM1-2-2, 0.77, 0.74,-999.00,-999.00,-999.00, 0.74,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.46, 1.44, 0.75,-999.00,-999.00, 1.44, 0.74, 1.45, 1.87, 1.92,-999.00,-999.00
MIROC-ESM, 1.52, 1.50, 0.42,-999.00,-999.00, 1.50, 0.40,-999.00, 2.05, 2.25,-999.00,-999.00
MPI-ESM1-2-LR, 1.53, 1.50, 0.57,-999.00,-999.00, 1.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.51, 1.50, 0.49,-999.00,-999.00, 1.48, 0.47,-999.00, 1.93, 2.08,-999.00,-999.00
MRI-CGCM3, 1.32, 1.36, 0.49,-999.00,-999.00, 1.34, 0.46,-999.00, 1.76, 1.87,-999.00,-999.00
MRI-ESM2-0, 1.65, 1.64,-999.00,-999.00,-999.00, 1.63,-999.00,-999.00, 2.01, 2.20,-999.00,-999.00
NESM3, 1.64, 1.60,-999.00, 1.65,-999.00, 1.59,-999.00, 1.65, 2.35, 2.50,-999.00,-999.00
NorESM1-F, 1.47, 1.45,-999.00, 1.47,-999.00, 1.44,-999.00, 1.47,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.37, 2.08,-999.00,-999.00,-999.00, 2.06,-999.00,-999.00, 1.64, 1.93,-999.00,-999.00
UofT-CCSM-4, 1.26, 1.25, 0.38,-999.00,-999.00, 1.24, 0.37,-999.00,-999.00,-999.00,-999.00,-999.00
