MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.55,-999.00,-999.00, 0.60,-999.00,-999.00,-999.00, 0.59, 0.47, 0.44,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.46, 0.18, 0.49,-999.00, 0.46, 0.18, 0.49,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.43, 0.45, 0.26,-999.00,-999.00, 0.45, 0.25,-999.00, 0.44, 0.37,-999.00,-999.00
CESM2, 0.42, 0.44,-999.00, 0.47,-999.00, 0.43,-999.00, 0.46, 0.47, 0.49,-999.00,-999.00
CNRM-CM5, 0.48, 0.50, 0.45,-999.00,-999.00, 0.50, 0.44,-999.00, 0.54, 0.53,-999.00,-999.00
CNRM-CM6-1, 0.57,-999.00,-999.00, 0.70,-999.00,-999.00,-999.00,-999.00, 0.64, 0.70,-999.00,-999.00
COSMOS-ASO, 0.47,-999.00, 0.21,-999.00,-999.00,-999.00, 0.20,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.43, 0.43,-999.00,-999.00,-999.00, 0.43,-999.00,-999.00, 0.46, 0.44,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.38, 0.42,-999.00,-999.00,-999.00, 0.42,-999.00,-999.00, 0.39,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.38, 0.40,-999.00,-999.00,-999.00, 0.40,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.50, 0.54,-999.00,-999.00,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.33, 0.35,-999.00, 0.38,-999.00, 0.34,-999.00, 0.38, 0.40, 0.38,-999.00,-999.00
FGOALS-g2, 0.39, 0.43, 0.14,-999.00,-999.00, 0.43, 0.14,-999.00, 0.43, 0.46,-999.00,-999.00
FGOALS-g3, 0.42, 0.39,-999.00, 0.45,-999.00, 0.39,-999.00, 0.45,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.37, 0.39,-999.00,-999.00,-999.00, 0.39,-999.00,-999.00, 0.45, 0.49,-999.00,-999.00
GISS-E2-1-G, 0.41, 0.43,-999.00, 0.49,-999.00, 0.43,-999.00, 0.49, 0.43, 0.54,-999.00,-999.00
GISS-E2-R, 0.49, 0.52, 0.22,-999.00,-999.00, 0.52, 0.22,-999.00, 0.59, 0.54,-999.00,-999.00
HadCM3, 0.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.48, 0.50,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.46, 0.46,-999.00,-999.00,-999.00, 0.46,-999.00,-999.00, 0.39, 0.38,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.60,-999.00, 0.65,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.57, 0.62, 0.19, 0.71,-999.00, 0.62, 0.18, 0.72, 0.55, 0.54,-999.00,-999.00
IPSL-CM5A-LR, 0.42, 0.48, 0.14,-999.00,-999.00, 0.48, 0.14,-999.00, 0.40, 0.44,-999.00,-999.00
IPSL-CM6A-LR, 0.50, 0.54,-999.00, 0.62,-999.00, 0.55,-999.00, 0.61, 0.53, 0.58,-999.00,-999.00
KCM1-2-2, 0.11, 0.11,-999.00,-999.00,-999.00, 0.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.39, 0.41, 0.28,-999.00,-999.00, 0.41, 0.28, 0.43, 0.41, 0.42,-999.00,-999.00
MIROC-ESM, 0.43, 0.46, 0.19,-999.00,-999.00, 0.46, 0.19,-999.00, 0.45, 0.47,-999.00,-999.00
MPI-ESM1-2-LR, 0.50, 0.54, 0.19,-999.00,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.45, 0.48, 0.16,-999.00,-999.00, 0.48, 0.16,-999.00, 0.53, 0.51,-999.00,-999.00
MRI-CGCM3, 0.55, 0.60, 0.28,-999.00,-999.00, 0.60, 0.28,-999.00, 0.65, 0.64,-999.00,-999.00
MRI-ESM2-0, 0.53, 0.56,-999.00,-999.00,-999.00, 0.56,-999.00,-999.00, 0.60, 0.60,-999.00,-999.00
NESM3, 0.64, 0.68,-999.00, 0.75,-999.00, 0.68,-999.00, 0.75, 0.64, 0.62,-999.00,-999.00
NorESM1-F, 0.41, 0.44,-999.00, 0.50,-999.00, 0.44,-999.00, 0.50,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.46, 0.50,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00, 0.49, 0.51,-999.00,-999.00
UofT-CCSM-4, 0.39, 0.41, 0.21,-999.00,-999.00, 0.41, 0.21,-999.00,-999.00,-999.00,-999.00,-999.00
