MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-12.26,-999.00,-999.00,-11.04,-999.00,-999.00,-999.00,-11.60,-5.21,-3.11,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-14.99,-32.78,-13.48,-999.00,-14.78,-32.83,-13.86,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-13.74,-15.04,-30.30,-999.00,-999.00,-14.84,-30.35,-999.00,-7.63,-6.60,-999.00,-999.00
CESM2,-14.31,-15.20,-999.00,-14.06,-0.94,-14.99,-999.00,-14.40,-6.61,-1.34,-999.00,-999.00
CNRM-CM5,-16.70,-17.10,-29.99,-999.00,-999.00,-16.89,-30.06,-999.00,-10.43,-9.03,-999.00,-999.00
CNRM-CM6-1,-16.17,-999.00,-999.00,-15.90,-999.00,-999.00,-999.00,-16.30,-7.35,-5.73,-999.00,-999.00
COSMOS-ASO,-12.32,-999.00,-37.32,-999.00,-999.00,-999.00,-37.37,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-13.58,-14.08,-999.00,-999.00,-999.00,-13.86,-999.00,-999.00,-8.96,-6.37,-999.00,-999.00
CSIRO-Mk3L-1-2,-12.57,-12.92,-999.00,-999.00,-999.00,-12.71,-999.00,-999.00,-7.65,-999.00,-999.00,-999.00
EC-EARTH-2-2,-16.30,-17.30,-999.00,-999.00,-999.00,-17.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-17.44,-17.76,-999.00,-999.00,-999.00,-17.58,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-16.11,-17.19,-999.00,-16.24,-999.00,-17.02,-999.00,-16.61,-7.13,-7.04,-999.00,-999.00
FGOALS-g2,-12.14,-14.05,-32.86,-999.00,-999.00,-13.88,-32.91,-999.00,-5.45,-4.18,-999.00,-999.00
FGOALS-g3,-15.02,-16.16,-999.00,-14.01,-999.00,-15.98,-999.00,-14.36,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-13.26,-14.45,-999.00,-999.00,-999.00,-14.25,-999.00,-999.00,-6.85,-4.69,-999.00,-999.00
GISS-E2-1-G,-14.19,-15.68,-999.00,-14.35,-9.66,-15.52,-999.00,-14.66,-12.86,-8.36,-999.00,-999.00
GISS-E2-R,-13.77,-14.25,-30.38,-999.00,-999.00,-14.09,-30.42,-999.00,-9.92,-9.26,-999.00,-999.00
HadCM3,-13.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-17.09,-16.65,-999.00,-999.00,-999.00,-16.40,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-14.91,-14.64,-999.00,-999.00,-999.00,-14.41,-999.00,-999.00,-5.50,-0.56,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-15.08,-999.00,-13.53,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-13.82,-14.85,-33.66,-13.31,-999.00,-14.64,-33.72,-13.67,-9.41,-8.25,-999.00,-999.00
IPSL-CM5A-LR,-13.09,-14.03,-35.12,-999.00,-999.00,-13.85,-35.16,-999.00,-7.99,-5.95,-999.00,-999.00
IPSL-CM6A-LR,-14.12,-15.56,-999.00,-14.23,-5.82,-15.38,-999.00,-14.61,-5.75, 1.60,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-10.56,-11.89,-25.52,-10.53,-999.00,-11.67,-25.57,-10.90,-3.54,-2.34,-999.00,-999.00
MIROC-ESM,-10.36,-12.32,-32.51,-999.00,-999.00,-12.12,-32.56,-999.00,-1.67, 1.72,-999.00,-999.00
MPI-ESM1-2-LR,-13.44,-14.76,-32.62,-4.44,-999.00,-14.56,-999.00,-4.39,-5.02,-4.33,-999.00,-999.00
MPI-ESM-P,-13.62,-14.64,-35.59,-999.00,-999.00,-14.46,-35.63,-999.00,-7.44,-4.39,-999.00,-999.00
MRI-CGCM3,-15.90,-16.34,-32.39,-999.00,-999.00,-16.12,-32.45,-999.00,-10.24,-9.26,-999.00,-999.00
MRI-ESM2-0,-12.86,-13.93,-999.00,-999.00,-999.00,-13.73,-999.00,-999.00,-8.27,-5.60,-999.00,-999.00
NESM3,-14.34,-16.03,-999.00,-14.89,-999.00,-15.82,-999.00,-15.29,-3.79,-1.30,-999.00,-999.00
NorESM1-F,-11.76,-13.13,-999.00,-11.69,-4.33,-12.94,-999.00,-12.04,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-14.06,-15.20,-999.00,-14.12,-999.00,-15.00,-999.00,-14.44,-7.28,-1.42,-999.00,-999.00
UofT-CCSM-4,-17.44,-18.29,-33.08,-999.00,-999.00,-18.08,-33.13,-999.00,-999.00,-999.00,-999.00,-999.00
