MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.75,-999.00,-999.00,14.86,-999.00,-999.00,-999.00,15.73,18.86,20.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,12.25,-2.06,12.87,-999.00,12.62,-2.09,13.73,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.72,11.33,-4.69,-999.00,-999.00,11.72,-4.73,-999.00,17.11,17.50,-999.00,-999.00
CESM2,14.05,13.79,-999.00,13.44,18.73,14.20,-999.00,14.34,19.92,21.74,-999.00,-999.00
CNRM-CM5,10.84,11.24, 1.68,-999.00,-999.00,11.63, 1.61,-999.00,16.03,17.84,-999.00,-999.00
CNRM-CM6-1, 9.55,-999.00,-999.00, 9.97,-999.00,-999.00,-999.00,10.87,16.66,17.76,-999.00,-999.00
COSMOS-ASO,12.92,-999.00,-5.12,-999.00,-999.00,-999.00,-5.16,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.72,11.95,-999.00,-999.00,-999.00,12.39,-999.00,-999.00,16.51,18.82,-999.00,-999.00
CSIRO-Mk3L-1-2,12.64,12.75,-999.00,-999.00,-999.00,13.17,-999.00,-999.00,17.15,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.60, 8.47,-999.00,-999.00,-999.00, 8.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 9.56, 9.43,-999.00,-999.00,-999.00, 9.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,10.45, 9.88,-999.00, 9.72,-999.00,10.31,-999.00,10.62,17.33,17.21,-999.00,-999.00
FGOALS-g2, 7.92, 7.26,-9.36,-999.00,-999.00, 7.65,-9.40,-999.00,14.24,15.00,-999.00,-999.00
FGOALS-g3, 9.77, 9.88,-999.00,10.35,-999.00,10.29,-999.00,11.27,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,13.93,13.74,-999.00,-999.00,-999.00,14.15,-999.00,-999.00,19.42,20.41,-999.00,-999.00
GISS-E2-1-G,10.46,10.08,-999.00,10.75,12.15,10.45,-999.00,11.62,11.65,15.19,-999.00,-999.00
GISS-E2-R,10.83,10.43,-0.46,-999.00,-999.00,10.75,-0.50,-999.00,14.92,15.96,-999.00,-999.00
HadCM3,10.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,11.52,12.01,-999.00,-999.00,-999.00,12.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,12.69,13.13,-999.00,-999.00,-999.00,13.54,-999.00,-999.00,19.15,20.96,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,12.80,-999.00,14.16,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,13.29,12.72,-4.43,12.75,-999.00,13.07,-4.48,13.59,17.41,18.03,-999.00,-999.00
IPSL-CM5A-LR, 9.75, 9.68,-6.61,-999.00,-999.00,10.01,-6.64,-999.00,15.55,17.43,-999.00,-999.00
IPSL-CM6A-LR,10.03, 9.62,-999.00,10.13,12.86,10.00,-999.00,10.98,17.55,21.71,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,13.93,12.89, 0.52,13.30,-999.00,13.25, 0.47,14.17,19.42,20.61,-999.00,-999.00
MIROC-ESM,14.07,13.60,-5.86,-999.00,-999.00,13.94,-5.90,-999.00,20.45,22.19,-999.00,-999.00
MPI-ESM1-2-LR,10.44,10.31,-4.60,12.08,-999.00,10.66,-999.00,12.01,17.70,17.60,-999.00,-999.00
MPI-ESM-P,11.22,11.29,-7.26,-999.00,-999.00,11.62,-7.30,-999.00,17.27,19.18,-999.00,-999.00
MRI-CGCM3, 9.83,10.13,-1.97,-999.00,-999.00,10.45,-2.02,-999.00,13.57,14.48,-999.00,-999.00
MRI-ESM2-0,11.65,11.65,-999.00,-999.00,-999.00,12.00,-999.00,-999.00,15.69,16.83,-999.00,-999.00
NESM3,12.53,11.30,-999.00,12.28,-999.00,11.65,-999.00,13.09,20.60,21.70,-999.00,-999.00
NorESM1-F,13.32,12.85,-999.00,13.40,15.36,13.24,-999.00,14.34,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.06,14.85,-999.00,14.97,-999.00,15.25,-999.00,15.88,20.00,22.12,-999.00,-999.00
UofT-CCSM-4,10.79,10.51,-2.61,-999.00,-999.00,10.92,-2.66,-999.00,-999.00,-999.00,-999.00,-999.00
