MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,14.10,-999.00,-999.00,13.41,-999.00,-999.00,-999.00,17.08,19.98,21.17,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,13.83,-1.88,12.11,-999.00,14.97,-1.97,15.85,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,12.47,12.51,-4.83,-999.00,-999.00,13.75,-4.95,-999.00,18.03,18.45,-999.00,-999.00
CESM2,15.68,16.05,-999.00,13.90,20.24,17.18,-999.00,17.29,21.69,23.50,-999.00,-999.00
CNRM-CM5,11.86,12.89, 4.59,-999.00,-999.00,14.05, 4.44,-999.00,16.87,18.83,-999.00,-999.00
CNRM-CM6-1,11.96,-999.00,-999.00,11.70,-999.00,-999.00,-999.00,15.16,18.67,19.77,-999.00,-999.00
COSMOS-ASO,12.99,-999.00,-4.87,-999.00,-999.00,-999.00,-4.98,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,11.79,12.45,-999.00,-999.00,-999.00,13.80,-999.00,-999.00,16.34,18.65,-999.00,-999.00
CSIRO-Mk3L-1-2,13.43,13.76,-999.00,-999.00,-999.00,15.00,-999.00,-999.00,17.79,-999.00,-999.00,-999.00
EC-EARTH-2-2, 9.03, 9.13,-999.00,-999.00,-999.00,10.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,11.83,12.39,-999.00,-999.00,-999.00,13.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,11.38,11.31,-999.00, 8.98,-999.00,12.35,-999.00,12.27,17.88,17.94,-999.00,-999.00
FGOALS-g2, 9.02, 9.04,-9.11,-999.00,-999.00,10.16,-9.22,-999.00,15.65,16.39,-999.00,-999.00
FGOALS-g3,10.70,11.43,-999.00, 9.57,-999.00,12.57,-999.00,12.99,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,15.74,16.23,-999.00,-999.00,-999.00,17.42,-999.00,-999.00,21.42,22.26,-999.00,-999.00
GISS-E2-1-G,11.51,11.51,-999.00, 9.95,12.59,12.65,-999.00,13.39,12.68,16.48,-999.00,-999.00
GISS-E2-R,11.83,11.74,-0.69,-999.00,-999.00,12.73,-0.78,-999.00,16.38,17.28,-999.00,-999.00
HadCM3,11.36,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,12.17,13.49,-999.00,-999.00,-999.00,14.77,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,13.21,14.59,-999.00,-999.00,-999.00,15.85,-999.00,-999.00,20.40,22.95,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,16.20,-999.00,17.49,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,13.53,13.44,-3.67,11.41,-999.00,14.54,-3.80,14.83,17.67,18.16,-999.00,-999.00
IPSL-CM5A-LR,10.20,10.73,-5.74,-999.00,-999.00,11.82,-5.83,-999.00,16.21,18.07,-999.00,-999.00
IPSL-CM6A-LR,11.67,11.85,-999.00,10.70,14.83,12.99,-999.00,14.17,19.89,25.00,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.15,13.54, 0.09,11.57,-999.00,14.59,-0.03,14.80,19.61,20.46,-999.00,-999.00
MIROC-ESM,13.85,13.74,-4.44,-999.00,-999.00,14.77,-4.54,-999.00,19.81,22.46,-999.00,-999.00
MPI-ESM1-2-LR,11.13,11.79,-3.66,10.79,-999.00,12.86,-999.00,10.48,19.81,19.61,-999.00,-999.00
MPI-ESM-P,12.01,12.48,-6.03,-999.00,-999.00,13.49,-6.11,-999.00,18.96,21.17,-999.00,-999.00
MRI-CGCM3, 9.83,10.32,-1.31,-999.00,-999.00,11.32,-1.45,-999.00,13.91,14.82,-999.00,-999.00
MRI-ESM2-0,12.04,12.50,-999.00,-999.00,-999.00,13.59,-999.00,-999.00,16.24,17.49,-999.00,-999.00
NESM3,14.04,13.44,-999.00,12.72,-999.00,14.51,-999.00,16.23,23.72,24.69,-999.00,-999.00
NorESM1-F,13.80,13.87,-999.00,11.63,16.97,15.13,-999.00,15.45,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.93,16.48,-999.00,14.27,-999.00,17.67,-999.00,17.86,21.43,23.46,-999.00,-999.00
UofT-CCSM-4,11.82,12.05,-2.56,-999.00,-999.00,13.32,-2.69,-999.00,-999.00,-999.00,-999.00,-999.00
