MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,13.03,-999.00,-999.00,13.19,-999.00,-999.00,-999.00,12.77,18.00,18.86,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,10.08,-2.02,10.85,-999.00,10.19,-2.06,10.58,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,11.64,10.26,-3.24,-999.00,-999.00,10.37,-3.28,-999.00,16.39,16.86,-999.00,-999.00
CESM2,13.03,11.27,-999.00,11.29,17.85,11.42,-999.00,10.97,18.98,20.83,-999.00,-999.00
CNRM-CM5, 9.89, 9.00,-0.78,-999.00,-999.00, 9.12,-0.84,-999.00,14.18,15.68,-999.00,-999.00
CNRM-CM6-1, 9.06,-999.00,-999.00, 8.15,-999.00,-999.00,-999.00, 7.90,15.09,16.33,-999.00,-999.00
COSMOS-ASO,13.29,-999.00,-4.82,-999.00,-999.00,-999.00,-4.87,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,10.39, 9.46,-999.00,-999.00,-999.00, 9.60,-999.00,-999.00,14.52,16.72,-999.00,-999.00
CSIRO-Mk3L-1-2,12.24,11.42,-999.00,-999.00,-999.00,11.55,-999.00,-999.00,15.91,-999.00,-999.00,-999.00
EC-EARTH-2-2, 8.32, 7.16,-999.00,-999.00,-999.00, 7.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 8.46, 7.00,-999.00,-999.00,-999.00, 7.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,10.01, 8.60,-999.00, 9.15,-999.00, 8.74,-999.00, 8.87,16.48,16.20,-999.00,-999.00
FGOALS-g2, 6.94, 4.90,-9.32,-999.00,-999.00, 5.06,-9.36,-999.00,12.57,13.46,-999.00,-999.00
FGOALS-g3, 9.23, 7.83,-999.00, 9.31,-999.00, 7.98,-999.00, 9.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,12.58,11.25,-999.00,-999.00,-999.00,11.38,-999.00,-999.00,17.46,18.47,-999.00,-999.00
GISS-E2-1-G, 9.97, 8.47,-999.00, 9.59,12.06, 8.60,-999.00, 9.32,11.03,14.85,-999.00,-999.00
GISS-E2-R,10.95, 9.70, 0.47,-999.00,-999.00, 9.80, 0.43,-999.00,15.03,15.87,-999.00,-999.00
HadCM3,10.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,11.11,10.19,-999.00,-999.00,-999.00,10.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,12.39,11.22,-999.00,-999.00,-999.00,11.34,-999.00,-999.00,18.02,19.64,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,10.07,-999.00,10.59,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,12.67,11.26,-3.89,11.79,-999.00,11.38,-3.94,11.53,16.12,16.52,-999.00,-999.00
IPSL-CM5A-LR, 9.96, 8.69,-7.00,-999.00,-999.00, 8.79,-7.04,-999.00,15.33,16.31,-999.00,-999.00
IPSL-CM6A-LR, 8.73, 7.06,-999.00, 7.91,10.79, 7.18,-999.00, 7.62,15.42,18.86,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.15,12.20, 2.24,13.59,-999.00,12.34, 2.19,13.32,19.16,20.64,-999.00,-999.00
MIROC-ESM,13.68,12.23,-6.75,-999.00,-999.00,12.37,-6.79,-999.00,19.88,21.30,-999.00,-999.00
MPI-ESM1-2-LR, 9.90, 8.44,-5.13,13.25,-999.00, 8.56,-999.00,13.29,16.16,16.19,-999.00,-999.00
MPI-ESM-P,10.86,10.09,-8.02,-999.00,-999.00,10.19,-8.06,-999.00,16.00,17.63,-999.00,-999.00
MRI-CGCM3, 9.68, 9.14,-2.52,-999.00,-999.00, 9.24,-2.56,-999.00,12.52,13.51,-999.00,-999.00
MRI-ESM2-0,11.08, 9.98,-999.00,-999.00,-999.00,10.09,-999.00,-999.00,14.97,15.88,-999.00,-999.00
NESM3,11.45, 9.05,-999.00,10.25,-999.00, 9.17,-999.00,10.00,18.00,18.99,-999.00,-999.00
NorESM1-F,13.62,12.36,-999.00,13.65,15.21,12.47,-999.00,13.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,15.09,13.48,-999.00,14.14,-999.00,13.59,-999.00,13.88,19.62,21.22,-999.00,-999.00
UofT-CCSM-4,10.85, 9.54,-1.39,-999.00,-999.00, 9.64,-1.43,-999.00,-999.00,-999.00,-999.00,-999.00
