MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.46,-999.00,-999.00, 3.40,-999.00,-999.00,-999.00, 3.34, 3.77, 3.92,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.86, 2.45, 2.93,-999.00, 2.81, 2.33, 2.93,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.78, 2.80, 2.27,-999.00,-999.00, 2.74, 2.17,-999.00, 3.14, 3.20,-999.00,-999.00
CESM2, 3.17, 3.10,-999.00, 3.07,-999.00, 3.00,-999.00, 3.02, 3.54, 3.70,-999.00,-999.00
CNRM-CM5, 2.83, 2.87, 2.67,-999.00,-999.00, 2.81, 2.57,-999.00, 3.08, 3.12,-999.00,-999.00
CNRM-CM6-1, 2.86,-999.00,-999.00, 2.80,-999.00,-999.00,-999.00,-999.00, 3.05, 3.05,-999.00,-999.00
COSMOS-ASO, 3.26,-999.00, 2.65,-999.00,-999.00,-999.00, 2.54,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.54, 2.76,-999.00,-999.00,-999.00, 2.64,-999.00,-999.00, 2.73, 2.79,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.44, 2.56,-999.00,-999.00,-999.00, 2.42,-999.00,-999.00, 2.74,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.34, 2.39,-999.00,-999.00,-999.00, 2.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.53, 2.55,-999.00,-999.00,-999.00, 2.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.25, 2.22,-999.00, 2.25,-999.00, 2.12,-999.00, 2.18, 2.60, 2.59,-999.00,-999.00
FGOALS-g2, 2.30, 2.24, 1.93,-999.00,-999.00, 2.18, 1.87,-999.00, 2.50, 2.55,-999.00,-999.00
FGOALS-g3, 2.18, 2.07,-999.00, 2.04,-999.00, 2.01,-999.00, 2.01,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.58, 2.49,-999.00,-999.00,-999.00, 2.40,-999.00,-999.00, 2.82, 2.87,-999.00,-999.00
GISS-E2-1-G, 2.92, 2.92,-999.00, 3.04,-999.00, 2.86,-999.00, 3.02, 2.98, 3.25,-999.00,-999.00
GISS-E2-R, 2.94, 3.05, 2.59,-999.00,-999.00, 3.01, 2.55,-999.00, 3.18, 3.03,-999.00,-999.00
HadCM3, 2.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.00, 3.05,-999.00,-999.00,-999.00, 2.96,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.99, 3.06,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00, 3.32, 3.42,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.16,-999.00, 3.30,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.06, 4.02, 3.34, 3.96,-999.00, 4.01, 3.25, 4.02, 4.32, 4.38,-999.00,-999.00
IPSL-CM5A-LR, 2.56, 2.66, 2.10,-999.00,-999.00, 2.60, 2.03,-999.00, 2.64, 2.57,-999.00,-999.00
IPSL-CM6A-LR, 2.67, 2.73,-999.00, 2.74,-999.00, 2.66,-999.00, 2.75, 3.02, 3.27,-999.00,-999.00
KCM1-2-2, 1.14, 1.07,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.59, 3.54, 2.93,-999.00,-999.00, 3.51, 2.86, 3.71, 3.87, 3.84,-999.00,-999.00
MIROC-ESM, 2.64, 2.53, 2.06,-999.00,-999.00, 2.44, 1.95,-999.00, 2.86, 2.94,-999.00,-999.00
MPI-ESM1-2-LR, 2.81, 2.88, 2.51,-999.00,-999.00, 2.82,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.70, 2.82, 2.47,-999.00,-999.00, 2.73, 2.35,-999.00, 2.87, 2.87,-999.00,-999.00
MRI-CGCM3, 2.24, 2.28, 1.87,-999.00,-999.00, 2.22, 1.77,-999.00, 2.57, 2.64,-999.00,-999.00
MRI-ESM2-0, 2.61, 2.67,-999.00,-999.00,-999.00, 2.59,-999.00,-999.00, 2.84, 2.91,-999.00,-999.00
NESM3, 3.20, 3.34,-999.00, 3.42,-999.00, 3.30,-999.00, 3.46, 3.65, 3.70,-999.00,-999.00
NorESM1-F, 2.94, 2.90,-999.00, 2.81,-999.00, 2.80,-999.00, 2.78,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.92, 3.09,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00, 3.14, 3.30,-999.00,-999.00
UofT-CCSM-4, 2.56, 2.58, 2.44,-999.00,-999.00, 2.50, 2.34,-999.00,-999.00,-999.00,-999.00,-999.00
