MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.83,-999.00,-999.00, 2.02,-999.00,-999.00,-999.00, 1.97, 2.11, 2.16,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.57, 1.43, 1.78,-999.00, 1.55, 1.39, 1.76,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.74, 1.87, 1.54,-999.00,-999.00, 1.85, 1.51,-999.00, 2.14, 2.08,-999.00,-999.00
CESM2, 2.13, 2.20,-999.00, 2.35,-999.00, 2.16,-999.00, 2.29, 2.30, 2.51,-999.00,-999.00
CNRM-CM5, 1.40, 1.54, 1.49,-999.00,-999.00, 1.52, 1.47,-999.00, 1.60, 1.59,-999.00,-999.00
CNRM-CM6-1, 1.60,-999.00,-999.00, 1.84,-999.00,-999.00,-999.00,-999.00, 1.63, 1.71,-999.00,-999.00
COSMOS-ASO, 1.36,-999.00, 1.50,-999.00,-999.00,-999.00, 1.47,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.75, 2.11,-999.00,-999.00,-999.00, 2.04,-999.00,-999.00, 1.78, 1.71,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.56, 1.86,-999.00,-999.00,-999.00, 1.80,-999.00,-999.00, 1.64,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.11, 1.21,-999.00,-999.00,-999.00, 1.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.34, 1.50,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.10, 1.15,-999.00, 1.30,-999.00, 1.10,-999.00, 1.25, 1.42, 1.40,-999.00,-999.00
FGOALS-g2, 1.23, 1.24, 1.07,-999.00,-999.00, 1.21, 1.05,-999.00, 1.27, 1.38,-999.00,-999.00
FGOALS-g3, 1.34, 1.31,-999.00, 1.41,-999.00, 1.28,-999.00, 1.37,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.28, 1.31,-999.00,-999.00,-999.00, 1.27,-999.00,-999.00, 1.47, 1.45,-999.00,-999.00
GISS-E2-1-G, 1.12, 1.26,-999.00, 1.55,-999.00, 1.26,-999.00, 1.54, 1.20, 1.38,-999.00,-999.00
GISS-E2-R, 1.30, 1.54, 1.19,-999.00,-999.00, 1.54, 1.18,-999.00, 1.28, 1.16,-999.00,-999.00
HadCM3, 1.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.50, 1.69,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.56, 1.68,-999.00,-999.00,-999.00, 1.66,-999.00,-999.00, 1.73, 1.75,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.91,-999.00, 2.15,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.91, 2.00, 1.90, 2.12,-999.00, 2.00, 1.89, 2.11, 2.13, 2.14,-999.00,-999.00
IPSL-CM5A-LR, 1.50, 1.79, 1.11,-999.00,-999.00, 1.78, 1.09,-999.00, 1.67, 1.78,-999.00,-999.00
IPSL-CM6A-LR, 1.65, 1.79,-999.00, 1.91,-999.00, 1.76,-999.00, 1.88, 1.89, 2.09,-999.00,-999.00
KCM1-2-2, 0.31, 0.31,-999.00,-999.00,-999.00, 0.31,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.12, 2.25, 1.88,-999.00,-999.00, 2.23, 1.86, 2.61, 2.12, 1.99,-999.00,-999.00
MIROC-ESM, 1.53, 1.52, 1.42,-999.00,-999.00, 1.48, 1.39,-999.00, 1.52, 1.63,-999.00,-999.00
MPI-ESM1-2-LR, 1.55, 1.74, 1.37,-999.00,-999.00, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.57, 1.76, 1.44,-999.00,-999.00, 1.72, 1.41,-999.00, 1.64, 1.70,-999.00,-999.00
MRI-CGCM3, 1.21, 1.46, 1.10,-999.00,-999.00, 1.44, 1.07,-999.00, 1.42, 1.45,-999.00,-999.00
MRI-ESM2-0, 1.59, 1.83,-999.00,-999.00,-999.00, 1.81,-999.00,-999.00, 1.70, 1.72,-999.00,-999.00
NESM3, 1.61, 1.86,-999.00, 2.18,-999.00, 1.86,-999.00, 2.18, 1.71, 1.70,-999.00,-999.00
NorESM1-F, 1.94, 1.95,-999.00, 2.03,-999.00, 1.90,-999.00, 1.96,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.88, 1.93,-999.00,-999.00,-999.00, 1.89,-999.00,-999.00, 1.95, 2.14,-999.00,-999.00
UofT-CCSM-4, 1.63, 1.75, 1.54,-999.00,-999.00, 1.71, 1.50,-999.00,-999.00,-999.00,-999.00,-999.00
