MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.79,-999.00,-999.00, 2.73,-999.00,-999.00,-999.00, 3.22, 3.00, 3.21,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.40, 1.59, 2.15,-999.00, 2.48, 1.50, 2.53,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.27, 2.43, 1.55,-999.00,-999.00, 2.50, 1.47,-999.00, 2.67, 2.84,-999.00,-999.00
CESM2, 2.72, 2.91,-999.00, 2.42,-999.00, 2.96,-999.00, 2.91, 3.18, 3.29,-999.00,-999.00
CNRM-CM5, 2.21, 2.40, 2.03,-999.00,-999.00, 2.44, 1.94,-999.00, 2.31, 2.36,-999.00,-999.00
CNRM-CM6-1, 2.36,-999.00,-999.00, 2.18,-999.00,-999.00,-999.00,-999.00, 2.37, 2.22,-999.00,-999.00
COSMOS-ASO, 2.50,-999.00, 1.92,-999.00,-999.00,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.83, 2.05,-999.00,-999.00,-999.00, 2.09,-999.00,-999.00, 1.84, 1.77,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.57, 1.69,-999.00,-999.00,-999.00, 1.72,-999.00,-999.00, 1.80,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.92, 2.12,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.12, 2.22,-999.00,-999.00,-999.00, 2.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.20, 2.28,-999.00, 2.01,-999.00, 2.25,-999.00, 2.21, 2.59, 2.52,-999.00,-999.00
FGOALS-g2, 1.99, 2.11, 1.54,-999.00,-999.00, 2.13, 1.47,-999.00, 2.25, 2.11,-999.00,-999.00
FGOALS-g3, 1.99, 2.07,-999.00, 1.74,-999.00, 2.08,-999.00, 1.98,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.41, 2.52,-999.00,-999.00,-999.00, 2.54,-999.00,-999.00, 2.69, 2.88,-999.00,-999.00
GISS-E2-1-G, 2.70, 2.71,-999.00, 2.55,-999.00, 2.75,-999.00, 2.83, 2.76, 2.89,-999.00,-999.00
GISS-E2-R, 2.49, 2.69, 2.19,-999.00,-999.00, 2.76, 2.14,-999.00, 2.48, 2.36,-999.00,-999.00
HadCM3, 2.19,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.26, 2.34,-999.00,-999.00,-999.00, 2.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.19, 2.38,-999.00,-999.00,-999.00, 2.42,-999.00,-999.00, 2.47, 2.59,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.82,-999.00, 2.89,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.62, 3.73, 2.65, 3.26,-999.00, 3.84, 2.57, 3.65, 3.78, 3.79,-999.00,-999.00
IPSL-CM5A-LR, 1.97, 2.13, 1.63,-999.00,-999.00, 2.19, 1.57,-999.00, 1.93, 2.01,-999.00,-999.00
IPSL-CM6A-LR, 1.97, 2.14,-999.00, 1.82,-999.00, 2.20,-999.00, 2.23, 2.17, 2.61,-999.00,-999.00
KCM1-2-2, 1.14, 1.07,-999.00,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.96, 3.08, 2.18,-999.00,-999.00, 3.20, 2.11, 3.12, 3.31, 3.28,-999.00,-999.00
MIROC-ESM, 2.52, 2.49, 1.75,-999.00,-999.00, 2.46, 1.63,-999.00, 2.81, 2.80,-999.00,-999.00
MPI-ESM1-2-LR, 1.80, 2.02, 1.62,-999.00,-999.00, 2.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.90, 2.16, 1.66,-999.00,-999.00, 2.20, 1.56,-999.00, 1.93, 1.93,-999.00,-999.00
MRI-CGCM3, 1.93, 1.95, 1.56,-999.00,-999.00, 1.97, 1.48,-999.00, 2.10, 2.14,-999.00,-999.00
MRI-ESM2-0, 1.76, 1.88,-999.00,-999.00,-999.00, 1.93,-999.00,-999.00, 1.86, 1.98,-999.00,-999.00
NESM3, 2.32, 2.71,-999.00, 2.35,-999.00, 2.79,-999.00, 2.81, 2.85, 2.96,-999.00,-999.00
NorESM1-F, 2.44, 2.55,-999.00, 2.09,-999.00, 2.61,-999.00, 2.53,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.45, 2.79,-999.00,-999.00,-999.00, 2.86,-999.00,-999.00, 2.53, 2.84,-999.00,-999.00
UofT-CCSM-4, 2.19, 2.34, 1.82,-999.00,-999.00, 2.40, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00
