MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 9.62,-999.00,-999.00, 9.68,-999.00,-999.00,-999.00,10.52,15.17,16.22,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 7.07, 5.03, 6.91,-999.00, 7.45, 4.99, 7.77,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 8.09, 7.42, 3.04,-999.00,-999.00, 7.82, 3.00,-999.00,13.26,13.67,-999.00,-999.00
CESM2,10.41,10.21,-999.00,10.06,15.01,10.58,-999.00,10.96,15.91,18.04,-999.00,-999.00
CNRM-CM5, 6.74, 6.77, 3.98,-999.00,-999.00, 7.16, 3.93,-999.00,11.13,12.05,-999.00,-999.00
CNRM-CM6-1, 6.75,-999.00,-999.00, 6.87,-999.00,-999.00,-999.00, 7.84,13.40,14.60,-999.00,-999.00
COSMOS-ASO, 9.25,-999.00, 4.95,-999.00,-999.00,-999.00, 4.91,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.18, 7.97,-999.00,-999.00,-999.00, 8.37,-999.00,-999.00,12.53,14.42,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.01, 7.85,-999.00,-999.00,-999.00, 8.23,-999.00,-999.00,11.49,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.12, 4.88,-999.00,-999.00,-999.00, 5.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.87, 6.76,-999.00,-999.00,-999.00, 7.15,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 7.50, 6.75,-999.00, 6.55,-999.00, 7.24,-999.00, 7.50,13.80,13.65,-999.00,-999.00
FGOALS-g2, 5.91, 5.07, 2.06,-999.00,-999.00, 5.47, 2.02,-999.00,11.07,12.36,-999.00,-999.00
FGOALS-g3, 6.71, 6.59,-999.00, 6.78,-999.00, 7.02,-999.00, 7.78,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.52, 9.98,-999.00,-999.00,-999.00,10.36,-999.00,-999.00,15.77,16.73,-999.00,-999.00
GISS-E2-1-G, 9.42, 8.89,-999.00, 9.03,10.58, 9.21,-999.00, 9.77,10.39,13.75,-999.00,-999.00
GISS-E2-R, 9.07, 8.71, 0.33,-999.00,-999.00, 9.04, 0.30,-999.00,13.50,13.83,-999.00,-999.00
HadCM3, 8.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 8.51, 8.37,-999.00,-999.00,-999.00, 8.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 9.09, 9.37,-999.00,-999.00,-999.00, 9.77,-999.00,-999.00,15.20,17.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 8.50,-999.00, 9.89,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 9.40, 8.73, 4.28, 8.77,-999.00, 9.07, 4.24, 9.59,12.61,13.02,-999.00,-999.00
IPSL-CM5A-LR, 6.08, 5.84, 1.13,-999.00,-999.00, 6.23, 1.09,-999.00,12.12,14.06,-999.00,-999.00
IPSL-CM6A-LR, 5.67, 5.00,-999.00, 5.22, 8.78, 5.43,-999.00, 6.18,13.43,18.43,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 9.88, 9.03, 4.50, 8.73,-999.00, 9.40, 4.46, 9.61,14.61,15.20,-999.00,-999.00
MIROC-ESM, 9.98, 9.35, 3.50,-999.00,-999.00, 9.75, 3.45,-999.00,16.13,18.24,-999.00,-999.00
MPI-ESM1-2-LR, 8.25, 7.55, 4.02,13.04,-999.00, 7.91,-999.00,12.96,14.43,14.45,-999.00,-999.00
MPI-ESM-P, 8.71, 8.29, 4.73,-999.00,-999.00, 8.65, 4.70,-999.00,14.40,16.21,-999.00,-999.00
MRI-CGCM3, 6.81, 6.60, 3.22,-999.00,-999.00, 7.00, 3.18,-999.00,11.25,12.14,-999.00,-999.00
MRI-ESM2-0, 8.77, 8.33,-999.00,-999.00,-999.00, 8.72,-999.00,-999.00,12.58,13.62,-999.00,-999.00
NESM3, 8.20, 7.51,-999.00, 7.36,-999.00, 7.92,-999.00, 8.27,15.86,16.85,-999.00,-999.00
NorESM1-F, 9.54, 8.72,-999.00, 8.61,10.84, 9.13,-999.00, 9.59,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,10.48,10.24,-999.00,10.15,-999.00,10.60,-999.00,11.01,15.57,18.22,-999.00,-999.00
UofT-CCSM-4, 7.05, 6.47, 2.97,-999.00,-999.00, 6.88, 2.93,-999.00,-999.00,-999.00,-999.00,-999.00
