MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,10.53,-999.00,-999.00,10.89,-999.00,-999.00,-999.00,10.60,15.39,16.41,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 6.33, 5.62, 7.19,-999.00, 6.45, 5.59, 6.96,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 8.91, 7.27, 4.62,-999.00,-999.00, 7.39, 4.59,-999.00,13.99,14.12,-999.00,-999.00
CESM2,11.15,10.11,-999.00,10.79,14.96,10.22,-999.00,10.55,16.32,18.47,-999.00,-999.00
CNRM-CM5, 6.72, 5.95, 3.96,-999.00,-999.00, 6.07, 3.92,-999.00,10.93,11.86,-999.00,-999.00
CNRM-CM6-1, 7.15,-999.00,-999.00, 6.95,-999.00,-999.00,-999.00, 6.69,13.08,13.98,-999.00,-999.00
COSMOS-ASO, 9.85,-999.00, 6.68,-999.00,-999.00,-999.00, 6.65,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 8.89, 7.91,-999.00,-999.00,-999.00, 8.04,-999.00,-999.00,12.75,14.23,-999.00,-999.00
CSIRO-Mk3L-1-2, 8.73, 7.92,-999.00,-999.00,-999.00, 8.03,-999.00,-999.00,11.68,-999.00,-999.00,-999.00
EC-EARTH-2-2, 5.70, 4.57,-999.00,-999.00,-999.00, 4.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 6.45, 5.37,-999.00,-999.00,-999.00, 5.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 8.00, 6.35,-999.00, 7.26,-999.00, 6.59,-999.00, 7.00,14.07,13.68,-999.00,-999.00
FGOALS-g2, 5.93, 4.26, 2.76,-999.00,-999.00, 4.39, 2.72,-999.00,10.46,11.61,-999.00,-999.00
FGOALS-g3, 7.30, 6.03,-999.00, 7.49,-999.00, 6.18,-999.00, 7.20,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,11.61,10.08,-999.00,-999.00,-999.00,10.18,-999.00,-999.00,16.48,17.46,-999.00,-999.00
GISS-E2-1-G, 9.31, 7.89,-999.00, 8.62,10.27, 7.98,-999.00, 8.40,10.10,13.48,-999.00,-999.00
GISS-E2-R, 9.20, 7.94, 0.86,-999.00,-999.00, 8.05, 0.83,-999.00,13.44,13.64,-999.00,-999.00
HadCM3, 9.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 9.44, 8.50,-999.00,-999.00,-999.00, 8.61,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,10.00, 9.46,-999.00,-999.00,-999.00, 9.58,-999.00,-999.00,15.60,17.34,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 7.28,-999.00, 8.36,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,10.22, 8.67, 5.24, 9.62,-999.00, 8.79, 5.21, 9.39,13.41,13.79,-999.00,-999.00
IPSL-CM5A-LR, 6.28, 4.92, 2.14,-999.00,-999.00, 5.04, 2.10,-999.00,12.09,14.00,-999.00,-999.00
IPSL-CM6A-LR, 5.33, 3.63,-999.00, 4.73, 7.64, 3.75,-999.00, 4.44,12.14,17.33,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,10.56, 8.90, 4.76, 9.89,-999.00, 9.01, 4.72, 9.66,15.02,15.82,-999.00,-999.00
MIROC-ESM, 9.90, 7.91, 2.78,-999.00,-999.00, 8.07, 2.75,-999.00,16.17,18.31,-999.00,-999.00
MPI-ESM1-2-LR, 8.55, 7.03, 4.54,14.12,-999.00, 7.13,-999.00,14.17,13.80,13.89,-999.00,-999.00
MPI-ESM-P, 9.53, 8.06, 6.21,-999.00,-999.00, 8.16, 6.18,-999.00,14.20,16.01,-999.00,-999.00
MRI-CGCM3, 7.53, 6.42, 4.44,-999.00,-999.00, 6.56, 4.40,-999.00,11.46,12.52,-999.00,-999.00
MRI-ESM2-0, 8.84, 7.54,-999.00,-999.00,-999.00, 7.67,-999.00,-999.00,12.08,13.07,-999.00,-999.00
NESM3, 7.44, 5.76,-999.00, 6.43,-999.00, 5.88,-999.00, 6.16,14.06,15.09,-999.00,-999.00
NorESM1-F,10.69, 8.97,-999.00,10.05,11.02, 9.09,-999.00, 9.80,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,10.84, 9.69,-999.00,10.40,-999.00, 9.80,-999.00,10.17,15.63,18.33,-999.00,-999.00
UofT-CCSM-4, 7.46, 5.63, 4.27,-999.00,-999.00, 5.76, 4.24,-999.00,-999.00,-999.00,-999.00,-999.00
