MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.82,-999.00,-999.00, 3.50,-999.00,-999.00,-999.00, 3.44, 4.00, 4.12,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.02, 2.46, 2.92,-999.00, 3.00, 2.43, 2.93,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.03, 3.07, 2.42,-999.00,-999.00, 3.07, 2.39,-999.00, 3.35, 3.44,-999.00,-999.00
CESM2, 3.13, 2.95,-999.00, 2.79,-999.00, 2.93,-999.00, 2.75, 3.55, 3.83,-999.00,-999.00
CNRM-CM5, 3.24, 3.17, 2.56,-999.00,-999.00, 3.16, 2.49,-999.00, 3.54, 3.59,-999.00,-999.00
CNRM-CM6-1, 3.40,-999.00,-999.00, 3.39,-999.00,-999.00,-999.00,-999.00, 3.74, 3.75,-999.00,-999.00
COSMOS-ASO, 3.06,-999.00, 1.83,-999.00,-999.00,-999.00, 1.76,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.80, 2.83,-999.00,-999.00,-999.00, 2.80,-999.00,-999.00, 3.16, 3.16,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.70, 2.81,-999.00,-999.00,-999.00, 2.80,-999.00,-999.00, 3.10,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.97, 2.99,-999.00,-999.00,-999.00, 3.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.39, 3.35,-999.00,-999.00,-999.00, 3.34,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.83, 2.75,-999.00, 2.69,-999.00, 2.70,-999.00, 2.60, 3.27, 3.33,-999.00,-999.00
FGOALS-g2, 2.80, 2.72, 1.87,-999.00,-999.00, 2.71, 1.84,-999.00, 2.86, 3.23,-999.00,-999.00
FGOALS-g3, 3.07, 2.75,-999.00, 2.78,-999.00, 2.74,-999.00, 2.77,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.59, 2.62,-999.00,-999.00,-999.00, 2.59,-999.00,-999.00, 2.91, 2.97,-999.00,-999.00
GISS-E2-1-G, 3.24, 3.26,-999.00, 3.16,-999.00, 3.22,-999.00, 3.14, 3.27, 3.61,-999.00,-999.00
GISS-E2-R, 3.52, 3.61, 3.07,-999.00,-999.00, 3.62, 3.04,-999.00, 3.98, 3.78,-999.00,-999.00
HadCM3, 3.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.36, 3.17,-999.00,-999.00,-999.00, 3.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.38, 3.24,-999.00,-999.00,-999.00, 3.19,-999.00,-999.00, 3.60, 3.56,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.49,-999.00, 3.45,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.46, 3.56, 2.51, 3.51,-999.00, 3.56, 2.48, 3.53, 3.68, 3.76,-999.00,-999.00
IPSL-CM5A-LR, 3.34, 3.39, 2.30,-999.00,-999.00, 3.40, 2.25,-999.00, 3.44, 3.57,-999.00,-999.00
IPSL-CM6A-LR, 3.75, 3.71,-999.00, 3.67,-999.00, 3.68,-999.00, 3.68, 4.26, 4.58,-999.00,-999.00
KCM1-2-2, 2.46, 2.38,-999.00,-999.00,-999.00, 2.38,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.50, 3.62, 2.36,-999.00,-999.00, 3.65, 2.34, 3.74, 3.97, 3.95,-999.00,-999.00
MIROC-ESM, 3.31, 3.23, 2.28,-999.00,-999.00, 3.23, 2.24,-999.00, 3.43, 3.59,-999.00,-999.00
MPI-ESM1-2-LR, 3.36, 3.34, 2.48,-999.00,-999.00, 3.33,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.38, 3.37, 2.20,-999.00,-999.00, 3.34, 2.15,-999.00, 3.85, 3.96,-999.00,-999.00
MRI-CGCM3, 3.46, 3.46, 2.46,-999.00,-999.00, 3.45, 2.39,-999.00, 4.00, 4.18,-999.00,-999.00
MRI-ESM2-0, 3.57, 3.57,-999.00,-999.00,-999.00, 3.57,-999.00,-999.00, 4.13, 4.21,-999.00,-999.00
NESM3, 3.72, 3.97,-999.00, 3.96,-999.00, 3.95,-999.00, 3.98, 4.21, 4.31,-999.00,-999.00
NorESM1-F, 2.85, 2.82,-999.00, 2.77,-999.00, 2.82,-999.00, 2.80,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.98, 3.18,-999.00,-999.00,-999.00, 3.15,-999.00,-999.00, 3.21, 3.60,-999.00,-999.00
UofT-CCSM-4, 2.83, 2.86, 2.26,-999.00,-999.00, 2.86, 2.24,-999.00,-999.00,-999.00,-999.00,-999.00
