MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.95,-999.00,-999.00, 1.92,-999.00,-999.00,-999.00, 2.07, 4.29, 4.91,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.43, 0.93, 0.56,-999.00, 0.43, 0.92, 0.55,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.63, 2.73, 2.14,-999.00,-999.00, 2.65, 2.12,-999.00, 2.96, 1.75,-999.00,-999.00
CESM2, 3.29, 3.17,-999.00, 3.18,-999.00, 3.13,-999.00, 3.16, 4.35, 3.94,-999.00,-999.00
CNRM-CM5, 2.25, 2.49, 2.34,-999.00,-999.00, 2.46, 2.30,-999.00, 2.91, 2.94,-999.00,-999.00
CNRM-CM6-1, 1.88,-999.00,-999.00, 1.78,-999.00,-999.00,-999.00,-999.00, 3.08, 3.11,-999.00,-999.00
COSMOS-ASO, 1.23,-999.00, 1.20,-999.00,-999.00,-999.00, 1.18,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.05, 1.02,-999.00,-999.00,-999.00, 1.00,-999.00,-999.00, 3.64, 4.72,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.89, 1.92,-999.00,-999.00,-999.00, 1.90,-999.00,-999.00, 2.00,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.36, 1.60,-999.00,-999.00,-999.00, 1.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.01, 1.92,-999.00,-999.00,-999.00, 1.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.37, 3.45,-999.00, 3.27,-999.00, 3.31,-999.00, 3.20, 3.23, 3.14,-999.00,-999.00
FGOALS-g2, 2.28, 2.12, 1.85,-999.00,-999.00, 2.11, 1.84,-999.00, 1.35, 2.00,-999.00,-999.00
FGOALS-g3, 2.93, 2.42,-999.00, 2.11,-999.00, 2.37,-999.00, 2.06,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.75, 2.98,-999.00,-999.00,-999.00, 2.89,-999.00,-999.00, 3.65, 3.33,-999.00,-999.00
GISS-E2-1-G, 3.58, 3.52,-999.00, 3.64,-999.00, 3.46,-999.00, 3.56, 3.80, 3.81,-999.00,-999.00
GISS-E2-R, 2.23, 2.46, 1.82,-999.00,-999.00, 2.45, 1.81,-999.00, 2.68, 2.27,-999.00,-999.00
HadCM3, 1.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.35, 2.71,-999.00,-999.00,-999.00, 2.67,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.33, 2.64,-999.00,-999.00,-999.00, 2.60,-999.00,-999.00, 3.60, 4.38,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.39,-999.00, 2.11,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.93, 0.67, 0.87, 0.88,-999.00, 0.65, 0.85, 0.83, 1.81, 1.95,-999.00,-999.00
IPSL-CM5A-LR, 0.89, 0.72, 1.73,-999.00,-999.00, 0.72, 1.73,-999.00, 1.15, 1.45,-999.00,-999.00
IPSL-CM6A-LR, 0.90, 0.87,-999.00, 1.00,-999.00, 0.84,-999.00, 0.95, 2.33, 3.07,-999.00,-999.00
KCM1-2-2, 2.60, 1.93,-999.00,-999.00,-999.00, 1.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.80, 2.24, 2.50,-999.00,-999.00, 2.26, 2.49, 2.09, 3.49, 3.42,-999.00,-999.00
MIROC-ESM, 2.43, 2.47, 2.24,-999.00,-999.00, 2.47, 2.23,-999.00, 3.14, 2.96,-999.00,-999.00
MPI-ESM1-2-LR, 2.30, 1.82, 2.48,-999.00,-999.00, 1.76,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.21, 1.00, 1.61,-999.00,-999.00, 0.96, 1.54,-999.00, 2.49, 4.01,-999.00,-999.00
MRI-CGCM3, 1.84, 1.50, 1.90,-999.00,-999.00, 1.44, 1.80,-999.00, 3.45, 3.55,-999.00,-999.00
MRI-ESM2-0, 3.37, 2.62,-999.00,-999.00,-999.00, 2.51,-999.00,-999.00, 4.45, 5.20,-999.00,-999.00
NESM3, 1.58, 1.52,-999.00, 1.47,-999.00, 1.49,-999.00, 1.41, 2.26, 2.63,-999.00,-999.00
NorESM1-F, 2.77, 2.87,-999.00, 3.34,-999.00, 2.79,-999.00, 3.26,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.94, 3.50,-999.00,-999.00,-999.00, 3.46,-999.00,-999.00, 3.96, 3.72,-999.00,-999.00
UofT-CCSM-4, 1.52, 1.36, 0.80,-999.00,-999.00, 1.36, 0.80,-999.00,-999.00,-999.00,-999.00,-999.00
