MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.14,-999.00,-999.00, 1.05,-999.00,-999.00,-999.00, 1.34, 3.63, 4.66,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.38, 0.52, 0.56,-999.00, 0.38, 0.52, 0.57,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.94, 1.74, 2.04,-999.00,-999.00, 1.71, 2.03,-999.00, 1.46,-999.00,-999.00,-999.00
CESM2, 3.18, 3.05,-999.00, 3.05,-999.00, 3.03,-999.00, 3.05, 2.02, 1.86,-999.00,-999.00
CNRM-CM5, 1.48, 1.72, 1.58,-999.00,-999.00, 1.70, 1.57,-999.00, 1.53, 1.51,-999.00,-999.00
CNRM-CM6-1, 1.48,-999.00,-999.00, 1.33,-999.00,-999.00,-999.00,-999.00, 1.53, 1.49,-999.00,-999.00
COSMOS-ASO, 0.59,-999.00, 0.92,-999.00,-999.00,-999.00, 0.90,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.69, 1.05,-999.00,-999.00,-999.00, 1.04,-999.00,-999.00, 3.60, 4.12,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.44, 1.27,-999.00,-999.00,-999.00, 1.26,-999.00,-999.00, 1.47,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.30, 1.22,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.52, 1.69,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.35, 3.10,-999.00, 2.55,-999.00, 2.95,-999.00, 2.53, 2.59, 2.59,-999.00,-999.00
FGOALS-g2, 1.86, 1.59, 1.11,-999.00,-999.00, 1.58, 1.11,-999.00, 0.74, 1.00,-999.00,-999.00
FGOALS-g3, 2.34, 1.73,-999.00, 1.65,-999.00, 1.69,-999.00, 1.61,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.19, 2.29,-999.00,-999.00,-999.00, 2.22,-999.00,-999.00, 2.02, 2.14,-999.00,-999.00
GISS-E2-1-G, 3.56, 3.36,-999.00, 3.33,-999.00, 3.33,-999.00, 3.30, 3.96, 3.24,-999.00,-999.00
GISS-E2-R, 1.56, 1.55, 1.07,-999.00,-999.00, 1.54, 1.07,-999.00, 1.22, 1.52,-999.00,-999.00
HadCM3, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.20, 1.69,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.10, 1.68,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00, 1.68, 2.05,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.22,-999.00, 2.04,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.67, 0.53, 0.24, 0.44,-999.00, 0.53, 0.23, 0.44, 1.04, 1.28,-999.00,-999.00
IPSL-CM5A-LR, 0.64, 0.57, 0.90,-999.00,-999.00, 0.57, 0.90,-999.00, 0.91, 1.05,-999.00,-999.00
IPSL-CM6A-LR, 0.80, 0.82,-999.00, 0.83,-999.00, 0.79,-999.00, 0.81, 1.67, 1.31,-999.00,-999.00
KCM1-2-2, 2.60, 1.94,-999.00,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.93, 1.18, 1.94,-999.00,-999.00, 1.17, 1.93, 0.99, 2.56, 2.11,-999.00,-999.00
MIROC-ESM, 0.87, 0.75, 1.21,-999.00,-999.00, 0.75, 1.21,-999.00, 0.86, 0.45,-999.00,-999.00
MPI-ESM1-2-LR, 2.15, 1.71, 2.25,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.14, 1.09, 1.17,-999.00,-999.00, 1.06, 1.12,-999.00, 2.45, 4.29,-999.00,-999.00
MRI-CGCM3, 0.65, 0.78, 0.30,-999.00,-999.00, 0.75, 0.28,-999.00, 2.16, 2.19,-999.00,-999.00
MRI-ESM2-0, 2.92, 2.57,-999.00,-999.00,-999.00, 2.53,-999.00,-999.00, 4.16, 4.74,-999.00,-999.00
NESM3, 1.13, 1.24,-999.00, 1.36,-999.00, 1.23,-999.00, 1.35, 1.58, 1.85,-999.00,-999.00
NorESM1-F, 1.43, 1.59,-999.00, 1.42,-999.00, 1.56,-999.00, 1.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.97, 3.30,-999.00,-999.00,-999.00, 3.28,-999.00,-999.00, 3.89, 2.89,-999.00,-999.00
UofT-CCSM-4, 1.15, 0.89, 0.78,-999.00,-999.00, 0.89, 0.78,-999.00,-999.00,-999.00,-999.00,-999.00
