MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.79,-999.00,-999.00, 0.75,-999.00,-999.00,-999.00, 0.78, 0.78, 0.78,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.51, 0.59, 0.60,-999.00, 0.51, 0.59, 0.60,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.61, 0.60, 0.58,-999.00,-999.00, 0.60, 0.58,-999.00, 0.44, 0.52,-999.00,-999.00
CESM2, 0.78, 0.76,-999.00, 0.83, 0.96, 0.76,-999.00, 0.83, 0.57, 0.32,-999.00,-999.00
CNRM-CM5, 0.54, 0.53, 0.45,-999.00,-999.00, 0.54, 0.45,-999.00, 0.58, 0.52,-999.00,-999.00
CNRM-CM6-1, 0.48,-999.00,-999.00, 0.68,-999.00,-999.00,-999.00, 0.68, 0.73, 0.42,-999.00,-999.00
COSMOS-ASO, 1.99,-999.00, 1.89,-999.00,-999.00,-999.00, 1.89,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.81, 0.89,-999.00,-999.00,-999.00, 0.89,-999.00,-999.00, 1.03, 1.02,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.36, 0.42,-999.00,-999.00,-999.00, 0.42,-999.00,-999.00, 0.29,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.24, 0.36,-999.00,-999.00,-999.00, 0.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.32, 0.43,-999.00,-999.00,-999.00, 0.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.65, 0.70,-999.00, 0.71,-999.00, 0.68,-999.00, 0.71, 0.54, 0.50,-999.00,-999.00
FGOALS-g2, 0.33, 0.31, 0.17,-999.00,-999.00, 0.31, 0.17,-999.00, 0.52, 0.25,-999.00,-999.00
FGOALS-g3, 0.63, 0.49,-999.00, 0.56,-999.00, 0.49,-999.00, 0.56,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.10, 1.14,-999.00,-999.00,-999.00, 1.14,-999.00,-999.00, 0.94, 0.76,-999.00,-999.00
GISS-E2-1-G, 0.76, 0.71,-999.00, 0.72, 0.71, 0.71,-999.00, 0.72, 0.79, 0.51,-999.00,-999.00
GISS-E2-R, 0.45, 0.43, 0.24,-999.00,-999.00, 0.43, 0.24,-999.00, 0.29, 0.29,-999.00,-999.00
HadCM3, 0.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.49, 0.52,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.52, 0.52,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00, 0.45, 0.43,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.70,-999.00, 0.66,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.03, 0.61, 0.44, 0.67,-999.00, 0.61, 0.44, 0.67, 1.17, 1.13,-999.00,-999.00
IPSL-CM5A-LR, 0.51, 0.45, 0.61,-999.00,-999.00, 0.45, 0.61,-999.00, 0.44, 0.35,-999.00,-999.00
IPSL-CM6A-LR, 0.66, 0.65,-999.00, 0.71, 0.73, 0.65,-999.00, 0.71, 0.93, 0.62,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.65, 0.49, 0.54, 0.48,-999.00, 0.49, 0.54, 0.48, 0.98, 0.96,-999.00,-999.00
MIROC-ESM, 0.77, 0.57, 0.60,-999.00,-999.00, 0.57, 0.60,-999.00, 0.57, 0.33,-999.00,-999.00
MPI-ESM1-2-LR, 0.68, 0.58, 0.72, 0.67,-999.00, 0.57,-999.00, 0.67, 0.67, 0.80,-999.00,-999.00
MPI-ESM-P, 0.74, 0.61, 0.60,-999.00,-999.00, 0.60, 0.60,-999.00, 1.02, 1.22,-999.00,-999.00
MRI-CGCM3, 0.55, 0.65, 0.65,-999.00,-999.00, 0.65, 0.65,-999.00, 0.54, 0.48,-999.00,-999.00
MRI-ESM2-0, 0.60, 0.53,-999.00,-999.00,-999.00, 0.52,-999.00,-999.00, 0.63, 0.62,-999.00,-999.00
NESM3, 0.41, 0.46,-999.00, 0.63,-999.00, 0.46,-999.00, 0.63, 0.47, 0.41,-999.00,-999.00
NorESM1-F, 0.31, 0.32,-999.00, 0.51, 0.29, 0.32,-999.00, 0.51,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.65, 0.80,-999.00, 0.87,-999.00, 0.80,-999.00, 0.87, 0.71, 0.55,-999.00,-999.00
UofT-CCSM-4, 0.56, 0.48, 0.57,-999.00,-999.00, 0.48, 0.57,-999.00,-999.00,-999.00,-999.00,-999.00
