MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.58,-999.00,-999.00,27.61,-999.00,-999.00,-999.00,27.64,31.31,32.16,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.23,23.50,24.38,-999.00,24.25,23.50,24.54,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.69,26.75,24.52,-999.00,-999.00,26.75,24.52,-999.00,29.77,30.24,-999.00,-999.00
CESM2,26.91,26.61,-999.00,26.49,29.81,26.63,-999.00,26.62,31.29,33.22,-999.00,-999.00
CNRM-CM5,26.36,26.46,25.31,-999.00,-999.00,26.47,25.31,-999.00,29.33,30.29,-999.00,-999.00
CNRM-CM6-1,25.23,-999.00,-999.00,25.58,-999.00,-999.00,-999.00,25.68,29.18,30.55,-999.00,-999.00
COSMOS-ASO,22.96,-999.00,20.42,-999.00,-999.00,-999.00,20.42,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.50,24.28,-999.00,-999.00,-999.00,24.29,-999.00,-999.00,28.46,31.06,-999.00,-999.00
CSIRO-Mk3L-1-2,27.67,27.48,-999.00,-999.00,-999.00,27.48,-999.00,-999.00,30.44,-999.00,-999.00,-999.00
EC-EARTH-2-2,24.73,24.67,-999.00,-999.00,-999.00,24.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.83,25.88,-999.00,-999.00,-999.00,25.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.00,25.92,-999.00,26.07,-999.00,25.94,-999.00,26.16,29.95,30.00,-999.00,-999.00
FGOALS-g2,25.93,25.55,23.63,-999.00,-999.00,25.55,23.63,-999.00,27.20,30.34,-999.00,-999.00
FGOALS-g3,26.72,26.51,-999.00,26.77,-999.00,26.51,-999.00,26.84,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.86,25.68,-999.00,-999.00,-999.00,25.72,-999.00,-999.00,29.25,30.82,-999.00,-999.00
GISS-E2-1-G,26.55,26.53,-999.00,26.81,27.65,26.49,-999.00,26.76,27.13,30.64,-999.00,-999.00
GISS-E2-R,27.89,27.88,25.82,-999.00,-999.00,27.85,25.82,-999.00,30.85,31.02,-999.00,-999.00
HadCM3,26.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.48,26.44,-999.00,-999.00,-999.00,26.45,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,26.68,26.67,-999.00,-999.00,-999.00,26.68,-999.00,-999.00,30.13,31.23,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.78,-999.00,27.03,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.41,23.68,23.37,24.20,-999.00,23.71,23.37,24.42,25.79,26.20,-999.00,-999.00
IPSL-CM5A-LR,24.88,24.75,22.39,-999.00,-999.00,24.76,22.39,-999.00,28.91,30.77,-999.00,-999.00
IPSL-CM6A-LR,25.55,25.24,-999.00,25.49,27.65,25.24,-999.00,25.59,30.27,33.54,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,26.68,26.38,25.16,26.17,-999.00,26.38,25.16,26.23,29.02,29.29,-999.00,-999.00
MIROC-ESM,23.79,23.51,22.62,-999.00,-999.00,23.52,22.62,-999.00,27.86,30.00,-999.00,-999.00
MPI-ESM1-2-LR,26.29,26.05,24.73,26.07,-999.00,26.04,-999.00,26.17,30.28,30.33,-999.00,-999.00
MPI-ESM-P,25.25,25.15,23.76,-999.00,-999.00,25.18,23.76,-999.00,29.14,30.56,-999.00,-999.00
MRI-CGCM3,26.64,26.23,24.14,-999.00,-999.00,26.22,24.15,-999.00,29.80,30.71,-999.00,-999.00
MRI-ESM2-0,27.21,26.83,-999.00,-999.00,-999.00,26.82,-999.00,-999.00,30.59,31.59,-999.00,-999.00
NESM3,26.59,26.76,-999.00,26.99,-999.00,26.76,-999.00,27.06,31.09,31.84,-999.00,-999.00
NorESM1-F,27.33,27.33,-999.00,27.24,28.14,27.35,-999.00,27.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.35,27.20,-999.00,27.15,-999.00,27.21,-999.00,27.28,30.12,32.60,-999.00,-999.00
UofT-CCSM-4,25.85,25.73,23.36,-999.00,-999.00,25.72,23.36,-999.00,-999.00,-999.00,-999.00,-999.00
