MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.78,-999.00,-999.00,26.47,-999.00,-999.00,-999.00,26.43,30.96,31.95,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.85,23.09,24.05,-999.00,23.85,23.09,24.04,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.98,26.39,24.85,-999.00,-999.00,26.40,24.85,-999.00,30.13,30.58,-999.00,-999.00
CESM2,27.25,26.55,-999.00,26.59,30.57,26.55,-999.00,26.57,31.63,33.20,-999.00,-999.00
CNRM-CM5,26.51,26.21,25.34,-999.00,-999.00,26.21,25.34,-999.00,29.39,30.35,-999.00,-999.00
CNRM-CM6-1,25.23,-999.00,-999.00,24.82,-999.00,-999.00,-999.00,24.80,29.53,30.63,-999.00,-999.00
COSMOS-ASO,22.76,-999.00,20.37,-999.00,-999.00,-999.00,20.37,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.65,24.53,-999.00,-999.00,-999.00,24.53,-999.00,-999.00,29.01,31.83,-999.00,-999.00
CSIRO-Mk3L-1-2,27.48,26.93,-999.00,-999.00,-999.00,26.93,-999.00,-999.00,29.97,-999.00,-999.00,-999.00
EC-EARTH-2-2,24.51,23.87,-999.00,-999.00,-999.00,23.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.68,25.03,-999.00,-999.00,-999.00,25.04,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,26.22,25.41,-999.00,25.30,-999.00,25.42,-999.00,25.29,30.29,30.33,-999.00,-999.00
FGOALS-g2,26.24,25.05,23.83,-999.00,-999.00,25.05,23.83,-999.00,27.99,30.59,-999.00,-999.00
FGOALS-g3,26.97,26.25,-999.00,26.33,-999.00,26.25,-999.00,26.32,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.85,26.17,-999.00,-999.00,-999.00,26.18,-999.00,-999.00,29.89,31.21,-999.00,-999.00
GISS-E2-1-G,27.25,26.44,-999.00,26.34,28.29,26.44,-999.00,26.33,27.86,31.06,-999.00,-999.00
GISS-E2-R,28.28,27.42,25.76,-999.00,-999.00,27.42,25.76,-999.00,30.90,30.88,-999.00,-999.00
HadCM3,26.80,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,26.35,26.06,-999.00,-999.00,-999.00,26.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,26.57,26.33,-999.00,-999.00,-999.00,26.33,-999.00,-999.00,30.46,31.50,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.45,-999.00,26.69,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.57,24.60,23.66,24.23,-999.00,24.61,23.66,24.21,28.37,28.75,-999.00,-999.00
IPSL-CM5A-LR,25.10,24.44,22.07,-999.00,-999.00,24.43,22.07,-999.00,29.49,31.25,-999.00,-999.00
IPSL-CM6A-LR,25.37,24.60,-999.00,24.62,27.75,24.61,-999.00,24.61,30.68,34.19,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,27.01,26.19,25.14,26.18,-999.00,26.20,25.14,26.17,29.75,30.12,-999.00,-999.00
MIROC-ESM,25.33,24.48,23.57,-999.00,-999.00,24.48,23.57,-999.00,28.95,30.57,-999.00,-999.00
MPI-ESM1-2-LR,26.72,25.72,24.92,25.71,-999.00,25.73,-999.00,25.69,30.96,31.07,-999.00,-999.00
MPI-ESM-P,25.64,24.92,23.82,-999.00,-999.00,24.93,23.82,-999.00,29.92,31.46,-999.00,-999.00
MRI-CGCM3,26.04,25.51,23.06,-999.00,-999.00,25.52,23.06,-999.00,29.48,30.47,-999.00,-999.00
MRI-ESM2-0,27.36,26.69,-999.00,-999.00,-999.00,26.69,-999.00,-999.00,30.63,31.38,-999.00,-999.00
NESM3,26.82,26.09,-999.00,26.19,-999.00,26.10,-999.00,26.17,31.57,32.37,-999.00,-999.00
NorESM1-F,27.64,26.96,-999.00,26.88,28.53,26.96,-999.00,26.88,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,27.20,26.61,-999.00,26.60,-999.00,26.62,-999.00,26.59,30.29,32.90,-999.00,-999.00
UofT-CCSM-4,26.17,25.52,23.56,-999.00,-999.00,25.52,23.56,-999.00,-999.00,-999.00,-999.00,-999.00
