MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.22,-999.00,-999.00, 3.24,-999.00,-999.00,-999.00, 3.12, 3.38, 3.47,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 2.81, 2.62, 2.83,-999.00, 2.70, 2.52, 2.71,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.93, 2.92, 2.62,-999.00,-999.00, 2.82, 2.54,-999.00, 3.10, 3.16,-999.00,-999.00
CESM2, 2.95, 2.93,-999.00, 2.93,-999.00, 2.83,-999.00, 2.83, 3.17, 3.32,-999.00,-999.00
CNRM-CM5, 3.06, 3.07, 2.87,-999.00,-999.00, 2.99, 2.79,-999.00, 3.23, 3.30,-999.00,-999.00
CNRM-CM6-1, 2.90,-999.00,-999.00, 2.94,-999.00,-999.00,-999.00,-999.00, 3.13, 3.21,-999.00,-999.00
COSMOS-ASO, 2.64,-999.00, 2.32,-999.00,-999.00,-999.00, 2.25,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.90, 2.89,-999.00,-999.00,-999.00, 2.78,-999.00,-999.00, 3.07, 3.21,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.72, 2.72,-999.00,-999.00,-999.00, 2.62,-999.00,-999.00, 2.85,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.77, 2.77,-999.00,-999.00,-999.00, 2.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.82, 2.82,-999.00,-999.00,-999.00, 2.75,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.84, 2.82,-999.00, 2.81,-999.00, 2.71,-999.00, 2.69, 3.09, 3.11,-999.00,-999.00
FGOALS-g2, 2.85, 2.80, 2.57,-999.00,-999.00, 2.72, 2.50,-999.00, 3.02, 3.16,-999.00,-999.00
FGOALS-g3, 2.87, 2.77,-999.00, 2.80,-999.00, 2.66,-999.00, 2.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.66, 2.64,-999.00,-999.00,-999.00, 2.53,-999.00,-999.00, 2.88, 2.97,-999.00,-999.00
GISS-E2-1-G, 2.97, 2.95,-999.00, 2.96,-999.00, 2.85,-999.00, 2.85, 2.98, 3.11,-999.00,-999.00
GISS-E2-R, 3.18, 3.17, 2.91,-999.00,-999.00, 3.11, 2.86,-999.00, 3.30, 3.28,-999.00,-999.00
HadCM3, 2.89,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.05, 3.07,-999.00,-999.00,-999.00, 2.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.09, 3.11,-999.00,-999.00,-999.00, 2.98,-999.00,-999.00, 3.24, 3.32,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.02,-999.00, 3.05,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.00, 2.99, 2.74, 3.03,-999.00, 2.93, 2.68, 2.95, 3.14, 3.19,-999.00,-999.00
IPSL-CM5A-LR, 2.66, 2.65, 2.31,-999.00,-999.00, 2.59, 2.25,-999.00, 2.87, 3.01,-999.00,-999.00
IPSL-CM6A-LR, 2.98, 2.96,-999.00, 2.98,-999.00, 2.86,-999.00, 2.86, 3.19, 3.46,-999.00,-999.00
KCM1-2-2, 2.62, 2.64,-999.00,-999.00,-999.00, 2.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.19, 3.17, 2.91,-999.00,-999.00, 3.10, 2.86, 3.11, 3.33, 3.37,-999.00,-999.00
MIROC-ESM, 2.81, 2.80, 2.52,-999.00,-999.00, 2.73, 2.46,-999.00, 3.01, 3.15,-999.00,-999.00
MPI-ESM1-2-LR, 2.83, 2.83, 2.62,-999.00,-999.00, 2.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.93, 2.92, 2.68,-999.00,-999.00, 2.79, 2.58,-999.00, 3.12, 3.21,-999.00,-999.00
MRI-CGCM3, 2.93, 2.93, 2.57,-999.00,-999.00, 2.79, 2.45,-999.00, 3.16, 3.24,-999.00,-999.00
MRI-ESM2-0, 3.01, 3.00,-999.00,-999.00,-999.00, 2.88,-999.00,-999.00, 3.18, 3.27,-999.00,-999.00
NESM3, 2.86, 2.86,-999.00, 2.89,-999.00, 2.71,-999.00, 2.74, 3.13, 3.21,-999.00,-999.00
NorESM1-F, 2.84, 2.82,-999.00, 2.83,-999.00, 2.71,-999.00, 2.72,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.86, 3.04,-999.00,-999.00,-999.00, 2.94,-999.00,-999.00, 2.96, 3.19,-999.00,-999.00
UofT-CCSM-4, 2.88, 2.87, 2.52,-999.00,-999.00, 2.78, 2.45,-999.00,-999.00,-999.00,-999.00,-999.00
