MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,14.49,-999.00,-999.00,14.92,-999.00,-999.00,-999.00,14.93,18.74,19.99,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,12.57, 9.23,12.76,-999.00,12.63, 9.23,12.91,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,13.33,13.07, 8.42,-999.00,-999.00,13.13, 8.42,-999.00,17.59,18.19,-999.00,-999.00
CESM2,14.05,13.85,-999.00,13.96,19.00,13.90,-999.00,14.11,19.01,21.27,-999.00,-999.00
CNRM-CM5,13.20,13.38,10.57,-999.00,-999.00,13.44,10.57,-999.00,17.24,18.39,-999.00,-999.00
CNRM-CM6-1,12.86,-999.00,-999.00,13.19,-999.00,-999.00,-999.00,13.35,18.29,19.59,-999.00,-999.00
COSMOS-ASO,12.44,-999.00, 6.98,-999.00,-999.00,-999.00, 6.97,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,12.73,12.75,-999.00,-999.00,-999.00,12.81,-999.00,-999.00,16.43,18.44,-999.00,-999.00
CSIRO-Mk3L-1-2,14.04,14.04,-999.00,-999.00,-999.00,14.09,-999.00,-999.00,17.21,-999.00,-999.00,-999.00
EC-EARTH-2-2,12.10,12.00,-999.00,-999.00,-999.00,12.05,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,13.30,13.25,-999.00,-999.00,-999.00,13.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,12.88,12.51,-999.00,12.46,-999.00,12.57,-999.00,12.62,17.89,18.04,-999.00,-999.00
FGOALS-g2,13.17,12.44, 8.59,-999.00,-999.00,12.50, 8.58,-999.00,17.14,18.82,-999.00,-999.00
FGOALS-g3,14.01,13.78,-999.00,14.30,-999.00,13.85,-999.00,14.46,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,13.65,13.48,-999.00,-999.00,-999.00,13.55,-999.00,-999.00,17.94,19.57,-999.00,-999.00
GISS-E2-1-G,13.80,13.42,-999.00,13.68,15.90,13.47,-999.00,13.82,14.51,18.01,-999.00,-999.00
GISS-E2-R,14.29,14.19, 9.48,-999.00,-999.00,14.24, 9.48,-999.00,17.28,17.72,-999.00,-999.00
HadCM3,13.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,13.24,13.46,-999.00,-999.00,-999.00,13.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,13.74,13.98,-999.00,-999.00,-999.00,14.05,-999.00,-999.00,18.38,20.03,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,13.74,-999.00,14.42,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,13.26,12.96, 9.54,13.08,-999.00,13.02, 9.54,13.24,16.27,16.81,-999.00,-999.00
IPSL-CM5A-LR,12.03,11.94, 7.44,-999.00,-999.00,12.01, 7.43,-999.00,16.34,18.18,-999.00,-999.00
IPSL-CM6A-LR,12.71,12.35,-999.00,12.62,15.98,12.42,-999.00,12.78,18.23,22.29,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,14.98,14.51,10.94,14.56,-999.00,14.57,10.94,14.72,18.51,19.08,-999.00,-999.00
MIROC-ESM,13.60,13.35, 8.59,-999.00,-999.00,13.40, 8.59,-999.00,18.10,20.00,-999.00,-999.00
MPI-ESM1-2-LR,13.53,13.17, 9.62,13.42,-999.00,13.23,-999.00,13.57,18.23,18.53,-999.00,-999.00
MPI-ESM-P,13.64,13.40, 9.23,-999.00,-999.00,13.46, 9.23,-999.00,17.83,19.40,-999.00,-999.00
MRI-CGCM3,13.59,13.56, 8.91,-999.00,-999.00,13.62, 8.90,-999.00,17.03,18.01,-999.00,-999.00
MRI-ESM2-0,13.82,13.64,-999.00,-999.00,-999.00,13.70,-999.00,-999.00,17.42,18.66,-999.00,-999.00
NESM3,13.73,13.46,-999.00,13.84,-999.00,13.53,-999.00,14.00,19.69,20.71,-999.00,-999.00
NorESM1-F,14.51,14.15,-999.00,14.23,16.23,14.21,-999.00,14.39,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,14.47,14.25,-999.00,14.38,-999.00,14.31,-999.00,14.53,17.77,21.18,-999.00,-999.00
UofT-CCSM-4,12.61,12.44, 7.34,-999.00,-999.00,12.50, 7.34,-999.00,-999.00,-999.00,-999.00,-999.00
