MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.37,-999.00,-999.00, 2.18,-999.00,-999.00,-999.00, 2.18, 1.23, 1.26,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.68, 1.35, 2.35,-999.00, 1.68, 1.35, 2.35,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.36, 1.55, 1.43,-999.00,-999.00, 1.56, 1.43,-999.00, 1.24, 1.24,-999.00,-999.00
CESM2, 1.29, 1.52,-999.00, 2.16, 1.55, 1.52,-999.00, 2.16, 1.23, 1.16,-999.00,-999.00
CNRM-CM5, 1.50, 1.69, 2.00,-999.00,-999.00, 1.69, 2.00,-999.00, 1.34, 1.31,-999.00,-999.00
CNRM-CM6-1, 1.49,-999.00,-999.00, 2.56,-999.00,-999.00,-999.00, 2.56, 1.36, 1.34,-999.00,-999.00
COSMOS-ASO, 1.59,-999.00, 1.68,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.50, 1.70,-999.00,-999.00,-999.00, 1.70,-999.00,-999.00, 1.41, 1.36,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.36, 1.55,-999.00,-999.00,-999.00, 1.55,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.40, 1.55,-999.00,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.60, 1.83,-999.00,-999.00,-999.00, 1.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.50, 1.64,-999.00, 2.27,-999.00, 1.65,-999.00, 2.27, 1.18, 1.18,-999.00,-999.00
FGOALS-g2, 1.44, 1.62, 1.60,-999.00,-999.00, 1.62, 1.60,-999.00, 1.42, 1.34,-999.00,-999.00
FGOALS-g3, 1.48, 1.68,-999.00, 2.29,-999.00, 1.68,-999.00, 2.29,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.59, 1.77,-999.00,-999.00,-999.00, 1.78,-999.00,-999.00, 1.44, 1.45,-999.00,-999.00
GISS-E2-1-G, 1.27, 1.42,-999.00, 2.09, 1.22, 1.42,-999.00, 2.10, 1.30, 1.28,-999.00,-999.00
GISS-E2-R, 1.38, 1.56, 1.52,-999.00,-999.00, 1.56, 1.52,-999.00, 1.30, 1.31,-999.00,-999.00
HadCM3, 1.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.65, 1.81,-999.00,-999.00,-999.00, 1.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.58, 1.76,-999.00,-999.00,-999.00, 1.77,-999.00,-999.00, 1.38, 1.37,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.75,-999.00, 2.39,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.53, 1.71, 1.89, 2.31,-999.00, 1.71, 1.89, 2.32, 1.42, 1.39,-999.00,-999.00
IPSL-CM5A-LR, 1.51, 1.74, 1.50,-999.00,-999.00, 1.74, 1.50,-999.00, 1.47, 1.46,-999.00,-999.00
IPSL-CM6A-LR, 1.50, 1.79,-999.00, 2.52, 1.55, 1.79,-999.00, 2.52, 1.41, 1.45,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.57, 1.77, 1.87, 2.36,-999.00, 1.77, 1.87, 2.37, 1.42, 1.41,-999.00,-999.00
MIROC-ESM, 1.23, 1.47, 1.46,-999.00,-999.00, 1.47, 1.46,-999.00, 1.17, 1.18,-999.00,-999.00
MPI-ESM1-2-LR, 1.40, 1.62, 1.39, 2.32,-999.00, 1.62,-999.00, 2.33, 1.24, 1.23,-999.00,-999.00
MPI-ESM-P, 1.44, 1.61, 1.46,-999.00,-999.00, 1.61, 1.46,-999.00, 1.26, 1.20,-999.00,-999.00
MRI-CGCM3, 1.45, 1.63, 1.72,-999.00,-999.00, 1.63, 1.72,-999.00, 1.21, 1.20,-999.00,-999.00
MRI-ESM2-0, 1.27, 1.50,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00, 1.22, 1.19,-999.00,-999.00
NESM3, 1.55, 1.75,-999.00, 2.65,-999.00, 1.75,-999.00, 2.65, 1.36, 1.40,-999.00,-999.00
NorESM1-F, 1.42, 1.67,-999.00, 2.34, 1.51, 1.67,-999.00, 2.35,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.29, 1.57,-999.00, 2.23,-999.00, 1.57,-999.00, 2.23, 1.24, 1.22,-999.00,-999.00
UofT-CCSM-4, 1.42, 1.66, 1.47,-999.00,-999.00, 1.67, 1.47,-999.00,-999.00,-999.00,-999.00,-999.00
