MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 4.20,-999.00,-999.00, 5.81,-999.00,-999.00,-999.00, 5.84, 4.08, 4.11,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 5.08, 4.36, 6.14,-999.00, 5.08, 4.36, 6.15,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.53, 5.10, 4.75,-999.00,-999.00, 5.11, 4.75,-999.00, 4.35, 4.32,-999.00,-999.00
CESM2, 4.12, 4.72,-999.00, 5.89, 4.54, 4.72,-999.00, 5.91, 4.00, 3.84,-999.00,-999.00
CNRM-CM5, 4.62, 5.09, 5.46,-999.00,-999.00, 5.10, 5.45,-999.00, 4.30, 4.22,-999.00,-999.00
CNRM-CM6-1, 4.61,-999.00,-999.00, 6.46,-999.00,-999.00,-999.00, 6.47, 4.29, 4.21,-999.00,-999.00
COSMOS-ASO, 4.85,-999.00, 5.03,-999.00,-999.00,-999.00, 5.03,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 4.61, 5.19,-999.00,-999.00,-999.00, 5.19,-999.00,-999.00, 4.40, 4.32,-999.00,-999.00
CSIRO-Mk3L-1-2, 4.18, 4.75,-999.00,-999.00,-999.00, 4.76,-999.00,-999.00, 3.88,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.19, 4.63,-999.00,-999.00,-999.00, 4.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.84, 5.38,-999.00,-999.00,-999.00, 5.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.55, 5.06,-999.00, 6.15,-999.00, 5.07,-999.00, 6.18, 3.99, 3.99,-999.00,-999.00
FGOALS-g2, 4.89, 5.44, 5.06,-999.00,-999.00, 5.45, 5.06,-999.00, 4.71, 4.56,-999.00,-999.00
FGOALS-g3, 4.92, 5.65,-999.00, 6.73,-999.00, 5.66,-999.00, 6.75,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 5.04, 5.58,-999.00,-999.00,-999.00, 5.59,-999.00,-999.00, 4.76, 4.70,-999.00,-999.00
GISS-E2-1-G, 3.80, 4.28,-999.00, 5.38, 3.47, 4.30,-999.00, 5.40, 3.95, 3.99,-999.00,-999.00
GISS-E2-R, 4.12, 4.50, 3.97,-999.00,-999.00, 4.51, 3.97,-999.00, 4.03, 4.10,-999.00,-999.00
HadCM3, 4.54,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.86, 5.36,-999.00,-999.00,-999.00, 5.36,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.75, 5.28,-999.00,-999.00,-999.00, 5.28,-999.00,-999.00, 4.54, 4.48,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.09,-999.00, 6.26,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.44, 5.02, 5.02, 6.06,-999.00, 5.03, 5.02, 6.08, 4.27, 4.20,-999.00,-999.00
IPSL-CM5A-LR, 4.46, 5.01, 4.26,-999.00,-999.00, 5.03, 4.26,-999.00, 4.44, 4.38,-999.00,-999.00
IPSL-CM6A-LR, 4.71, 5.37,-999.00, 6.57, 4.62, 5.38,-999.00, 6.58, 4.55, 4.47,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.34, 4.89, 4.78, 5.95,-999.00, 4.89, 4.78, 5.97, 4.17, 4.17,-999.00,-999.00
MIROC-ESM, 4.01, 4.68, 4.28,-999.00,-999.00, 4.69, 4.28,-999.00, 3.83, 3.79,-999.00,-999.00
MPI-ESM1-2-LR, 4.22, 4.79, 4.30, 0.94,-999.00, 4.80,-999.00, 0.94, 4.04, 4.01,-999.00,-999.00
MPI-ESM-P, 4.30, 4.78, 4.30,-999.00,-999.00, 4.78, 4.30,-999.00, 4.02, 3.92,-999.00,-999.00
MRI-CGCM3, 4.52, 5.03, 5.18,-999.00,-999.00, 5.04, 5.17,-999.00, 4.10, 4.06,-999.00,-999.00
MRI-ESM2-0, 4.13, 4.67,-999.00,-999.00,-999.00, 4.68,-999.00,-999.00, 3.98, 3.87,-999.00,-999.00
NESM3, 4.66, 5.13,-999.00, 6.48,-999.00, 5.14,-999.00, 6.49, 4.46, 4.46,-999.00,-999.00
NorESM1-F, 4.48, 5.12,-999.00, 6.30, 4.61, 5.13,-999.00, 6.32,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.91, 4.56,-999.00, 5.73,-999.00, 4.56,-999.00, 5.75, 3.86, 3.79,-999.00,-999.00
UofT-CCSM-4, 4.59, 5.24, 5.03,-999.00,-999.00, 5.25, 5.03,-999.00,-999.00,-999.00,-999.00,-999.00
