MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,16.47,-999.00,-999.00,16.04,-999.00,-999.00,-999.00,18.65,22.32,23.42,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,16.43,12.24,15.03,-999.00,17.33,12.19,17.85,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,16.13,16.36,10.72,-999.00,-999.00,17.17,10.66,-999.00,20.86,21.22,-999.00,-999.00
CESM2,17.55,17.84,-999.00,16.53,23.17,18.65,-999.00,18.99,22.67,25.03,-999.00,-999.00
CNRM-CM5,14.93,15.60,12.57,-999.00,-999.00,16.42,12.50,-999.00,19.57,20.52,-999.00,-999.00
CNRM-CM6-1,15.93,-999.00,-999.00,15.78,-999.00,-999.00,-999.00,18.46,22.65,23.93,-999.00,-999.00
COSMOS-ASO,16.20,-999.00, 9.46,-999.00,-999.00,-999.00, 9.40,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,16.78,17.37,-999.00,-999.00,-999.00,18.21,-999.00,-999.00,21.23,23.27,-999.00,-999.00
CSIRO-Mk3L-1-2,18.20,18.75,-999.00,-999.00,-999.00,19.53,-999.00,-999.00,21.29,-999.00,-999.00,-999.00
EC-EARTH-2-2,14.01,14.38,-999.00,-999.00,-999.00,15.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,15.10,15.87,-999.00,-999.00,-999.00,16.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,15.76,15.67,-999.00,14.42,-999.00,16.42,-999.00,16.67,21.79,21.89,-999.00,-999.00
FGOALS-g2,15.63,15.51, 8.88,-999.00,-999.00,16.26, 8.83,-999.00,20.69,22.17,-999.00,-999.00
FGOALS-g3,15.34,15.67,-999.00,14.82,-999.00,16.38,-999.00,16.99,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,18.83,19.31,-999.00,-999.00,-999.00,20.13,-999.00,-999.00,23.78,25.13,-999.00,-999.00
GISS-E2-1-G,16.07,16.11,-999.00,15.07,17.37,16.88,-999.00,17.46,17.23,20.74,-999.00,-999.00
GISS-E2-R,16.48,16.44,10.46,-999.00,-999.00,17.14,10.41,-999.00,20.14,20.63,-999.00,-999.00
HadCM3,15.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,15.46,16.36,-999.00,-999.00,-999.00,17.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,16.21,17.20,-999.00,-999.00,-999.00,18.10,-999.00,-999.00,22.19,23.87,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,17.03,-999.00,18.30,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,15.90,16.11, 8.78,14.49,-999.00,17.03, 8.72,17.36,19.63,20.34,-999.00,-999.00
IPSL-CM5A-LR,13.20,13.86, 6.03,-999.00,-999.00,14.72, 5.96,-999.00,18.82,20.71,-999.00,-999.00
IPSL-CM6A-LR,15.46,15.64,-999.00,14.60,19.70,16.46,-999.00,17.17,22.49,27.45,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,18.03,17.96,13.18,16.51,-999.00,18.78,13.12,18.93,22.82,23.62,-999.00,-999.00
MIROC-ESM,17.39,17.65,11.03,-999.00,-999.00,18.42,10.99,-999.00,23.09,25.21,-999.00,-999.00
MPI-ESM1-2-LR,16.64,16.67,11.93,13.32,-999.00,17.53,-999.00,13.07,22.97,22.98,-999.00,-999.00
MPI-ESM-P,16.61,16.93,11.39,-999.00,-999.00,17.70,11.33,-999.00,22.42,24.07,-999.00,-999.00
MRI-CGCM3,14.22,14.95, 9.69,-999.00,-999.00,15.73, 9.63,-999.00,18.45,19.39,-999.00,-999.00
MRI-ESM2-0,16.46,16.78,-999.00,-999.00,-999.00,17.56,-999.00,-999.00,20.45,21.68,-999.00,-999.00
NESM3,17.48,18.06,-999.00,16.51,-999.00,19.08,-999.00,19.76,26.31,27.12,-999.00,-999.00
NorESM1-F,17.54,17.67,-999.00,16.30,19.65,18.51,-999.00,18.93,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,17.64,18.18,-999.00,16.90,-999.00,19.02,-999.00,19.51,22.67,25.77,-999.00,-999.00
UofT-CCSM-4,15.60,15.84,10.79,-999.00,-999.00,16.65,10.73,-999.00,-999.00,-999.00,-999.00,-999.00
