MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-3.33,-999.00,-999.00,-2.53,-999.00,-999.00,-999.00,-1.60, 4.22, 5.78,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-6.06,-12.13,-5.88,-999.00,-5.54,-12.19,-4.71,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-5.06,-5.46,-14.91,-999.00,-999.00,-4.93,-14.97,-999.00, 2.83, 3.41,-999.00,-999.00
CESM2,-3.86,-3.96,-999.00,-3.88, 4.02,-3.47,-999.00,-2.77, 3.73, 6.84,-999.00,-999.00
CNRM-CM5,-7.42,-6.78,-10.98,-999.00,-999.00,-6.20,-11.06,-999.00,-0.45, 1.13,-999.00,-999.00
CNRM-CM6-1,-4.95,-999.00,-999.00,-4.32,-999.00,-999.00,-999.00,-3.15, 3.65, 5.11,-999.00,-999.00
COSMOS-ASO,-6.87,-999.00,-12.04,-999.00,-999.00,-999.00,-12.11,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-6.13,-6.02,-999.00,-999.00,-999.00,-5.47,-999.00,-999.00,-1.30, 1.17,-999.00,-999.00
CSIRO-Mk3L-1-2,-4.55,-4.34,-999.00,-999.00,-999.00,-3.81,-999.00,-999.00, 0.09,-999.00,-999.00,-999.00
EC-EARTH-2-2,-8.19,-7.46,-999.00,-999.00,-999.00,-7.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-8.40,-7.88,-999.00,-999.00,-999.00,-7.34,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-7.16,-7.50,-999.00,-7.68,-999.00,-6.97,-999.00,-6.41, 2.53, 2.34,-999.00,-999.00
FGOALS-g2,-9.42,-9.97,-17.67,-999.00,-999.00,-9.41,-17.72,-999.00,-2.77,-0.28,-999.00,-999.00
FGOALS-g3,-8.37,-8.14,-999.00,-7.39,-999.00,-7.56,-999.00,-6.08,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-3.89,-3.72,-999.00,-999.00,-999.00,-3.12,-999.00,-999.00, 3.54, 4.81,-999.00,-999.00
GISS-E2-1-G,-6.11,-5.99,-999.00,-5.42,-4.34,-5.54,-999.00,-4.37,-4.99,-0.93,-999.00,-999.00
GISS-E2-R,-5.34,-5.20,-22.99,-999.00,-999.00,-4.69,-23.04,-999.00,-0.90,-0.33,-999.00,-999.00
HadCM3,-6.83,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-6.44,-5.76,-999.00,-999.00,-999.00,-5.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-4.91,-4.22,-999.00,-999.00,-999.00,-3.66,-999.00,-999.00, 4.11, 7.02,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-5.35,-999.00,-3.32,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-5.22,-5.74,-13.12,-5.64,-999.00,-5.19,-13.19,-4.40,-0.05, 0.79,-999.00,-999.00
IPSL-CM5A-LR,-5.40,-5.14,-11.47,-999.00,-999.00,-4.63,-11.52,-999.00, 2.04, 4.03,-999.00,-999.00
IPSL-CM6A-LR,-5.62,-5.99,-999.00,-5.14,-0.97,-5.42,-999.00,-3.85, 5.04,11.15,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-4.28,-4.72,-12.95,-4.72,-999.00,-4.20,-13.02,-3.51, 2.77, 3.43,-999.00,-999.00
MIROC-ESM,-3.17,-3.12,-14.49,-999.00,-999.00,-2.59,-14.56,-999.00, 5.79, 8.03,-999.00,-999.00
MPI-ESM1-2-LR,-6.15,-6.31,-13.64,-2.48,-999.00,-5.82,-999.00,-2.63, 2.77, 3.04,-999.00,-999.00
MPI-ESM-P,-5.18,-5.09,-12.69,-999.00,-999.00,-4.61,-12.74,-999.00, 1.74, 4.14,-999.00,-999.00
MRI-CGCM3,-6.48,-6.28,-13.55,-999.00,-999.00,-5.75,-13.62,-999.00,-0.41, 0.73,-999.00,-999.00
MRI-ESM2-0,-3.57,-3.48,-999.00,-999.00,-999.00,-2.99,-999.00,-999.00, 0.97, 2.98,-999.00,-999.00
NESM3,-6.10,-6.37,-999.00,-5.97,-999.00,-5.83,-999.00,-4.80, 5.64, 6.75,-999.00,-999.00
NorESM1-F,-3.09,-3.76,-999.00,-3.46,-0.50,-3.24,-999.00,-2.22,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-3.39,-3.43,-999.00,-3.03,-999.00,-2.96,-999.00,-1.99, 3.68, 7.11,-999.00,-999.00
UofT-CCSM-4,-7.29,-7.42,-18.61,-999.00,-999.00,-6.86,-18.68,-999.00,-999.00,-999.00,-999.00,-999.00
