MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-2.93,-999.00,-999.00,-4.38,-999.00,-999.00,-999.00,-0.89, 4.35, 5.83,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-5.19,-12.70,-7.08,-999.00,-3.77,-12.85,-2.80,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-5.64,-6.06,-16.09,-999.00,-999.00,-4.48,-16.24,-999.00, 2.21, 2.86,-999.00,-999.00
CESM2,-2.48,-2.61,-999.00,-4.40, 3.86,-1.24,-999.00,-0.61, 3.87, 6.43,-999.00,-999.00
CNRM-CM5,-6.28,-5.32,-10.97,-999.00,-999.00,-3.66,-11.15,-999.00, 0.94, 2.09,-999.00,-999.00
CNRM-CM6-1,-3.73,-999.00,-999.00,-4.68,-999.00,-999.00,-999.00,-0.40, 4.96, 6.21,-999.00,-999.00
COSMOS-ASO,-6.32,-999.00,-12.58,-999.00,-999.00,-999.00,-12.72,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-6.10,-6.10,-999.00,-999.00,-999.00,-4.47,-999.00,-999.00,-0.86, 1.49,-999.00,-999.00
CSIRO-Mk3L-1-2,-3.70,-3.80,-999.00,-999.00,-999.00,-2.37,-999.00,-999.00, 0.52,-999.00,-999.00,-999.00
EC-EARTH-2-2,-9.64,-9.01,-999.00,-999.00,-999.00,-7.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-8.21,-7.13,-999.00,-999.00,-999.00,-5.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-7.24,-7.76,-999.00,-10.36,-999.00,-6.24,-999.00,-6.02, 2.20, 2.38,-999.00,-999.00
FGOALS-g2,-10.34,-11.14,-19.96,-999.00,-999.00,-9.42,-20.11,-999.00,-2.55,-0.28,-999.00,-999.00
FGOALS-g3,-8.02,-8.18,-999.00,-9.86,-999.00,-6.44,-999.00,-5.18,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-4.09,-3.63,-999.00,-999.00,-999.00,-1.91,-999.00,-999.00, 4.06, 5.31,-999.00,-999.00
GISS-E2-1-G,-6.27,-6.28,-999.00,-7.38,-4.04,-4.94,-999.00,-3.63,-4.83,-0.32,-999.00,-999.00
GISS-E2-R,-5.60,-5.58,-24.79,-999.00,-999.00,-4.03,-24.91,-999.00,-0.28, 0.31,-999.00,-999.00
HadCM3,-7.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-5.45,-4.80,-999.00,-999.00,-999.00,-3.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-3.95,-3.59,-999.00,-999.00,-999.00,-2.00,-999.00,-999.00, 4.45, 7.20,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-3.15,-999.00,-0.90,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-4.22,-5.22,-13.38,-7.46,-999.00,-3.58,-13.54,-2.92, 1.10, 1.81,-999.00,-999.00
IPSL-CM5A-LR,-6.17,-5.91,-13.88,-999.00,-999.00,-4.35,-14.01,-999.00, 1.91, 3.89,-999.00,-999.00
IPSL-CM6A-LR,-4.64,-4.89,-999.00,-5.96, 0.20,-3.22,-999.00,-1.25, 6.30,12.14,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-4.47,-4.95,-13.38,-7.44,-999.00,-3.44,-13.53,-3.09, 2.74, 3.33,-999.00,-999.00
MIROC-ESM,-1.98,-2.10,-12.31,-999.00,-999.00,-0.75,-12.46,-999.00, 5.75, 8.13,-999.00,-999.00
MPI-ESM1-2-LR,-6.10,-5.95,-14.12,-3.79,-999.00,-4.56,-999.00,-4.39, 3.06, 3.19,-999.00,-999.00
MPI-ESM-P,-5.23,-4.85,-13.60,-999.00,-999.00,-3.44,-13.75,-999.00, 2.35, 4.72,-999.00,-999.00
MRI-CGCM3,-7.76,-7.32,-14.95,-999.00,-999.00,-5.75,-15.11,-999.00,-0.73, 0.35,-999.00,-999.00
MRI-ESM2-0,-3.46,-3.17,-999.00,-999.00,-999.00,-1.75,-999.00,-999.00, 1.72, 3.38,-999.00,-999.00
NESM3,-4.70,-4.41,-999.00,-6.05,-999.00,-2.96,-999.00,-1.67, 7.53, 8.44,-999.00,-999.00
NorESM1-F,-3.32,-4.16,-999.00,-6.51,-0.77,-2.60,-999.00,-2.04,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-1.62,-1.38,-999.00,-3.11,-999.00,-0.10,-999.00, 0.55, 4.49, 7.38,-999.00,-999.00
UofT-CCSM-4,-7.40,-7.38,-20.33,-999.00,-999.00,-5.79,-20.49,-999.00,-999.00,-999.00,-999.00,-999.00
