MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,-3.14,-999.00,-999.00,-2.65,-999.00,-999.00,-999.00,-3.23, 3.35, 4.66,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,-8.60,-14.41,-7.61,-999.00,-8.40,-14.48,-8.04,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,-5.51,-7.18,-15.92,-999.00,-999.00,-6.99,-15.99,-999.00, 1.68, 2.00,-999.00,-999.00
CESM2,-4.38,-5.67,-999.00,-5.65, 3.17,-5.49,-999.00,-6.04, 2.44, 5.64,-999.00,-999.00
CNRM-CM5,-9.49,-9.92,-13.31,-999.00,-999.00,-9.71,-13.38,-999.00,-3.19,-1.41,-999.00,-999.00
CNRM-CM6-1,-6.00,-999.00,-999.00,-5.99,-999.00,-999.00,-999.00,-6.38, 1.69, 3.02,-999.00,-999.00
COSMOS-ASO,-7.83,-999.00,-12.71,-999.00,-999.00,-999.00,-12.78,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-5.22,-5.72,-999.00,-999.00,-999.00,-5.52,-999.00,-999.00,-1.32, 0.90,-999.00,-999.00
CSIRO-Mk3L-1-2,-4.35,-4.84,-999.00,-999.00,-999.00,-4.62,-999.00,-999.00, 0.16,-999.00,-999.00,-999.00
EC-EARTH-2-2,-7.27,-7.23,-999.00,-999.00,-999.00,-7.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-9.72,-10.24,-999.00,-999.00,-999.00,-10.07,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-7.95,-9.09,-999.00,-8.11,-999.00,-8.78,-999.00,-8.54, 1.09, 0.26,-999.00,-999.00
FGOALS-g2,-9.35,-10.64,-16.48,-999.00,-999.00,-10.44,-16.54,-999.00,-4.35,-1.89,-999.00,-999.00
FGOALS-g3,-9.62,-10.66,-999.00,-8.85,-999.00,-10.43,-999.00,-9.32,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,-5.47,-6.66,-999.00,-999.00,-999.00,-6.43,-999.00,-999.00, 1.05, 2.53,-999.00,-999.00
GISS-E2-1-G,-7.07,-7.72,-999.00,-6.87,-5.98,-7.55,-999.00,-7.22,-6.16,-3.66,-999.00,-999.00
GISS-E2-R,-4.89,-5.40,-22.07,-999.00,-999.00,-5.22,-22.12,-999.00,-1.32,-1.12,-999.00,-999.00
HadCM3,-6.20,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,-7.31,-7.51,-999.00,-999.00,-999.00,-7.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,-5.27,-5.14,-999.00,-999.00,-999.00,-4.92,-999.00,-999.00, 3.82, 6.73,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,-6.72,-999.00,-5.49,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,-6.10,-7.35,-14.05,-6.38,-999.00,-7.14,-14.12,-6.78,-0.97,-0.49,-999.00,-999.00
IPSL-CM5A-LR,-5.37,-6.01,-10.60,-999.00,-999.00,-5.82,-10.66,-999.00, 0.99, 2.52,-999.00,-999.00
IPSL-CM6A-LR,-6.07,-7.41,-999.00,-6.12,-2.45,-7.24,-999.00,-6.52, 2.32, 7.99,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,-5.36,-6.46,-15.02,-5.35,-999.00,-6.27,-15.08,-5.77, 1.86, 2.46,-999.00,-999.00
MIROC-ESM,-6.24,-6.98,-19.72,-999.00,-999.00,-6.74,-19.77,-999.00, 3.99, 5.89,-999.00,-999.00
MPI-ESM1-2-LR,-7.42,-8.46,-16.05,-1.72,-999.00,-8.28,-999.00,-1.67, 0.67, 1.22,-999.00,-999.00
MPI-ESM-P,-5.05,-5.90,-12.50,-999.00,-999.00,-5.72,-12.56,-999.00, 0.36, 2.33,-999.00,-999.00
MRI-CGCM3,-6.58,-7.30,-14.16,-999.00,-999.00,-7.10,-14.23,-999.00,-1.82,-0.35,-999.00,-999.00
MRI-ESM2-0,-4.41,-5.27,-999.00,-999.00,-999.00,-5.10,-999.00,-999.00,-1.20, 1.03,-999.00,-999.00
NESM3,-8.76,-10.22,-999.00,-8.93,-999.00,-10.03,-999.00,-9.36, 1.92, 3.15,-999.00,-999.00
NorESM1-F,-3.24,-4.86,-999.00,-3.84,-0.95,-4.68,-999.00,-4.25,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,-4.92,-6.12,-999.00,-5.40,-999.00,-5.94,-999.00,-5.76, 1.50, 4.99,-999.00,-999.00
UofT-CCSM-4,-9.29,-10.86,-20.90,-999.00,-999.00,-10.66,-20.97,-999.00,-999.00,-999.00,-999.00,-999.00
