MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.85,-999.00,-999.00, 0.92,-999.00,-999.00,-999.00, 0.66, 0.49, 0.44,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.82, 0.92, 2.01,-999.00, 1.48, 0.80, 1.51,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.54, 1.89, 1.44,-999.00,-999.00, 1.46, 1.22,-999.00, 1.89, 2.03,-999.00,-999.00
CESM2, 0.76, 1.05,-999.00, 1.26,-999.00, 0.82,-999.00, 0.95, 0.88, 0.76,-999.00,-999.00
CNRM-CM5, 1.08, 1.35, 0.89,-999.00,-999.00, 1.04, 0.76,-999.00, 1.16, 1.06,-999.00,-999.00
CNRM-CM6-1, 0.36,-999.00,-999.00, 0.54,-999.00,-999.00,-999.00,-999.00, 0.22, 0.15,-999.00,-999.00
COSMOS-ASO, 1.17,-999.00, 1.60,-999.00,-999.00,-999.00, 1.40,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.40, 0.61,-999.00,-999.00,-999.00, 0.45,-999.00,-999.00, 0.20, 0.15,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.34, 0.44,-999.00,-999.00,-999.00, 0.34,-999.00,-999.00, 0.36,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.81, 1.17,-999.00,-999.00,-999.00, 0.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.46, 0.68,-999.00,-999.00,-999.00, 0.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.37, 0.44,-999.00, 0.44,-999.00, 0.40,-999.00, 0.37, 0.29, 0.36,-999.00,-999.00
FGOALS-g2, 0.95, 1.21, 0.77,-999.00,-999.00, 0.96, 0.66,-999.00, 1.31, 0.52,-999.00,-999.00
FGOALS-g3, 0.98, 1.09,-999.00, 1.05,-999.00, 0.87,-999.00, 0.78,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.84, 0.90,-999.00,-999.00,-999.00, 0.67,-999.00,-999.00, 0.92, 1.01,-999.00,-999.00
GISS-E2-1-G, 0.72, 0.80,-999.00, 0.80,-999.00, 0.64,-999.00, 0.58, 0.69, 0.55,-999.00,-999.00
GISS-E2-R, 1.01, 1.09, 1.11,-999.00,-999.00, 0.93, 0.97,-999.00, 0.88, 1.00,-999.00,-999.00
HadCM3, 1.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.35, 0.48,-999.00,-999.00,-999.00, 0.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.42, 0.51,-999.00,-999.00,-999.00, 0.40,-999.00,-999.00, 0.30, 0.26,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.80,-999.00, 0.81,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.17, 2.39, 1.74, 2.33,-999.00, 2.08, 1.55, 1.88, 2.31, 2.26,-999.00,-999.00
IPSL-CM5A-LR, 0.19, 0.34, 0.25,-999.00,-999.00, 0.29, 0.22,-999.00, 0.16, 0.17,-999.00,-999.00
IPSL-CM6A-LR, 1.63, 1.87,-999.00, 1.54,-999.00, 1.53,-999.00, 1.22, 1.27, 0.87,-999.00,-999.00
KCM1-2-2, 2.70, 2.55,-999.00,-999.00,-999.00, 2.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.71, 2.06, 1.51,-999.00,-999.00, 1.72, 1.35, 1.82, 2.02, 1.98,-999.00,-999.00
MIROC-ESM, 2.45, 2.91, 2.23,-999.00,-999.00, 2.61, 2.01,-999.00, 1.91, 1.38,-999.00,-999.00
MPI-ESM1-2-LR, 0.24, 0.52, 0.28,-999.00,-999.00, 0.42,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.75, 1.15, 0.80,-999.00,-999.00, 0.89, 0.68,-999.00, 0.28, 0.23,-999.00,-999.00
MRI-CGCM3, 0.51, 0.67, 0.50,-999.00,-999.00, 0.50, 0.42,-999.00, 0.49, 0.47,-999.00,-999.00
MRI-ESM2-0, 0.45, 0.64,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00, 0.39, 0.38,-999.00,-999.00
NESM3, 0.49, 0.82,-999.00, 0.92,-999.00, 0.61,-999.00, 0.58, 0.62, 0.54,-999.00,-999.00
NorESM1-F, 1.79, 2.15,-999.00, 1.92,-999.00, 1.68,-999.00, 1.37,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.09, 1.66,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 0.95, 0.90,-999.00,-999.00
UofT-CCSM-4, 1.99, 2.33, 2.31,-999.00,-999.00, 1.84, 2.05,-999.00,-999.00,-999.00,-999.00,-999.00
