MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.96,-999.00,-999.00, 1.32,-999.00,-999.00,-999.00, 1.21, 1.22, 1.30,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.45, 1.52, 1.41,-999.00, 1.26, 1.31, 1.25,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.37, 2.09, 2.31,-999.00,-999.00, 1.88, 2.05,-999.00, 2.91, 2.98,-999.00,-999.00
CESM2, 1.81, 1.52,-999.00, 1.56,-999.00, 1.36,-999.00, 1.43, 2.04, 2.14,-999.00,-999.00
CNRM-CM5, 1.83, 1.51, 1.38,-999.00,-999.00, 1.33, 1.21,-999.00, 1.96, 2.22,-999.00,-999.00
CNRM-CM6-1, 1.29,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00, 1.22, 1.04,-999.00,-999.00
COSMOS-ASO, 1.77,-999.00, 1.69,-999.00,-999.00,-999.00, 1.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.75, 1.54,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.19, 1.11,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.82, 0.79,-999.00,-999.00,-999.00, 0.73,-999.00,-999.00, 0.70,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.45, 1.15,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.41, 1.88,-999.00,-999.00,-999.00, 1.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.48, 1.32,-999.00, 1.23,-999.00, 1.22,-999.00, 1.12, 1.47, 1.54,-999.00,-999.00
FGOALS-g2, 1.48, 1.43, 1.23,-999.00,-999.00, 1.32, 1.09,-999.00, 1.92, 1.14,-999.00,-999.00
FGOALS-g3, 2.16, 1.92,-999.00, 1.82,-999.00, 1.75,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.44, 1.17,-999.00,-999.00,-999.00, 1.01,-999.00,-999.00, 1.85, 1.76,-999.00,-999.00
GISS-E2-1-G, 1.29, 1.14,-999.00, 1.22,-999.00, 1.05,-999.00, 1.15, 1.21, 1.33,-999.00,-999.00
GISS-E2-R, 0.90, 0.83, 0.96,-999.00,-999.00, 0.76, 0.89,-999.00, 1.03, 1.37,-999.00,-999.00
HadCM3, 1.37,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.03, 0.88,-999.00,-999.00,-999.00, 0.79,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.16, 0.90,-999.00,-999.00,-999.00, 0.80,-999.00,-999.00, 0.98, 0.88,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.22,-999.00, 1.16,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.37, 2.17, 2.15, 1.98,-999.00, 2.03, 2.01, 1.88, 2.33, 2.25,-999.00,-999.00
IPSL-CM5A-LR, 0.72, 0.60, 0.71,-999.00,-999.00, 0.55, 0.63,-999.00, 0.70, 0.85,-999.00,-999.00
IPSL-CM6A-LR, 2.17, 1.80,-999.00, 1.69,-999.00, 1.63,-999.00, 1.57, 2.48, 2.50,-999.00,-999.00
KCM1-2-2, 2.70, 2.55,-999.00,-999.00,-999.00, 2.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.29, 1.22, 1.27,-999.00,-999.00, 1.11, 1.13, 1.09, 1.23, 1.20,-999.00,-999.00
MIROC-ESM, 2.02, 1.77, 1.60,-999.00,-999.00, 1.63, 1.45,-999.00, 2.18, 2.01,-999.00,-999.00
MPI-ESM1-2-LR, 1.10, 0.97, 0.98,-999.00,-999.00, 0.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.51, 1.46, 1.43,-999.00,-999.00, 1.28, 1.23,-999.00, 1.33, 1.34,-999.00,-999.00
MRI-CGCM3, 1.80, 1.63, 1.56,-999.00,-999.00, 1.45, 1.38,-999.00, 1.99, 1.70,-999.00,-999.00
MRI-ESM2-0, 1.11, 0.84,-999.00,-999.00,-999.00, 0.77,-999.00,-999.00, 1.26, 1.15,-999.00,-999.00
NESM3, 3.13, 2.45,-999.00, 2.41,-999.00, 2.05,-999.00, 2.08, 4.07, 4.10,-999.00,-999.00
NorESM1-F, 1.85, 1.52,-999.00, 1.51,-999.00, 1.35,-999.00, 1.38,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 2.44, 2.03,-999.00,-999.00,-999.00, 1.82,-999.00,-999.00, 2.40, 2.31,-999.00,-999.00
UofT-CCSM-4, 2.79, 2.51, 2.69,-999.00,-999.00, 2.25, 2.45,-999.00,-999.00,-999.00,-999.00,-999.00
