MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 5.58,-999.00,-999.00, 4.00,-999.00,-999.00,-999.00, 4.08, 5.65, 5.77,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 4.13, 4.86, 2.91,-999.00, 4.15, 4.86, 2.96,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.47, 4.38, 4.39,-999.00,-999.00, 4.40, 4.39,-999.00, 4.32, 4.40,-999.00,-999.00
CESM2, 5.12, 4.88,-999.00, 3.67, 5.36, 4.90,-999.00, 3.72, 5.23, 5.31,-999.00,-999.00
CNRM-CM5, 4.99, 4.79, 4.99,-999.00,-999.00, 4.81, 4.99,-999.00, 4.91, 5.09,-999.00,-999.00
CNRM-CM6-1, 4.88,-999.00,-999.00, 3.59,-999.00,-999.00,-999.00, 3.64, 5.06, 5.13,-999.00,-999.00
COSMOS-ASO, 4.64,-999.00, 4.46,-999.00,-999.00,-999.00, 4.46,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.83, 5.65,-999.00,-999.00,-999.00, 5.68,-999.00,-999.00, 5.96, 6.16,-999.00,-999.00
CSIRO-Mk3L-1-2, 5.58, 5.44,-999.00,-999.00,-999.00, 5.46,-999.00,-999.00, 5.47,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.39, 4.26,-999.00,-999.00,-999.00, 4.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.80, 4.69,-999.00,-999.00,-999.00, 4.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 5.09, 4.94,-999.00, 3.61,-999.00, 4.97,-999.00, 3.65, 5.24, 5.25,-999.00,-999.00
FGOALS-g2, 4.98, 4.80, 5.24,-999.00,-999.00, 4.82, 5.24,-999.00, 4.71, 5.07,-999.00,-999.00
FGOALS-g3, 4.60, 4.59,-999.00, 3.48,-999.00, 4.60,-999.00, 3.53,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.26, 4.27,-999.00,-999.00,-999.00, 4.29,-999.00,-999.00, 4.09, 4.16,-999.00,-999.00
GISS-E2-1-G, 5.10, 5.04,-999.00, 3.75, 5.08, 5.07,-999.00, 3.81, 4.96, 4.85,-999.00,-999.00
GISS-E2-R, 5.17, 4.92, 5.00,-999.00,-999.00, 4.94, 5.00,-999.00, 4.77, 4.73,-999.00,-999.00
HadCM3, 5.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 5.55, 5.31,-999.00,-999.00,-999.00, 5.32,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 5.60, 5.42,-999.00,-999.00,-999.00, 5.44,-999.00,-999.00, 5.71, 5.67,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.10,-999.00, 3.84,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.83, 4.79, 5.01, 3.54,-999.00, 4.81, 5.01, 3.59, 4.84, 4.80,-999.00,-999.00
IPSL-CM5A-LR, 5.43, 5.26, 5.30,-999.00,-999.00, 5.29, 5.30,-999.00, 5.65, 5.77,-999.00,-999.00
IPSL-CM6A-LR, 4.40, 4.28,-999.00, 3.27, 4.39, 4.30,-999.00, 3.32, 4.37, 4.33,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.73, 4.65, 4.85, 3.49,-999.00, 4.67, 4.85, 3.54, 4.58, 4.72,-999.00,-999.00
MIROC-ESM, 4.54, 4.27, 4.65,-999.00,-999.00, 4.28, 4.65,-999.00, 4.70, 4.98,-999.00,-999.00
MPI-ESM1-2-LR, 5.26, 5.00, 5.36, 3.91,-999.00, 5.03,-999.00, 3.89, 4.99, 4.89,-999.00,-999.00
MPI-ESM-P, 4.98, 4.78, 4.91,-999.00,-999.00, 4.80, 4.91,-999.00, 5.29, 5.39,-999.00,-999.00
MRI-CGCM3, 5.38, 5.17, 5.27,-999.00,-999.00, 5.19, 5.27,-999.00, 5.50, 5.53,-999.00,-999.00
MRI-ESM2-0, 5.21, 5.01,-999.00,-999.00,-999.00, 5.03,-999.00,-999.00, 5.18, 5.20,-999.00,-999.00
NESM3, 5.47, 5.41,-999.00, 4.09,-999.00, 5.44,-999.00, 4.15, 5.32, 5.28,-999.00,-999.00
NorESM1-F, 4.57, 4.35,-999.00, 3.30, 3.87, 4.37,-999.00, 3.36,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.80, 4.53,-999.00, 3.32,-999.00, 4.54,-999.00, 3.37, 5.06, 5.16,-999.00,-999.00
UofT-CCSM-4, 4.30, 4.29, 4.29,-999.00,-999.00, 4.31, 4.29,-999.00,-999.00,-999.00,-999.00,-999.00
