MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,24.78,-999.00,-999.00,26.57,-999.00,-999.00,-999.00,25.87,30.47,31.60,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.56,21.68,24.66,-999.00,24.32,21.71,24.37,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.88,24.89,21.11,-999.00,-999.00,24.59,21.13,-999.00,28.03,28.65,-999.00,-999.00
CESM2,24.74,25.82,-999.00,25.99,28.99,25.44,-999.00,25.35,31.17,33.92,-999.00,-999.00
CNRM-CM5,23.36,24.72,21.54,-999.00,-999.00,24.38,21.57,-999.00,27.69,29.30,-999.00,-999.00
CNRM-CM6-1,24.69,-999.00,-999.00,26.83,-999.00,-999.00,-999.00,26.22,31.21,32.93,-999.00,-999.00
COSMOS-ASO,24.79,-999.00,19.35,-999.00,-999.00,-999.00,19.37,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,24.05,25.58,-999.00,-999.00,-999.00,25.20,-999.00,-999.00,28.95,31.29,-999.00,-999.00
CSIRO-Mk3L-1-2,25.73,26.99,-999.00,-999.00,-999.00,26.62,-999.00,-999.00,29.48,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.56,23.34,-999.00,-999.00,-999.00,23.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.00,26.11,-999.00,-999.00,-999.00,25.81,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.64,24.59,-999.00,24.65,-999.00,24.15,-999.00,23.91,29.74,29.58,-999.00,-999.00
FGOALS-g2,23.10,23.42,19.09,-999.00,-999.00,23.10,19.12,-999.00,27.13,30.21,-999.00,-999.00
FGOALS-g3,24.34,25.23,-999.00,25.74,-999.00,24.89,-999.00,25.09,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.04,26.08,-999.00,-999.00,-999.00,25.78,-999.00,-999.00,30.01,31.85,-999.00,-999.00
GISS-E2-1-G,24.50,25.44,-999.00,26.04,26.67,25.10,-999.00,25.39,25.74,31.23,-999.00,-999.00
GISS-E2-R,25.81,27.12,23.78,-999.00,-999.00,26.79,23.81,-999.00,29.69,29.86,-999.00,-999.00
HadCM3,24.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,23.08,24.51,-999.00,-999.00,-999.00,24.09,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,23.59,25.24,-999.00,-999.00,-999.00,24.83,-999.00,-999.00,29.46,31.39,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,24.82,-999.00,25.20,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.39,24.46,21.42,24.91,-999.00,24.13,21.45,24.35,26.89,27.31,-999.00,-999.00
IPSL-CM5A-LR,22.99,24.25,19.20,-999.00,-999.00,23.86,19.23,-999.00,28.02,30.19,-999.00,-999.00
IPSL-CM6A-LR,22.37,23.37,-999.00,23.98,23.94,23.04,-999.00,23.36,28.94,33.42,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,25.96,26.70,23.80,26.57,-999.00,26.36,23.83,25.87,29.64,30.34,-999.00,-999.00
MIROC-ESM,24.51,24.89,22.01,-999.00,-999.00,24.58,22.05,-999.00,30.09,32.98,-999.00,-999.00
MPI-ESM1-2-LR,25.35,26.37,22.45,25.04,-999.00,26.00,-999.00,25.81,31.36,31.54,-999.00,-999.00
MPI-ESM-P,24.50,25.43,20.86,-999.00,-999.00,25.09,20.89,-999.00,30.08,31.75,-999.00,-999.00
MRI-CGCM3,25.99,27.02,22.62,-999.00,-999.00,26.62,22.66,-999.00,30.17,31.07,-999.00,-999.00
MRI-ESM2-0,26.26,27.23,-999.00,-999.00,-999.00,26.87,-999.00,-999.00,31.40,32.61,-999.00,-999.00
NESM3,25.15,26.83,-999.00,27.95,-999.00,26.44,-999.00,27.24,31.79,33.21,-999.00,-999.00
NorESM1-F,25.06,26.05,-999.00,26.42,25.46,25.77,-999.00,25.88,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,24.89,26.04,-999.00,26.08,-999.00,25.69,-999.00,25.52,29.24,32.93,-999.00,-999.00
UofT-CCSM-4,22.96,24.00,18.98,-999.00,-999.00,23.72,19.00,-999.00,-999.00,-999.00,-999.00,-999.00
