MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.73,-999.00,-999.00, 3.07,-999.00,-999.00,-999.00, 2.49, 2.36, 2.29,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.35, 3.33, 3.09,-999.00, 2.92, 3.04, 2.61,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.39, 4.54, 4.25,-999.00,-999.00, 4.06, 3.95,-999.00, 3.95, 3.64,-999.00,-999.00
CESM2, 4.06, 3.71,-999.00, 3.72,-999.00, 3.13,-999.00, 3.08, 4.45, 5.11,-999.00,-999.00
CNRM-CM5, 3.96, 3.73, 3.73,-999.00,-999.00, 3.35, 3.45,-999.00, 4.07, 4.12,-999.00,-999.00
CNRM-CM6-1, 4.32,-999.00,-999.00, 3.84,-999.00,-999.00,-999.00,-999.00, 4.34, 4.36,-999.00,-999.00
COSMOS-ASO, 3.39,-999.00, 3.12,-999.00,-999.00,-999.00, 2.87,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.60, 1.56,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.62, 1.49,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.82, 3.59,-999.00,-999.00,-999.00, 3.07,-999.00,-999.00, 4.06,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.19, 3.08,-999.00,-999.00,-999.00, 2.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 4.07, 3.94,-999.00,-999.00,-999.00, 3.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 2.25, 2.11,-999.00, 1.93,-999.00, 1.86,-999.00, 1.69, 1.49, 1.46,-999.00,-999.00
FGOALS-g2, 2.85, 2.75, 3.27,-999.00,-999.00, 2.41, 3.07,-999.00, 3.51, 2.50,-999.00,-999.00
FGOALS-g3, 2.73, 2.31,-999.00, 2.14,-999.00, 2.07,-999.00, 1.86,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.32, 1.28,-999.00,-999.00,-999.00, 1.09,-999.00,-999.00, 2.00, 2.25,-999.00,-999.00
GISS-E2-1-G, 3.80, 3.71,-999.00, 3.52,-999.00, 3.42,-999.00, 3.23, 3.82, 4.23,-999.00,-999.00
GISS-E2-R, 5.45, 4.94, 5.26,-999.00,-999.00, 4.66, 5.08,-999.00, 4.42, 3.92,-999.00,-999.00
HadCM3, 3.53,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.19, 2.95,-999.00,-999.00,-999.00, 2.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.41, 3.39,-999.00,-999.00,-999.00, 2.93,-999.00,-999.00, 3.59, 4.01,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 4.19,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.74, 4.61, 5.96, 4.54,-999.00, 4.31, 5.84, 4.24, 4.53, 4.51,-999.00,-999.00
IPSL-CM5A-LR, 2.03, 1.97, 1.90,-999.00,-999.00, 1.65, 1.69,-999.00, 2.43, 2.82,-999.00,-999.00
IPSL-CM6A-LR, 5.53, 5.15,-999.00, 4.84,-999.00, 4.66,-999.00, 4.31, 5.07, 4.48,-999.00,-999.00
KCM1-2-2, 8.04, 7.24,-999.00,-999.00,-999.00, 7.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 5.31, 5.03, 5.06,-999.00,-999.00, 4.56, 4.83, 3.98, 5.00, 5.34,-999.00,-999.00
MIROC-ESM, 3.34, 3.37, 3.31,-999.00,-999.00, 2.92, 3.02,-999.00, 3.08, 2.78,-999.00,-999.00
MPI-ESM1-2-LR, 3.81, 3.62, 3.49,-999.00,-999.00, 3.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.07, 2.84, 2.92,-999.00,-999.00, 2.37, 2.56,-999.00, 3.42, 3.40,-999.00,-999.00
MRI-CGCM3, 5.48, 4.94, 4.62,-999.00,-999.00, 4.40, 4.35,-999.00, 5.47, 5.75,-999.00,-999.00
MRI-ESM2-0, 4.10, 3.68,-999.00,-999.00,-999.00, 3.13,-999.00,-999.00, 4.86, 5.25,-999.00,-999.00
NESM3, 5.26, 5.07,-999.00, 4.93,-999.00, 4.43,-999.00, 4.20, 6.51, 6.60,-999.00,-999.00
NorESM1-F, 2.84, 2.78,-999.00, 2.58,-999.00, 2.41,-999.00, 2.18,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 5.27, 4.97,-999.00,-999.00,-999.00, 4.19,-999.00,-999.00, 3.89, 3.96,-999.00,-999.00
UofT-CCSM-4, 4.48, 4.42, 4.02,-999.00,-999.00, 3.95, 3.71,-999.00,-999.00,-999.00,-999.00,-999.00
