MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.30,-999.00,-999.00, 3.80,-999.00,-999.00,-999.00, 3.17, 2.49, 2.36,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.51, 3.60, 3.82,-999.00, 3.02, 3.22, 3.39,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 7.01, 7.04, 5.96,-999.00,-999.00, 6.47, 5.59,-999.00, 6.32, 6.05,-999.00,-999.00
CESM2, 5.55, 5.25,-999.00, 5.39,-999.00, 4.48,-999.00, 4.72, 6.32, 7.23,-999.00,-999.00
CNRM-CM5, 4.97, 4.86, 4.85,-999.00,-999.00, 4.42, 4.45,-999.00, 4.92, 5.09,-999.00,-999.00
CNRM-CM6-1, 7.09,-999.00,-999.00, 6.68,-999.00,-999.00,-999.00,-999.00, 7.09, 7.00,-999.00,-999.00
COSMOS-ASO, 4.10,-999.00, 3.82,-999.00,-999.00,-999.00, 3.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.59, 1.73,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00, 1.52, 1.39,-999.00,-999.00
CSIRO-Mk3L-1-2, 6.47, 6.39,-999.00,-999.00,-999.00, 5.63,-999.00,-999.00, 6.85,-999.00,-999.00,-999.00
EC-EARTH-2-2, 3.75, 3.28,-999.00,-999.00,-999.00, 2.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 7.15, 6.71,-999.00,-999.00,-999.00, 6.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.31, 3.09,-999.00, 2.90,-999.00, 2.77,-999.00, 2.65, 2.04, 1.96,-999.00,-999.00
FGOALS-g2, 4.35, 4.05, 4.16,-999.00,-999.00, 3.62, 3.91,-999.00, 5.56, 3.97,-999.00,-999.00
FGOALS-g3, 3.22, 2.80,-999.00, 2.70,-999.00, 2.55,-999.00, 2.48,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.82, 1.91,-999.00,-999.00,-999.00, 1.67,-999.00,-999.00, 3.13, 3.49,-999.00,-999.00
GISS-E2-1-G, 5.64, 5.05,-999.00, 5.28,-999.00, 4.81,-999.00, 5.17, 5.72, 6.03,-999.00,-999.00
GISS-E2-R, 7.50, 6.87, 7.13,-999.00,-999.00, 6.62, 6.91,-999.00, 6.50, 5.81,-999.00,-999.00
HadCM3, 3.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 4.14, 4.03,-999.00,-999.00,-999.00, 3.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 4.55, 4.41,-999.00,-999.00,-999.00, 3.87,-999.00,-999.00, 4.48, 5.04,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 5.59,-999.00, 5.86,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 7.26, 7.20, 6.91, 7.40,-999.00, 6.88, 6.78, 7.27, 7.32, 7.34,-999.00,-999.00
IPSL-CM5A-LR, 3.25, 3.13, 3.14,-999.00,-999.00, 2.67, 2.79,-999.00, 3.93, 4.59,-999.00,-999.00
IPSL-CM6A-LR, 8.43, 7.58,-999.00, 7.62,-999.00, 7.03,-999.00, 7.20, 8.39, 7.81,-999.00,-999.00
KCM1-2-2, 8.04, 7.24,-999.00,-999.00,-999.00, 7.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 5.77, 5.43, 5.76,-999.00,-999.00, 4.95, 5.51, 4.75, 5.25, 5.41,-999.00,-999.00
MIROC-ESM, 3.45, 3.37, 3.38,-999.00,-999.00, 2.86, 3.02,-999.00, 3.25, 3.10,-999.00,-999.00
MPI-ESM1-2-LR, 4.22, 3.77, 3.42,-999.00,-999.00, 3.25,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 3.31, 2.97, 2.88,-999.00,-999.00, 2.41, 2.42,-999.00, 4.07, 4.35,-999.00,-999.00
MRI-CGCM3, 8.26, 7.03, 6.68,-999.00,-999.00, 6.44, 6.40,-999.00, 9.14, 9.28,-999.00,-999.00
MRI-ESM2-0, 5.19, 4.82,-999.00,-999.00,-999.00, 4.18,-999.00,-999.00, 6.35, 6.93,-999.00,-999.00
NESM3, 6.05, 5.19,-999.00, 5.45,-999.00, 4.42,-999.00, 4.84, 8.55, 8.70,-999.00,-999.00
NorESM1-F, 3.05, 3.02,-999.00, 2.77,-999.00, 2.66,-999.00, 2.46,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 7.30, 6.61,-999.00,-999.00,-999.00, 5.56,-999.00,-999.00, 5.16, 5.63,-999.00,-999.00
UofT-CCSM-4, 7.16, 7.01, 6.03,-999.00,-999.00, 6.43, 5.63,-999.00,-999.00,-999.00,-999.00,-999.00
