MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,25.67,-999.00,-999.00,25.12,-999.00,-999.00,-999.00,25.01,30.78,32.00,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,20.76,19.65,21.53,-999.00,20.75,19.65,21.48,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.87,23.46,20.71,-999.00,-999.00,23.45,20.72,-999.00,27.97,28.62,-999.00,-999.00
CESM2,24.70,24.76,-999.00,24.78,28.63,24.74,-999.00,24.73,30.28,32.36,-999.00,-999.00
CNRM-CM5,22.83,22.95,20.73,-999.00,-999.00,22.95,20.73,-999.00,26.73,27.93,-999.00,-999.00
CNRM-CM6-1,22.86,-999.00,-999.00,23.53,-999.00,-999.00,-999.00,23.51,28.87,30.28,-999.00,-999.00
COSMOS-ASO,23.40,-999.00,19.02,-999.00,-999.00,-999.00,19.02,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.18,24.83,-999.00,-999.00,-999.00,24.83,-999.00,-999.00,29.78,32.36,-999.00,-999.00
CSIRO-Mk3L-1-2,25.07,24.98,-999.00,-999.00,-999.00,24.99,-999.00,-999.00,28.38,-999.00,-999.00,-999.00
EC-EARTH-2-2,21.33,21.23,-999.00,-999.00,-999.00,21.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.43,23.26,-999.00,-999.00,-999.00,23.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.74,23.27,-999.00,23.45,-999.00,23.29,-999.00,23.43,29.53,29.60,-999.00,-999.00
FGOALS-g2,23.51,22.55,19.62,-999.00,-999.00,22.57,19.62,-999.00,26.56,29.24,-999.00,-999.00
FGOALS-g3,24.84,24.92,-999.00,25.34,-999.00,24.92,-999.00,25.32,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,25.25,24.81,-999.00,-999.00,-999.00,24.81,-999.00,-999.00,29.17,30.87,-999.00,-999.00
GISS-E2-1-G,24.54,24.09,-999.00,24.57,25.70,24.09,-999.00,24.55,25.32,29.46,-999.00,-999.00
GISS-E2-R,24.21,24.13,21.00,-999.00,-999.00,24.15,21.00,-999.00,28.66,29.43,-999.00,-999.00
HadCM3,23.69,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,23.68,23.64,-999.00,-999.00,-999.00,23.64,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,23.96,24.00,-999.00,-999.00,-999.00,24.00,-999.00,-999.00,29.45,30.99,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,23.75,-999.00,24.47,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,22.92,22.72,20.19,23.10,-999.00,22.71,20.19,23.06,26.02,26.43,-999.00,-999.00
IPSL-CM5A-LR,22.66,22.40,18.76,-999.00,-999.00,22.37,18.76,-999.00,27.74,29.85,-999.00,-999.00
IPSL-CM6A-LR,23.26,22.90,-999.00,23.23,25.56,22.92,-999.00,23.25,29.35,33.48,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,23.80,23.39,21.71,23.49,-999.00,23.39,21.71,23.48,27.33,27.46,-999.00,-999.00
MIROC-ESM,24.20,24.00,21.57,-999.00,-999.00,24.00,21.57,-999.00,29.49,31.90,-999.00,-999.00
MPI-ESM1-2-LR,21.74,21.42,19.22,25.13,-999.00,21.41,-999.00,25.17,26.77,26.91,-999.00,-999.00
MPI-ESM-P,23.28,23.05,20.11,-999.00,-999.00,23.04,20.11,-999.00,28.34,30.11,-999.00,-999.00
MRI-CGCM3,23.19,23.09,19.89,-999.00,-999.00,23.09,19.89,-999.00,26.87,27.86,-999.00,-999.00
MRI-ESM2-0,24.29,24.00,-999.00,-999.00,-999.00,23.99,-999.00,-999.00,27.86,28.75,-999.00,-999.00
NESM3,21.99,21.81,-999.00,22.35,-999.00,21.79,-999.00,22.29,27.87,28.78,-999.00,-999.00
NorESM1-F,24.45,24.07,-999.00,24.23,25.58,24.07,-999.00,24.19,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.86,23.67,-999.00,23.55,-999.00,23.65,-999.00,23.50,27.95,31.45,-999.00,-999.00
UofT-CCSM-4,23.49,23.28,20.70,-999.00,-999.00,23.27,20.70,-999.00,-999.00,-999.00,-999.00,-999.00
