MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,27.43,-999.00,-999.00,27.92,-999.00,-999.00,-999.00,27.83,32.70,33.90,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,23.36,20.95,24.22,-999.00,23.33,20.95,24.28,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,25.12,25.67,21.89,-999.00,-999.00,25.64,21.89,-999.00,29.69,30.24,-999.00,-999.00
CESM2,26.12,27.08,-999.00,26.91,30.36,26.99,-999.00,26.75,31.98,34.33,-999.00,-999.00
CNRM-CM5,24.63,25.62,22.60,-999.00,-999.00,25.63,22.59,-999.00,29.06,30.39,-999.00,-999.00
CNRM-CM6-1,25.12,-999.00,-999.00,26.81,-999.00,-999.00,-999.00,27.05,31.76,33.37,-999.00,-999.00
COSMOS-ASO,25.40,-999.00,20.21,-999.00,-999.00,-999.00,20.21,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.29,26.77,-999.00,-999.00,-999.00,26.77,-999.00,-999.00,31.09,33.43,-999.00,-999.00
CSIRO-Mk3L-1-2,26.54,27.35,-999.00,-999.00,-999.00,27.35,-999.00,-999.00,30.30,-999.00,-999.00,-999.00
EC-EARTH-2-2,23.15,23.81,-999.00,-999.00,-999.00,23.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,26.02,26.87,-999.00,-999.00,-999.00,26.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.28,25.67,-999.00,25.61,-999.00,25.67,-999.00,25.66,31.25,31.37,-999.00,-999.00
FGOALS-g2,25.54,25.44,21.09,-999.00,-999.00,25.52,21.08,-999.00,29.13,31.29,-999.00,-999.00
FGOALS-g3,26.39,27.28,-999.00,27.62,-999.00,27.28,-999.00,27.75,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.34,26.92,-999.00,-999.00,-999.00,26.84,-999.00,-999.00,30.85,32.59,-999.00,-999.00
GISS-E2-1-G,26.24,26.47,-999.00,26.96,27.51,26.49,-999.00,27.07,27.07,31.45,-999.00,-999.00
GISS-E2-R,25.75,26.54,22.10,-999.00,-999.00,26.58,22.10,-999.00,30.41,31.14,-999.00,-999.00
HadCM3,26.12,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,25.25,26.24,-999.00,-999.00,-999.00,26.21,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.71,27.00,-999.00,-999.00,-999.00,26.97,-999.00,-999.00,31.96,33.58,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.41,-999.00,27.34,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,24.22,25.09,20.67,25.40,-999.00,25.11,20.67,25.62,27.93,28.45,-999.00,-999.00
IPSL-CM5A-LR,23.96,24.94,19.72,-999.00,-999.00,24.81,19.73,-999.00,29.23,31.48,-999.00,-999.00
IPSL-CM6A-LR,24.49,25.13,-999.00,25.50,27.43,25.20,-999.00,25.84,31.71,36.63,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,25.57,26.07,23.14,25.73,-999.00,26.14,23.14,26.11,29.76,29.75,-999.00,-999.00
MIROC-ESM,26.53,27.16,23.55,-999.00,-999.00,27.17,23.55,-999.00,32.61,34.88,-999.00,-999.00
MPI-ESM1-2-LR,23.52,24.05,20.54,26.38,-999.00,24.04,-999.00,26.55,29.14,29.30,-999.00,-999.00
MPI-ESM-P,25.01,25.56,21.37,-999.00,-999.00,25.49,21.37,-999.00,30.30,31.93,-999.00,-999.00
MRI-CGCM3,24.30,25.09,20.64,-999.00,-999.00,25.09,20.64,-999.00,29.09,30.38,-999.00,-999.00
MRI-ESM2-0,26.27,27.09,-999.00,-999.00,-999.00,27.02,-999.00,-999.00,30.78,31.75,-999.00,-999.00
NESM3,23.53,24.42,-999.00,25.02,-999.00,24.39,-999.00,25.01,30.19,31.22,-999.00,-999.00
NorESM1-F,26.60,27.15,-999.00,27.09,27.68,27.13,-999.00,27.11,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.31,26.10,-999.00,25.72,-999.00,25.99,-999.00,25.50,29.46,33.07,-999.00,-999.00
UofT-CCSM-4,24.93,25.61,21.90,-999.00,-999.00,25.60,21.90,-999.00,-999.00,-999.00,-999.00,-999.00
