MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.25,-999.00,-999.00, 5.00,-999.00,-999.00,-999.00, 5.37, 9.26,10.96,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.53,-16.27, 1.50,-999.00, 1.86,-16.30, 2.21,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 3.88, 3.58,-16.27,-999.00,-999.00, 3.88,-16.31,-999.00, 8.84, 9.05,-999.00,-999.00
CESM2, 4.42, 4.52,-999.00, 4.76, 9.51, 4.76,-999.00, 5.30, 7.82,10.16,-999.00,-999.00
CNRM-CM5, 1.34, 2.19,-15.60,-999.00,-999.00, 2.51,-15.66,-999.00, 6.76, 7.64,-999.00,-999.00
CNRM-CM6-1, 2.65,-999.00,-999.00, 3.73,-999.00,-999.00,-999.00, 4.36, 8.96, 9.69,-999.00,-999.00
COSMOS-ASO, 0.00,-999.00,-19.39,-999.00,-999.00,-999.00,-19.43,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-1.42,-0.87,-999.00,-999.00,-999.00,-0.48,-999.00,-999.00, 3.71, 6.61,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.82, 2.21,-999.00,-999.00,-999.00, 2.55,-999.00,-999.00, 5.87,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.36, 1.92,-999.00,-999.00,-999.00, 2.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,-1.06, 0.15,-999.00,-999.00,-999.00, 0.49,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,-0.01,-0.17,-999.00, 0.30,-999.00, 0.27,-999.00, 1.08, 7.88, 7.94,-999.00,-999.00
FGOALS-g2,-3.23,-3.85,-21.85,-999.00,-999.00,-3.46,-21.88,-999.00, 2.85, 3.82,-999.00,-999.00
FGOALS-g3,-2.60,-2.50,-999.00,-1.33,-999.00,-2.10,-999.00,-0.42,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.41, 2.62,-999.00,-999.00,-999.00, 2.99,-999.00,-999.00, 7.31, 7.63,-999.00,-999.00
GISS-E2-1-G, 0.05, 0.27,-999.00, 0.88, 1.07, 0.58,-999.00, 1.52, 1.19, 2.75,-999.00,-999.00
GISS-E2-R,-0.00, 0.64,-20.15,-999.00,-999.00, 1.00,-20.18,-999.00, 5.09, 5.58,-999.00,-999.00
HadCM3,-0.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.28, 2.56,-999.00,-999.00,-999.00, 2.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.14, 4.01,-999.00,-999.00,-999.00, 4.32,-999.00,-999.00, 9.55,11.35,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 2.89,-999.00, 4.42,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.70, 1.68,-21.28, 1.80,-999.00, 1.98,-21.31, 2.45, 5.41, 6.67,-999.00,-999.00
IPSL-CM5A-LR,-1.18,-0.73,-20.86,-999.00,-999.00,-0.37,-20.89,-999.00, 6.20, 8.18,-999.00,-999.00
IPSL-CM6A-LR, 1.82, 1.51,-999.00, 2.25, 5.90, 1.84,-999.00, 2.96, 9.80,15.04,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 3.35, 3.06,-17.49, 3.19,-999.00, 3.39,-17.53, 3.89, 8.71, 9.50,-999.00,-999.00
MIROC-ESM, 5.11, 5.04,-18.44,-999.00,-999.00, 5.32,-18.47,-999.00,11.26,12.61,-999.00,-999.00
MPI-ESM1-2-LR, 1.68, 1.62,-17.32,-0.78,-999.00, 1.93,-999.00,-0.88, 8.33, 8.71,-999.00,-999.00
MPI-ESM-P, 2.36, 2.72,-19.45,-999.00,-999.00, 3.01,-19.48,-999.00, 7.55, 9.04,-999.00,-999.00
MRI-CGCM3, 0.10, 0.53,-16.54,-999.00,-999.00, 0.83,-16.59,-999.00, 5.66, 6.37,-999.00,-999.00
MRI-ESM2-0, 3.77, 4.11,-999.00,-999.00,-999.00, 4.37,-999.00,-999.00, 6.33, 7.84,-999.00,-999.00
NESM3, 0.41, 0.96,-999.00, 0.03,-999.00, 1.29,-999.00, 0.73, 9.55,10.65,-999.00,-999.00
NorESM1-F, 5.10, 4.82,-999.00, 5.26, 7.48, 5.09,-999.00, 5.89,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 4.09, 4.13,-999.00, 4.35,-999.00, 4.37,-999.00, 4.87, 8.01,10.53,-999.00,-999.00
UofT-CCSM-4, 0.17, 0.42,-19.44,-999.00,-999.00, 0.76,-19.48,-999.00,-999.00,-999.00,-999.00,-999.00
