MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 6.86,-999.00,-999.00, 8.29,-999.00,-999.00,-999.00, 8.37, 6.80, 6.85,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 9.31, 8.75,10.47,-999.00, 9.32, 8.75,10.53,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 8.19, 8.85, 9.71,-999.00,-999.00, 8.87, 9.70,-999.00, 8.14, 8.12,-999.00,-999.00
CESM2, 6.72, 7.04,-999.00, 8.05, 8.18, 7.05,-999.00, 8.10, 6.96, 7.24,-999.00,-999.00
CNRM-CM5, 8.94, 9.06,14.55,-999.00,-999.00, 9.08,14.53,-999.00, 7.83, 7.61,-999.00,-999.00
CNRM-CM6-1, 8.26,-999.00,-999.00, 9.83,-999.00,-999.00,-999.00, 9.89, 7.96, 7.82,-999.00,-999.00
COSMOS-ASO, 8.01,-999.00, 8.89,-999.00,-999.00,-999.00, 8.89,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,10.97,11.17,-999.00,-999.00,-999.00,11.14,-999.00,-999.00, 9.11, 8.40,-999.00,-999.00
CSIRO-Mk3L-1-2, 9.45, 9.76,-999.00,-999.00,-999.00, 9.75,-999.00,-999.00, 8.58,-999.00,-999.00,-999.00
EC-EARTH-2-2, 6.87, 6.85,-999.00,-999.00,-999.00, 6.87,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 8.95, 9.18,-999.00,-999.00,-999.00, 9.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 9.89,10.47,-999.00,11.30,-999.00,10.39,-999.00,11.34, 8.05, 8.44,-999.00,-999.00
FGOALS-g2,10.89,11.49, 9.98,-999.00,-999.00,11.50, 9.98,-999.00, 9.90, 9.26,-999.00,-999.00
FGOALS-g3,10.86,11.93,-999.00,12.82,-999.00,11.93,-999.00,12.85,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,10.18,10.53,-999.00,-999.00,-999.00,10.54,-999.00,-999.00, 8.89, 9.07,-999.00,-999.00
GISS-E2-1-G, 8.47, 8.95,-999.00, 9.83, 6.63, 8.97,-999.00, 9.88, 8.36, 7.92,-999.00,-999.00
GISS-E2-R,10.00,10.23, 9.98,-999.00,-999.00,10.23, 9.97,-999.00, 8.88, 9.01,-999.00,-999.00
HadCM3, 9.10,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 9.55, 9.62,-999.00,-999.00,-999.00, 9.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 8.73, 9.07,-999.00,-999.00,-999.00, 9.07,-999.00,-999.00, 8.27, 8.35,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 8.66,-999.00, 9.75,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 8.23, 8.65,10.29, 9.62,-999.00, 8.65,10.28, 9.67, 7.10, 6.92,-999.00,-999.00
IPSL-CM5A-LR, 9.97,10.47, 9.56,-999.00,-999.00,10.48, 9.56,-999.00, 8.78, 8.91,-999.00,-999.00
IPSL-CM6A-LR, 8.73, 9.50,-999.00,10.79, 8.23, 9.51,-999.00,10.82, 8.21, 7.90,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 8.75, 9.38,12.39,10.39,-999.00, 9.40,12.38,10.46, 8.44, 8.17,-999.00,-999.00
MIROC-ESM, 7.66, 8.13,10.14,-999.00,-999.00, 8.15,10.14,-999.00, 7.39, 7.31,-999.00,-999.00
MPI-ESM1-2-LR, 8.30, 8.80, 8.23, 2.18,-999.00, 8.80,-999.00, 2.17, 7.12, 7.09,-999.00,-999.00
MPI-ESM-P, 8.12, 8.55, 8.54,-999.00,-999.00, 8.55, 8.54,-999.00, 6.65, 6.64,-999.00,-999.00
MRI-CGCM3, 8.15, 8.43,11.78,-999.00,-999.00, 8.44,11.77,-999.00, 6.79, 6.78,-999.00,-999.00
MRI-ESM2-0, 7.04, 7.37,-999.00,-999.00,-999.00, 7.39,-999.00,-999.00, 6.75, 6.55,-999.00,-999.00
NESM3, 8.95, 9.21,-999.00,10.63,-999.00, 9.23,-999.00,10.70, 7.85, 7.72,-999.00,-999.00
NorESM1-F, 7.30, 7.96,-999.00, 9.06, 7.24, 7.96,-999.00, 9.12,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 6.44, 6.80,-999.00, 7.68,-999.00, 6.80,-999.00, 7.72, 6.50, 6.72,-999.00,-999.00
UofT-CCSM-4, 8.82, 9.56,10.28,-999.00,-999.00, 9.57,10.28,-999.00,-999.00,-999.00,-999.00,-999.00
