MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 3.25,-999.00,-999.00, 3.82,-999.00,-999.00,-999.00, 3.72, 3.24, 3.64,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.80, 3.53, 3.71,-999.00, 3.67, 3.39, 3.52,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 4.00, 4.03, 3.95,-999.00,-999.00, 3.91, 3.85,-999.00, 3.70, 3.65,-999.00,-999.00
CESM2, 3.82, 3.81,-999.00, 3.87,-999.00, 3.73,-999.00, 3.76, 2.03, 1.71,-999.00,-999.00
CNRM-CM5, 3.60, 4.12, 3.64,-999.00,-999.00, 4.04, 3.56,-999.00, 3.27, 3.13,-999.00,-999.00
CNRM-CM6-1, 2.38,-999.00,-999.00, 2.47,-999.00,-999.00,-999.00,-999.00, 1.77, 1.79,-999.00,-999.00
COSMOS-ASO, 3.72,-999.00, 3.96,-999.00,-999.00,-999.00, 3.84,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 5.10, 4.76,-999.00,-999.00,-999.00, 4.63,-999.00,-999.00, 4.79, 3.94,-999.00,-999.00
CSIRO-Mk3L-1-2, 3.32, 3.85,-999.00,-999.00,-999.00, 3.72,-999.00,-999.00, 2.04,-999.00,-999.00,-999.00
EC-EARTH-2-2, 4.04, 3.75,-999.00,-999.00,-999.00, 3.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 3.54, 3.72,-999.00,-999.00,-999.00, 3.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 4.04, 4.14,-999.00, 4.10,-999.00, 3.96,-999.00, 3.90, 4.06, 3.92,-999.00,-999.00
FGOALS-g2, 2.64, 3.16, 2.30,-999.00,-999.00, 3.00, 2.11,-999.00, 2.98, 3.17,-999.00,-999.00
FGOALS-g3, 3.08, 3.09,-999.00, 2.98,-999.00, 2.92,-999.00, 2.76,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 4.60, 4.37,-999.00,-999.00,-999.00, 4.19,-999.00,-999.00, 5.13, 4.80,-999.00,-999.00
GISS-E2-1-G, 4.06, 4.25,-999.00, 3.96,-999.00, 4.06,-999.00, 3.72, 4.15, 3.63,-999.00,-999.00
GISS-E2-R, 4.52, 3.59, 3.79,-999.00,-999.00, 3.57, 3.73,-999.00, 3.57, 3.35,-999.00,-999.00
HadCM3, 2.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 2.44, 2.92,-999.00,-999.00,-999.00, 2.72,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 2.58, 3.23,-999.00,-999.00,-999.00, 3.02,-999.00,-999.00, 2.40, 1.80,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.98,-999.00, 3.66,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 4.58, 4.77, 5.13, 4.81,-999.00, 4.72, 5.04, 4.70, 4.66, 4.71,-999.00,-999.00
IPSL-CM5A-LR, 4.16, 3.73, 3.57,-999.00,-999.00, 3.68, 3.51,-999.00, 4.30, 3.58,-999.00,-999.00
IPSL-CM6A-LR, 4.39, 4.26,-999.00, 3.96,-999.00, 4.13,-999.00, 3.77, 3.92, 3.64,-999.00,-999.00
KCM1-2-2, 2.15, 2.14,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 4.34, 4.72, 3.95,-999.00,-999.00, 4.68, 3.91, 4.57, 3.57, 3.49,-999.00,-999.00
MIROC-ESM, 2.93, 2.84, 2.29,-999.00,-999.00, 2.80, 2.23,-999.00, 2.47, 2.43,-999.00,-999.00
MPI-ESM1-2-LR, 4.21, 4.32, 3.55,-999.00,-999.00, 4.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 5.68, 5.68, 5.07,-999.00,-999.00, 5.50, 4.90,-999.00, 5.71, 5.21,-999.00,-999.00
MRI-CGCM3, 3.28, 3.46, 3.81,-999.00,-999.00, 3.22, 3.53,-999.00, 3.35, 3.55,-999.00,-999.00
MRI-ESM2-0, 3.52, 3.84,-999.00,-999.00,-999.00, 3.68,-999.00,-999.00, 3.82, 3.68,-999.00,-999.00
NESM3, 2.69, 2.72,-999.00, 2.42,-999.00, 2.53,-999.00, 2.17, 2.08, 1.86,-999.00,-999.00
NorESM1-F, 2.87, 3.07,-999.00, 2.72,-999.00, 2.94,-999.00, 2.58,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.05, 3.22,-999.00,-999.00,-999.00, 3.12,-999.00,-999.00, 3.74, 2.87,-999.00,-999.00
UofT-CCSM-4, 4.98, 4.76, 4.98,-999.00,-999.00, 4.67, 4.90,-999.00,-999.00,-999.00,-999.00,-999.00
