MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,25.59,-999.00,-999.00,25.18,-999.00,-999.00,-999.00,25.11,29.11,29.96,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,22.91,21.98,22.83,-999.00,22.92,21.98,22.80,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,25.14,24.47,23.24,-999.00,-999.00,24.48,23.23,-999.00,28.22,28.60,-999.00,-999.00
CESM2,24.96,24.38,-999.00,24.28,28.22,24.39,-999.00,24.25,28.53,29.83,-999.00,-999.00
CNRM-CM5,23.61,23.36,22.29,-999.00,-999.00,23.38,22.28,-999.00,26.59,27.52,-999.00,-999.00
CNRM-CM6-1,23.18,-999.00,-999.00,22.56,-999.00,-999.00,-999.00,22.52,27.08,28.02,-999.00,-999.00
COSMOS-ASO,23.93,-999.00,21.45,-999.00,-999.00,-999.00,21.45,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,23.99,23.48,-999.00,-999.00,-999.00,23.50,-999.00,-999.00,26.97,28.24,-999.00,-999.00
CSIRO-Mk3L-1-2,25.40,25.02,-999.00,-999.00,-999.00,25.03,-999.00,-999.00,27.73,-999.00,-999.00,-999.00
EC-EARTH-2-2,22.75,22.15,-999.00,-999.00,-999.00,22.16,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.55,22.92,-999.00,-999.00,-999.00,22.94,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,23.72,22.98,-999.00,22.67,-999.00,22.98,-999.00,22.64,27.61,27.60,-999.00,-999.00
FGOALS-g2,23.64,22.45,20.77,-999.00,-999.00,22.47,20.77,-999.00,26.53,28.05,-999.00,-999.00
FGOALS-g3,24.90,24.06,-999.00,24.07,-999.00,24.07,-999.00,24.04,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,24.03,23.41,-999.00,-999.00,-999.00,23.43,-999.00,-999.00,27.04,28.04,-999.00,-999.00
GISS-E2-1-G,24.97,24.20,-999.00,24.07,25.83,24.21,-999.00,24.03,25.55,28.10,-999.00,-999.00
GISS-E2-R,25.22,24.43,22.31,-999.00,-999.00,24.44,22.31,-999.00,27.64,27.65,-999.00,-999.00
HadCM3,24.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,23.78,23.46,-999.00,-999.00,-999.00,23.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,24.04,23.80,-999.00,-999.00,-999.00,23.82,-999.00,-999.00,27.70,28.66,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,24.11,-999.00,24.15,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.72,23.07,22.41,23.07,-999.00,23.08,22.41,23.03,26.18,26.49,-999.00,-999.00
IPSL-CM5A-LR,23.26,22.41,20.27,-999.00,-999.00,22.43,20.27,-999.00,27.21,28.60,-999.00,-999.00
IPSL-CM6A-LR,23.96,23.03,-999.00,22.82,26.05,23.04,-999.00,22.78,28.33,30.83,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,23.63,23.04,21.57,22.75,-999.00,23.05,21.57,22.72,26.64,27.05,-999.00,-999.00
MIROC-ESM,22.98,22.32,20.92,-999.00,-999.00,22.33,20.92,-999.00,26.42,27.88,-999.00,-999.00
MPI-ESM1-2-LR,24.70,23.76,22.90,25.65,-999.00,23.77,-999.00,25.65,28.60,28.62,-999.00,-999.00
MPI-ESM-P,24.78,24.05,22.71,-999.00,-999.00,24.06,22.71,-999.00,28.63,29.71,-999.00,-999.00
MRI-CGCM3,24.81,24.24,22.46,-999.00,-999.00,24.25,22.45,-999.00,27.24,27.88,-999.00,-999.00
MRI-ESM2-0,25.26,24.51,-999.00,-999.00,-999.00,24.52,-999.00,-999.00,28.06,28.68,-999.00,-999.00
NESM3,25.41,24.57,-999.00,24.36,-999.00,24.59,-999.00,24.31,30.10,30.63,-999.00,-999.00
NorESM1-F,25.02,24.31,-999.00,24.21,26.04,24.32,-999.00,24.17,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,24.60,23.99,-999.00,23.85,-999.00,24.00,-999.00,23.82,27.55,29.44,-999.00,-999.00
UofT-CCSM-4,24.97,24.32,22.54,-999.00,-999.00,24.33,22.54,-999.00,-999.00,-999.00,-999.00,-999.00
