MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 2.96,-999.00,-999.00, 2.47,-999.00,-999.00,-999.00, 2.47, 2.77, 2.87,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 3.07, 2.63, 2.38,-999.00, 3.11, 2.63, 2.41,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.95, 2.96, 2.83,-999.00,-999.00, 2.99, 2.83,-999.00, 2.92, 2.99,-999.00,-999.00
CESM2, 3.32, 3.33,-999.00, 2.46, 3.57, 3.36,-999.00, 2.51, 3.18, 3.25,-999.00,-999.00
CNRM-CM5, 3.35, 3.42, 3.51,-999.00,-999.00, 3.45, 3.51,-999.00, 3.41, 3.47,-999.00,-999.00
CNRM-CM6-1, 2.62,-999.00,-999.00, 2.47,-999.00,-999.00,-999.00, 2.51, 2.87, 2.96,-999.00,-999.00
COSMOS-ASO, 2.77,-999.00, 2.73,-999.00,-999.00,-999.00, 2.73,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 2.92, 3.07,-999.00,-999.00,-999.00, 3.09,-999.00,-999.00, 2.82, 2.82,-999.00,-999.00
CSIRO-Mk3L-1-2, 2.89, 2.85,-999.00,-999.00,-999.00, 2.88,-999.00,-999.00, 2.76,-999.00,-999.00,-999.00
EC-EARTH-2-2, 2.11, 2.40,-999.00,-999.00,-999.00, 2.43,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 2.57, 2.83,-999.00,-999.00,-999.00, 2.86,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 3.03, 3.13,-999.00, 2.38,-999.00, 3.14,-999.00, 2.42, 3.10, 3.13,-999.00,-999.00
FGOALS-g2, 2.32, 2.58, 2.29,-999.00,-999.00, 2.60, 2.29,-999.00, 2.15, 2.24,-999.00,-999.00
FGOALS-g3, 2.44, 2.77,-999.00, 2.08,-999.00, 2.79,-999.00, 2.13,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 2.57, 2.63,-999.00,-999.00,-999.00, 2.65,-999.00,-999.00, 2.35, 2.34,-999.00,-999.00
GISS-E2-1-G, 3.04, 3.11,-999.00, 2.37, 3.16, 3.13,-999.00, 2.42, 3.11, 3.01,-999.00,-999.00
GISS-E2-R, 2.94, 2.97, 2.81,-999.00,-999.00, 2.99, 2.81,-999.00, 2.92, 2.89,-999.00,-999.00
HadCM3, 3.51,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 3.08, 3.24,-999.00,-999.00,-999.00, 3.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 3.01, 3.24,-999.00,-999.00,-999.00, 3.27,-999.00,-999.00, 3.05, 3.06,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 3.21,-999.00, 2.58,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 3.53, 3.49, 3.40, 2.52,-999.00, 3.52, 3.40, 2.57, 3.46, 3.43,-999.00,-999.00
IPSL-CM5A-LR, 3.01, 3.16, 2.75,-999.00,-999.00, 3.19, 2.75,-999.00, 3.27, 3.50,-999.00,-999.00
IPSL-CM6A-LR, 2.59, 2.72,-999.00, 2.12, 2.91, 2.75,-999.00, 2.16, 2.66, 2.75,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 2.72, 2.79, 2.53, 2.02,-999.00, 2.81, 2.53, 2.06, 2.81, 2.85,-999.00,-999.00
MIROC-ESM, 3.14, 3.10, 2.91,-999.00,-999.00, 3.13, 2.91,-999.00, 3.16, 3.15,-999.00,-999.00
MPI-ESM1-2-LR, 2.95, 3.12, 2.86, 6.78,-999.00, 3.15,-999.00, 6.73, 2.91, 2.98,-999.00,-999.00
MPI-ESM-P, 3.18, 3.34, 2.96,-999.00,-999.00, 3.37, 2.96,-999.00, 3.37, 3.42,-999.00,-999.00
MRI-CGCM3, 2.69, 2.86, 2.77,-999.00,-999.00, 2.89, 2.77,-999.00, 2.76, 2.76,-999.00,-999.00
MRI-ESM2-0, 3.09, 3.27,-999.00,-999.00,-999.00, 3.31,-999.00,-999.00, 3.08, 3.19,-999.00,-999.00
NESM3, 3.13, 3.42,-999.00, 2.76,-999.00, 3.45,-999.00, 2.80, 3.30, 3.36,-999.00,-999.00
NorESM1-F, 3.22, 3.28,-999.00, 2.45, 3.02, 3.30,-999.00, 2.49,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 3.42, 3.41,-999.00, 2.49,-999.00, 3.45,-999.00, 2.54, 3.47, 3.44,-999.00,-999.00
UofT-CCSM-4, 2.86, 2.86, 2.55,-999.00,-999.00, 2.89, 2.55,-999.00,-999.00,-999.00,-999.00,-999.00
