MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,23.26,-999.00,-999.00,24.72,-999.00,-999.00,-999.00,24.33,28.66,29.92,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,21.15,17.24,21.98,-999.00,21.05,17.25,21.95,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,21.23,21.81,17.45,-999.00,-999.00,21.69,17.46,-999.00,25.94,26.73,-999.00,-999.00
CESM2,22.98,23.92,-999.00,24.15,27.58,23.70,-999.00,23.72,29.70,32.56,-999.00,-999.00
CNRM-CM5,20.08,21.02,17.30,-999.00,-999.00,20.85,17.32,-999.00,24.87,26.32,-999.00,-999.00
CNRM-CM6-1,21.29,-999.00,-999.00,23.63,-999.00,-999.00,-999.00,23.58,28.46,30.17,-999.00,-999.00
COSMOS-ASO,21.33,-999.00,15.70,-999.00,-999.00,-999.00,15.71,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,22.34,23.19,-999.00,-999.00,-999.00,23.08,-999.00,-999.00,27.38,29.73,-999.00,-999.00
CSIRO-Mk3L-1-2,22.85,23.53,-999.00,-999.00,-999.00,23.43,-999.00,-999.00,26.78,-999.00,-999.00,-999.00
EC-EARTH-2-2,19.98,20.97,-999.00,-999.00,-999.00,20.97,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,20.89,21.97,-999.00,-999.00,-999.00,21.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,21.92,22.48,-999.00,22.92,-999.00,22.32,-999.00,22.60,28.09,28.25,-999.00,-999.00
FGOALS-g2,20.58,20.79,15.18,-999.00,-999.00,20.73,15.19,-999.00,25.08,27.23,-999.00,-999.00
FGOALS-g3,22.17,22.99,-999.00,23.59,-999.00,22.89,-999.00,23.48,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,22.39,23.17,-999.00,-999.00,-999.00,23.07,-999.00,-999.00,27.46,29.36,-999.00,-999.00
GISS-E2-1-G,22.57,23.02,-999.00,23.89,24.53,22.86,-999.00,23.62,23.73,28.97,-999.00,-999.00
GISS-E2-R,23.32,23.47,19.28,-999.00,-999.00,23.31,19.29,-999.00,27.74,28.21,-999.00,-999.00
HadCM3,22.90,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,21.56,22.59,-999.00,-999.00,-999.00,22.47,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,22.12,23.58,-999.00,-999.00,-999.00,23.48,-999.00,-999.00,28.42,30.29,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,22.71,-999.00,23.78,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,21.47,22.43,17.96,22.90,-999.00,22.23,17.98,22.56,25.08,25.52,-999.00,-999.00
IPSL-CM5A-LR,20.12,21.35,15.28,-999.00,-999.00,21.18,15.30,-999.00,25.83,28.07,-999.00,-999.00
IPSL-CM6A-LR,20.23,20.95,-999.00,21.49,22.92,20.83,-999.00,21.32,26.84,31.38,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,22.26,23.02,19.63,23.20,-999.00,22.89,19.64,23.18,27.25,28.15,-999.00,-999.00
MIROC-ESM,22.68,23.68,19.00,-999.00,-999.00,23.51,19.02,-999.00,28.49,31.01,-999.00,-999.00
MPI-ESM1-2-LR,21.38,22.10,17.16,21.13,-999.00,21.99,-999.00,22.97,27.49,27.93,-999.00,-999.00
MPI-ESM-P,20.98,21.81,16.52,-999.00,-999.00,21.62,16.53,-999.00,27.30,29.20,-999.00,-999.00
MRI-CGCM3,22.67,23.59,18.63,-999.00,-999.00,23.50,18.64,-999.00,27.41,28.71,-999.00,-999.00
MRI-ESM2-0,23.60,24.42,-999.00,-999.00,-999.00,24.32,-999.00,-999.00,28.58,29.83,-999.00,-999.00
NESM3,20.80,22.27,-999.00,23.84,-999.00,22.07,-999.00,23.55,28.38,29.68,-999.00,-999.00
NorESM1-F,23.86,24.53,-999.00,24.75,24.85,24.37,-999.00,24.51,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,23.40,24.36,-999.00,24.68,-999.00,24.15,-999.00,24.23,28.07,32.13,-999.00,-999.00
UofT-CCSM-4,20.68,21.34,17.05,-999.00,-999.00,21.21,17.06,-999.00,-999.00,-999.00,-999.00,-999.00
