MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 0.16,-999.00,-999.00, 0.65,-999.00,-999.00,-999.00, 0.62, 0.19, 0.20,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 0.52, 0.05, 1.39,-999.00, 0.49, 0.05, 1.31,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.23, 0.42, 0.09,-999.00,-999.00, 0.39, 0.09,-999.00, 0.23, 0.25,-999.00,-999.00
CESM2, 0.20, 0.30,-999.00, 0.46,-999.00, 0.28,-999.00, 0.44, 0.16, 0.18,-999.00,-999.00
CNRM-CM5, 0.34, 0.53, 0.38,-999.00,-999.00, 0.49, 0.34,-999.00, 0.39, 0.38,-999.00,-999.00
CNRM-CM6-1, 0.14,-999.00,-999.00, 0.89,-999.00,-999.00,-999.00,-999.00, 0.11, 0.09,-999.00,-999.00
COSMOS-ASO, 0.12,-999.00, 0.03,-999.00,-999.00,-999.00, 0.03,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 0.44, 0.41,-999.00,-999.00,-999.00, 0.38,-999.00,-999.00, 0.33, 0.31,-999.00,-999.00
CSIRO-Mk3L-1-2, 0.06, 0.11,-999.00,-999.00,-999.00, 0.11,-999.00,-999.00, 0.04,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.20, 0.54,-999.00,-999.00,-999.00, 0.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.04, 0.14,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 0.10, 0.19,-999.00, 0.30,-999.00, 0.19,-999.00, 0.29, 0.07, 0.07,-999.00,-999.00
FGOALS-g2, 0.55, 0.78, 0.50,-999.00,-999.00, 0.72, 0.45,-999.00, 0.77, 0.55,-999.00,-999.00
FGOALS-g3, 0.24, 0.23,-999.00, 0.30,-999.00, 0.20,-999.00, 0.27,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 0.21, 0.40,-999.00,-999.00,-999.00, 0.37,-999.00,-999.00, 0.31, 0.23,-999.00,-999.00
GISS-E2-1-G, 0.29, 0.42,-999.00, 0.67,-999.00, 0.38,-999.00, 0.63, 0.26, 0.17,-999.00,-999.00
GISS-E2-R, 0.31, 0.43, 0.29,-999.00,-999.00, 0.39, 0.26,-999.00, 0.22, 0.22,-999.00,-999.00
HadCM3, 0.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.08, 0.18,-999.00,-999.00,-999.00, 0.17,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 0.09, 0.19,-999.00,-999.00,-999.00, 0.18,-999.00,-999.00, 0.08, 0.07,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 0.16,-999.00, 0.30,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 0.18, 0.43, 0.10, 1.13,-999.00, 0.39, 0.09, 1.07, 0.19, 0.21,-999.00,-999.00
IPSL-CM5A-LR, 0.02, 0.08, 0.04,-999.00,-999.00, 0.07, 0.04,-999.00, 0.02, 0.01,-999.00,-999.00
IPSL-CM6A-LR, 0.10, 0.28,-999.00, 0.64,-999.00, 0.26,-999.00, 0.61, 0.13, 0.26,-999.00,-999.00
KCM1-2-2, 0.02, 0.02,-999.00,-999.00,-999.00, 0.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.28, 0.42, 0.20,-999.00,-999.00, 0.39, 0.18, 0.73, 0.28, 0.31,-999.00,-999.00
MIROC-ESM, 0.36, 0.60, 0.25,-999.00,-999.00, 0.55, 0.22,-999.00, 0.59, 0.55,-999.00,-999.00
MPI-ESM1-2-LR, 0.05, 0.30, 0.05,-999.00,-999.00, 0.30,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.09, 0.27, 0.12,-999.00,-999.00, 0.26, 0.11,-999.00, 0.05, 0.04,-999.00,-999.00
MRI-CGCM3, 0.07, 0.09, 0.08,-999.00,-999.00, 0.08, 0.07,-999.00, 0.09, 0.10,-999.00,-999.00
MRI-ESM2-0, 0.17, 0.30,-999.00,-999.00,-999.00, 0.27,-999.00,-999.00, 0.18, 0.18,-999.00,-999.00
NESM3, 0.09, 0.40,-999.00, 1.00,-999.00, 0.38,-999.00, 0.95, 0.32, 0.38,-999.00,-999.00
NorESM1-F, 0.23, 0.37,-999.00, 0.71,-999.00, 0.34,-999.00, 0.67,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 0.15, 0.24,-999.00,-999.00,-999.00, 0.23,-999.00,-999.00, 0.16, 0.16,-999.00,-999.00
UofT-CCSM-4, 0.18, 0.39, 0.09,-999.00,-999.00, 0.37, 0.08,-999.00,-999.00,-999.00,-999.00,-999.00
