MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,23.28,-999.00,-999.00,20.82,-999.00,-999.00,-999.00,22.50,28.38,29.42,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,19.91,18.45,18.42,-999.00,20.43,18.41,20.00,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,20.77,20.46,17.16,-999.00,-999.00,21.01,17.11,-999.00,25.48,25.88,-999.00,-999.00
CESM2,23.93,23.51,-999.00,22.04,26.66,24.00,-999.00,23.60,29.41,31.49,-999.00,-999.00
CNRM-CM5,20.16,20.43,17.39,-999.00,-999.00,21.00,17.34,-999.00,24.17,25.44,-999.00,-999.00
CNRM-CM6-1,20.38,-999.00,-999.00,19.44,-999.00,-999.00,-999.00,21.10,26.33,27.41,-999.00,-999.00
COSMOS-ASO,21.89,-999.00,17.53,-999.00,-999.00,-999.00,17.49,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,23.00,23.02,-999.00,-999.00,-999.00,23.68,-999.00,-999.00,27.48,29.49,-999.00,-999.00
CSIRO-Mk3L-1-2,22.24,22.21,-999.00,-999.00,-999.00,22.76,-999.00,-999.00,26.59,-999.00,-999.00,-999.00
EC-EARTH-2-2,15.96,16.05,-999.00,-999.00,-999.00,16.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,20.52,20.31,-999.00,-999.00,-999.00,20.78,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,21.48,21.20,-999.00,19.50,-999.00,21.74,-999.00,21.30,26.88,26.85,-999.00,-999.00
FGOALS-g2,20.12,19.33,15.77,-999.00,-999.00,19.86,15.70,-999.00,23.96,26.49,-999.00,-999.00
FGOALS-g3,22.41,22.40,-999.00,20.86,-999.00,23.01,-999.00,22.78,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,21.92,21.86,-999.00,-999.00,-999.00,22.33,-999.00,-999.00,26.18,27.66,-999.00,-999.00
GISS-E2-1-G,24.13,23.58,-999.00,21.91,24.90,24.07,-999.00,23.39,24.89,28.91,-999.00,-999.00
GISS-E2-R,25.00,24.98,20.98,-999.00,-999.00,25.48,20.93,-999.00,28.67,29.15,-999.00,-999.00
HadCM3,22.56,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,20.99,21.00,-999.00,-999.00,-999.00,21.59,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,21.60,21.93,-999.00,-999.00,-999.00,22.51,-999.00,-999.00,27.07,28.65,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,22.83,-999.00,23.19,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,20.01,20.09,16.53,18.97,-999.00,20.62,16.48,20.54,23.22,23.77,-999.00,-999.00
IPSL-CM5A-LR,19.55,19.91,15.00,-999.00,-999.00,20.53,14.94,-999.00,25.40,27.66,-999.00,-999.00
IPSL-CM6A-LR,20.12,20.02,-999.00,18.99,22.57,20.54,-999.00,20.61,26.96,31.07,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,22.20,21.97,19.43,20.15,-999.00,22.47,19.39,21.69,26.08,26.32,-999.00,-999.00
MIROC-ESM,20.79,20.16,17.11,-999.00,-999.00,20.65,17.06,-999.00,25.15,26.88,-999.00,-999.00
MPI-ESM1-2-LR,20.99,20.59,19.15,19.33,-999.00,21.12,-999.00,19.12,26.03,25.83,-999.00,-999.00
MPI-ESM-P,21.77,21.68,18.58,-999.00,-999.00,22.22,18.54,-999.00,27.60,29.11,-999.00,-999.00
MRI-CGCM3,22.22,21.77,17.51,-999.00,-999.00,22.37,17.45,-999.00,25.86,26.89,-999.00,-999.00
MRI-ESM2-0,22.12,21.90,-999.00,-999.00,-999.00,22.48,-999.00,-999.00,26.43,27.44,-999.00,-999.00
NESM3,21.45,21.74,-999.00,20.13,-999.00,22.28,-999.00,21.86,27.36,27.84,-999.00,-999.00
NorESM1-F,22.48,22.45,-999.00,20.61,23.63,23.01,-999.00,22.27,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,24.12,24.11,-999.00,22.69,-999.00,24.57,-999.00,24.20,27.93,30.97,-999.00,-999.00
UofT-CCSM-4,19.99,19.71,17.39,-999.00,-999.00,20.26,17.34,-999.00,-999.00,-999.00,-999.00,-999.00
