MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,25.29,-999.00,-999.00,24.41,-999.00,-999.00,-999.00,24.26,30.07,31.27,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,21.16,21.99,20.78,-999.00,21.21,21.98,20.70,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,23.10,21.12,20.35,-999.00,-999.00,21.18,20.35,-999.00,27.87,28.28,-999.00,-999.00
CESM2,25.85,23.96,-999.00,24.56,28.72,24.02,-999.00,24.47,31.35,33.51,-999.00,-999.00
CNRM-CM5,23.60,22.35,21.60,-999.00,-999.00,22.39,21.60,-999.00,27.86,28.90,-999.00,-999.00
CNRM-CM6-1,23.86,-999.00,-999.00,22.77,-999.00,-999.00,-999.00,22.67,30.25,31.47,-999.00,-999.00
COSMOS-ASO,26.54,-999.00,22.39,-999.00,-999.00,-999.00,22.38,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,25.06,23.62,-999.00,-999.00,-999.00,23.69,-999.00,-999.00,30.00,31.54,-999.00,-999.00
CSIRO-Mk3L-1-2,25.33,23.88,-999.00,-999.00,-999.00,23.94,-999.00,-999.00,29.35,-999.00,-999.00,-999.00
EC-EARTH-2-2,18.86,16.81,-999.00,-999.00,-999.00,16.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,23.12,21.30,-999.00,-999.00,-999.00,21.35,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,22.96,21.12,-999.00,21.74,-999.00,21.15,-999.00,21.63,29.22,29.03,-999.00,-999.00
FGOALS-g2,22.41,19.82,18.71,-999.00,-999.00,19.89,18.70,-999.00,27.15,29.33,-999.00,-999.00
FGOALS-g3,24.47,22.44,-999.00,23.38,-999.00,22.50,-999.00,23.26,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,24.64,22.58,-999.00,-999.00,-999.00,22.63,-999.00,-999.00,29.45,31.08,-999.00,-999.00
GISS-E2-1-G,25.87,23.84,-999.00,24.40,27.16,23.89,-999.00,24.30,26.86,31.34,-999.00,-999.00
GISS-E2-R,26.32,24.65,22.92,-999.00,-999.00,24.69,22.91,-999.00,30.37,30.64,-999.00,-999.00
HadCM3,26.22,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,23.20,21.94,-999.00,-999.00,-999.00,22.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,23.96,22.99,-999.00,-999.00,-999.00,23.05,-999.00,-999.00,29.72,31.17,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,23.00,-999.00,24.03,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,23.03,21.33,19.87,22.23,-999.00,21.38,19.86,22.16,26.25,26.75,-999.00,-999.00
IPSL-CM5A-LR,20.44,18.60,16.67,-999.00,-999.00,18.66,16.65,-999.00,26.36,29.05,-999.00,-999.00
IPSL-CM6A-LR,21.56,19.69,-999.00,20.47,23.54,19.75,-999.00,20.35,27.72,32.47,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,24.24,22.10,22.13,22.41,-999.00,22.15,22.12,22.34,28.88,29.17,-999.00,-999.00
MIROC-ESM,23.25,20.41,19.61,-999.00,-999.00,20.46,19.60,-999.00,29.14,31.90,-999.00,-999.00
MPI-ESM1-2-LR,24.79,22.04,22.49,21.36,-999.00,22.10,-999.00,21.39,30.16,30.10,-999.00,-999.00
MPI-ESM-P,25.38,23.28,22.28,-999.00,-999.00,23.33,22.28,-999.00,31.18,33.03,-999.00,-999.00
MRI-CGCM3,24.08,22.52,21.19,-999.00,-999.00,22.59,21.17,-999.00,27.78,28.54,-999.00,-999.00
MRI-ESM2-0,24.64,22.39,-999.00,-999.00,-999.00,22.48,-999.00,-999.00,28.99,29.53,-999.00,-999.00
NESM3,24.66,22.01,-999.00,21.96,-999.00,22.08,-999.00,21.84,30.48,31.63,-999.00,-999.00
NorESM1-F,25.21,23.29,-999.00,24.03,25.53,23.35,-999.00,23.96,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,25.59,23.83,-999.00,24.27,-999.00,23.89,-999.00,24.15,30.03,32.97,-999.00,-999.00
UofT-CCSM-4,22.23,20.43,20.19,-999.00,-999.00,20.49,20.18,-999.00,-999.00,-999.00,-999.00,-999.00
