MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.20,-999.00,-999.00, 2.20,-999.00,-999.00,-999.00, 2.19, 1.07, 1.08,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.24, 0.91, 2.04,-999.00, 1.23, 0.91, 2.02,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.09, 1.27, 1.17,-999.00,-999.00, 1.26, 1.18,-999.00, 1.08, 1.08,-999.00,-999.00
CESM2, 1.09, 1.22,-999.00, 1.85, 1.17, 1.21,-999.00, 1.84, 1.09, 1.09,-999.00,-999.00
CNRM-CM5, 1.25, 1.41, 1.35,-999.00,-999.00, 1.39, 1.36,-999.00, 1.22, 1.23,-999.00,-999.00
CNRM-CM6-1, 1.07,-999.00,-999.00, 1.94,-999.00,-999.00,-999.00, 1.91, 1.06, 1.09,-999.00,-999.00
COSMOS-ASO, 0.95,-999.00, 1.10,-999.00,-999.00,-999.00, 1.10,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.20, 1.42,-999.00,-999.00,-999.00, 1.41,-999.00,-999.00, 1.21, 1.18,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.14, 1.24,-999.00,-999.00,-999.00, 1.22,-999.00,-999.00, 1.07,-999.00,-999.00,-999.00
EC-EARTH-2-2, 0.69, 0.85,-999.00,-999.00,-999.00, 0.85,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 0.95, 1.05,-999.00,-999.00,-999.00, 1.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.17, 1.36,-999.00, 1.97,-999.00, 1.34,-999.00, 1.96, 1.17, 1.16,-999.00,-999.00
FGOALS-g2, 1.01, 1.10, 1.32,-999.00,-999.00, 1.09, 1.32,-999.00, 0.83, 0.87,-999.00,-999.00
FGOALS-g3, 0.96, 1.05,-999.00, 1.71,-999.00, 1.04,-999.00, 1.69,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.08, 1.24,-999.00,-999.00,-999.00, 1.23,-999.00,-999.00, 0.94, 1.03,-999.00,-999.00
GISS-E2-1-G, 1.06, 1.12,-999.00, 1.71, 0.99, 1.11,-999.00, 1.70, 1.07, 1.14,-999.00,-999.00
GISS-E2-R, 0.70, 0.79, 0.77,-999.00,-999.00, 0.78, 0.77,-999.00, 0.68, 0.66,-999.00,-999.00
HadCM3, 0.88,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.29, 1.51,-999.00,-999.00,-999.00, 1.50,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.28, 1.46,-999.00,-999.00,-999.00, 1.45,-999.00,-999.00, 1.16, 1.14,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.11,-999.00, 1.71,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 1.06, 1.30, 1.21, 1.96,-999.00, 1.29, 1.21, 1.93, 0.94, 0.93,-999.00,-999.00
IPSL-CM5A-LR, 1.17, 1.51, 1.27,-999.00,-999.00, 1.51, 1.27,-999.00, 1.14, 1.23,-999.00,-999.00
IPSL-CM6A-LR, 1.22, 1.51,-999.00, 2.17, 1.14, 1.50,-999.00, 2.13, 1.13, 1.15,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 0.94, 0.97, 1.07, 1.51,-999.00, 0.96, 1.07, 1.48, 0.99, 0.99,-999.00,-999.00
MIROC-ESM, 1.08, 1.18, 1.33,-999.00,-999.00, 1.16, 1.33,-999.00, 1.05, 1.07,-999.00,-999.00
MPI-ESM1-2-LR, 1.03, 1.23, 1.00, 0.42,-999.00, 1.22,-999.00, 0.43, 0.98, 1.02,-999.00,-999.00
MPI-ESM-P, 1.18, 1.23, 1.12,-999.00,-999.00, 1.22, 1.12,-999.00, 1.15, 1.20,-999.00,-999.00
MRI-CGCM3, 1.10, 1.29, 1.20,-999.00,-999.00, 1.28, 1.20,-999.00, 1.08, 1.10,-999.00,-999.00
MRI-ESM2-0, 1.15, 1.33,-999.00,-999.00,-999.00, 1.32,-999.00,-999.00, 1.13, 1.14,-999.00,-999.00
NESM3, 1.48, 1.46,-999.00, 2.14,-999.00, 1.44,-999.00, 2.11, 1.37, 1.43,-999.00,-999.00
NorESM1-F, 1.17, 1.44,-999.00, 2.08, 1.16, 1.43,-999.00, 2.06,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.12, 1.29,-999.00, 2.00,-999.00, 1.28,-999.00, 1.99, 1.10, 1.16,-999.00,-999.00
UofT-CCSM-4, 1.13, 1.33, 1.02,-999.00,-999.00, 1.32, 1.02,-999.00,-999.00,-999.00,-999.00,-999.00
