MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5,26.63,-999.00,-999.00,25.38,-999.00,-999.00,-999.00,25.27,30.31,31.10,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00,24.74,24.39,24.76,-999.00,24.77,24.38,24.73,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4,26.30,25.24,24.89,-999.00,-999.00,25.26,24.89,-999.00,29.56,29.89,-999.00,-999.00
CESM2,26.91,25.89,-999.00,25.73,30.53,25.92,-999.00,25.67,31.18,32.73,-999.00,-999.00
CNRM-CM5,26.69,25.93,25.76,-999.00,-999.00,25.95,25.76,-999.00,29.74,30.60,-999.00,-999.00
CNRM-CM6-1,26.26,-999.00,-999.00,25.41,-999.00,-999.00,-999.00,25.37,30.66,31.52,-999.00,-999.00
COSMOS-ASO,26.54,-999.00,23.49,-999.00,-999.00,-999.00,23.48,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,26.04,25.26,-999.00,-999.00,-999.00,25.29,-999.00,-999.00,29.75,31.41,-999.00,-999.00
CSIRO-Mk3L-1-2,27.41,26.45,-999.00,-999.00,-999.00,26.47,-999.00,-999.00,30.46,-999.00,-999.00,-999.00
EC-EARTH-2-2,24.47,23.58,-999.00,-999.00,-999.00,23.60,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR,25.71,24.66,-999.00,-999.00,-999.00,24.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L,25.56,24.40,-999.00,24.21,-999.00,24.41,-999.00,24.16,29.80,29.72,-999.00,-999.00
FGOALS-g2,26.21,24.63,23.96,-999.00,-999.00,24.65,23.96,-999.00,28.96,30.55,-999.00,-999.00
FGOALS-g3,27.00,25.76,-999.00,25.57,-999.00,25.78,-999.00,25.53,-999.00,-999.00,-999.00,-999.00
FGOALS-s2,26.59,25.32,-999.00,-999.00,-999.00,25.34,-999.00,-999.00,30.05,31.23,-999.00,-999.00
GISS-E2-1-G,27.54,26.29,-999.00,26.25,29.06,26.31,-999.00,26.21,28.25,31.55,-999.00,-999.00
GISS-E2-R,27.66,26.75,25.47,-999.00,-999.00,26.76,25.47,-999.00,30.79,31.07,-999.00,-999.00
HadCM3,26.84,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC,25.48,24.71,-999.00,-999.00,-999.00,24.73,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES,25.92,25.26,-999.00,-999.00,-999.00,25.29,-999.00,-999.00,29.74,30.84,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00,26.43,-999.00,26.71,-999.00,-999.00,-999.00,-999.00
INM-CM4-8,25.86,24.85,24.04,24.82,-999.00,24.86,24.04,24.78,28.47,28.77,-999.00,-999.00
IPSL-CM5A-LR,24.17,23.08,21.29,-999.00,-999.00,23.11,21.28,-999.00,28.55,30.16,-999.00,-999.00
IPSL-CM6A-LR,25.81,24.52,-999.00,24.54,28.05,24.54,-999.00,24.50,30.58,33.74,-999.00,-999.00
KCM1-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L,27.16,25.79,25.58,25.52,-999.00,25.79,25.59,25.51,30.48,30.97,-999.00,-999.00
MIROC-ESM,26.83,25.53,25.27,-999.00,-999.00,25.54,25.27,-999.00,30.80,32.56,-999.00,-999.00
MPI-ESM1-2-LR,26.43,25.05,24.94,24.97,-999.00,25.08,-999.00,24.97,31.11,31.25,-999.00,-999.00
MPI-ESM-P,26.62,25.53,24.80,-999.00,-999.00,25.55,24.80,-999.00,30.73,32.05,-999.00,-999.00
MRI-CGCM3,25.69,24.75,23.71,-999.00,-999.00,24.77,23.71,-999.00,28.72,29.42,-999.00,-999.00
MRI-ESM2-0,26.95,25.69,-999.00,-999.00,-999.00,25.72,-999.00,-999.00,30.02,30.74,-999.00,-999.00
NESM3,27.81,26.51,-999.00,26.62,-999.00,26.52,-999.00,26.60,33.06,33.97,-999.00,-999.00
NorESM1-F,25.71,24.61,-999.00,24.28,26.98,24.63,-999.00,24.22,-999.00,-999.00,-999.00,-999.00
NorESM2-LM,26.74,25.82,-999.00,25.62,-999.00,25.85,-999.00,25.56,29.98,32.10,-999.00,-999.00
UofT-CCSM-4,25.71,24.60,24.31,-999.00,-999.00,24.63,24.30,-999.00,-999.00,-999.00,-999.00,-999.00
