MODEL,piControl,midHolocene,lgm,lig127k,midPliocene-eoi400,midHolocene-cal-adj,lgm-cal-adj,lig127k-cal-adj,1pctCO2,abrupt4xCO2,rcp26,rcp85 
ACCESS-ESM1-5, 1.66,-999.00,-999.00, 1.55,-999.00,-999.00,-999.00, 1.47, 1.35, 1.30,-999.00,-999.00
AWI-ESM-1-1-LR,-999.00, 1.73, 1.40, 1.73,-999.00, 1.65, 1.32, 1.64,-999.00,-999.00,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.10, 2.03, 2.05,-999.00,-999.00, 1.96, 2.00,-999.00, 2.29, 2.30,-999.00,-999.00
CESM2, 1.81, 1.83,-999.00, 1.84,-999.00, 1.75,-999.00, 1.77, 1.74, 1.76,-999.00,-999.00
CNRM-CM5, 1.94, 1.88, 1.76,-999.00,-999.00, 1.81, 1.69,-999.00, 1.88, 1.88,-999.00,-999.00
CNRM-CM6-1, 1.78,-999.00,-999.00, 1.82,-999.00,-999.00,-999.00,-999.00, 1.69, 1.60,-999.00,-999.00
COSMOS-ASO, 1.40,-999.00, 1.26,-999.00,-999.00,-999.00, 1.20,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0, 1.15, 1.15,-999.00,-999.00,-999.00, 1.09,-999.00,-999.00, 1.01, 0.94,-999.00,-999.00
CSIRO-Mk3L-1-2, 1.04, 1.04,-999.00,-999.00,-999.00, 0.99,-999.00,-999.00, 1.02,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.79, 1.77,-999.00,-999.00,-999.00, 1.68,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-Earth3-LR, 1.52, 1.48,-999.00,-999.00,-999.00, 1.39,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-f3-L, 1.63, 1.66,-999.00, 1.61,-999.00, 1.56,-999.00, 1.55, 1.61, 1.61,-999.00,-999.00
FGOALS-g2, 1.75, 1.72, 1.65,-999.00,-999.00, 1.67, 1.61,-999.00, 1.94, 1.54,-999.00,-999.00
FGOALS-g3, 2.03, 1.92,-999.00, 1.92,-999.00, 1.86,-999.00, 1.86,-999.00,-999.00,-999.00,-999.00
FGOALS-s2, 1.13, 1.05,-999.00,-999.00,-999.00, 0.99,-999.00,-999.00, 1.28, 1.31,-999.00,-999.00
GISS-E2-1-G, 2.03, 2.00,-999.00, 1.99,-999.00, 1.95,-999.00, 1.94, 2.01, 2.02,-999.00,-999.00
GISS-E2-R, 2.21, 2.22, 2.03,-999.00,-999.00, 2.17, 1.98,-999.00, 2.27, 2.34,-999.00,-999.00
HadCM3, 1.95,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.30, 1.33,-999.00,-999.00,-999.00, 1.26,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-ES, 1.35, 1.40,-999.00,-999.00,-999.00, 1.33,-999.00,-999.00, 1.20, 1.19,-999.00,-999.00
HadGEM3-GC31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.59,-999.00, 1.61,-999.00,-999.00,-999.00,-999.00
INM-CM4-8, 2.26, 2.19, 2.14, 2.13,-999.00, 2.14, 2.09, 2.06, 2.28, 2.20,-999.00,-999.00
IPSL-CM5A-LR, 1.29, 1.33, 1.23,-999.00,-999.00, 1.29, 1.20,-999.00, 1.12, 1.07,-999.00,-999.00
IPSL-CM6A-LR, 2.06, 2.03,-999.00, 2.02,-999.00, 1.94,-999.00, 1.93, 1.96, 1.93,-999.00,-999.00
KCM1-2-2, 1.02, 1.03,-999.00,-999.00,-999.00, 1.03,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ES2L, 1.96, 1.93, 1.64,-999.00,-999.00, 1.87, 1.58, 1.99, 1.91, 1.92,-999.00,-999.00
MIROC-ESM, 2.30, 2.37, 2.01,-999.00,-999.00, 2.35, 1.97,-999.00, 2.12, 1.92,-999.00,-999.00
MPI-ESM1-2-LR, 0.99, 1.09, 1.00,-999.00,-999.00, 1.02,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.31, 1.38, 1.32,-999.00,-999.00, 1.29, 1.24,-999.00, 1.06, 1.06,-999.00,-999.00
MRI-CGCM3, 1.57, 1.61, 1.55,-999.00,-999.00, 1.53, 1.48,-999.00, 1.54, 1.52,-999.00,-999.00
MRI-ESM2-0, 1.56, 1.55,-999.00,-999.00,-999.00, 1.49,-999.00,-999.00, 1.49, 1.52,-999.00,-999.00
NESM3, 1.48, 1.45,-999.00, 1.40,-999.00, 1.34,-999.00, 1.30, 1.51, 1.42,-999.00,-999.00
NorESM1-F, 1.73, 1.65,-999.00, 1.48,-999.00, 1.59,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00
NorESM2-LM, 1.59, 1.64,-999.00,-999.00,-999.00, 1.58,-999.00,-999.00, 1.48, 1.42,-999.00,-999.00
UofT-CCSM-4, 2.23, 2.17, 2.56,-999.00,-999.00, 2.09, 2.51,-999.00,-999.00,-999.00,-999.00,-999.00
